Nro,Rubro,Monto
1122500.EFECTIVO Y EQUIVALENTES A EFECTIVO.102448402.1122500,EFECTIVO Y EQUIVALENTES A EFECTIVO,102448402
1122300.ACTIVOS FINANCIEROS CORRIENTES.143476312.1122300,ACTIVOS FINANCIEROS CORRIENTES,143476312
1121999.CUENTAS POR COBRAR CORRIENTES.635806873.1121999,CUENTAS POR COBRAR CORRIENTES,635806873
1122400.OTROS ACTIVOS NO FINANCIEROS CORRIENTES.85731791.1122400,OTROS ACTIVOS NO FINANCIEROS CORRIENTES,85731791
1120100.INVENTARIOS CORRIENTES.21474914.1120100,INVENTARIOS CORRIENTES,21474914
1139999.ACTIVO CORRIENTE.988938292.1139999,ACTIVO CORRIENTE,988938292
1112400.ACTIVOS FINANCIEROS NO CORRIENTES.0.1112400,ACTIVOS FINANCIEROS NO CORRIENTES,0
1111999.CUENTAS POR COBRAR NO CORRIENTES.135714040.1111999,CUENTAS POR COBRAR NO CORRIENTES,135714040
1110100.PROPIEDADES PLANTAS Y EQUIPOS.4446883.1110100,PROPIEDADES PLANTAS Y EQUIPOS,4446883
1112500.OTROS ACTIVOS NO FINANCIEROS NO CORRIENTES.1926649.1112500,OTROS ACTIVOS NO FINANCIEROS NO CORRIENTES,1926649
1110200.ACTIVOS INTANGIBLES.2523781.1110200,ACTIVOS INTANGIBLES,2523781
1119999.ACTIVO NO CORRIENTE.144611353.1119999,ACTIVO NO CORRIENTE,144611353
1999999.TOTAL DEL ACTIVO.1133549645.1999999,TOTAL DEL ACTIVO,1133549645
2210999.CAPITAL.141095590.2210999,CAPITAL,141095590
2210300.AJUSTE DE CAPITAL.143552813.2210300,AJUSTE DE CAPITAL,143552813
2210500.APORTES NO CAPITALIZADOS O CONTRIBUCIONES DE CAPITAL.0.2210500,APORTES NO CAPITALIZADOS O CONTRIBUCIONES DE CAPITAL,0
2210900.OTROS CONCEPTOS DEL CAPITAL.0.2210900,OTROS CONCEPTOS DEL CAPITAL,0
2211100.RESERVA LEGAL.11855574.2211100,RESERVA LEGAL,11855574
2211200.OTRAS RESERVAS.1703464.2211200,OTRAS RESERVAS,1703464
2211999.GANANCIAS RESERVADAS.13559038.2211999,GANANCIAS RESERVADAS,13559038
2211300.INTERESES NO CONTROLANTES.0.2211300,INTERESES NO CONTROLANTES,0
2212999.RESULTADOS NO ASIGNADOS.-141275191.2212999,RESULTADOS NO ASIGNADOS,-141275191
2213999.RESULTADOS INTEGRALES.0.2213999,RESULTADOS INTEGRALES,0
2299999.TOTAL PATRIMONIO NETO.156932250.2299999,TOTAL PATRIMONIO NETO,156932250
2322200.PASIVOS FINANCIEROS CORRIENTES.828618946.2322200,PASIVOS FINANCIEROS CORRIENTES,828618946
2321999.CUENTAS POR PAGAR CORRIENTES.52436006.2321999,CUENTAS POR PAGAR CORRIENTES,52436006
2322100.PASIVOS POR IMPUESTOS CORRIENTES.38277384.2322100,PASIVOS POR IMPUESTOS CORRIENTES,38277384
2322300.OTROS PASIVOS NO FINANCIEROS CORRIENTES.23393010.2322300,OTROS PASIVOS NO FINANCIEROS CORRIENTES,23393010
2339999.PASIVO CORRIENTE.942725346.2339999,PASIVO CORRIENTE,942725346
2312300.PASIVOS FINANCIEROS NO CORRIENTES.25000000.2312300,PASIVOS FINANCIEROS NO CORRIENTES,25000000
2311999.CUENTAS POR PAGAR NO CORRIENTES.0.2311999,CUENTAS POR PAGAR NO CORRIENTES,0
2312200.PASIVOS POR IMPUESTOS NO CORRIENTES.8892049.2312200,PASIVOS POR IMPUESTOS NO CORRIENTES,8892049
2312400.OTROS PASIVOS NO FINANCIEROS NO CORRIENTES.0.2312400,OTROS PASIVOS NO FINANCIEROS NO CORRIENTES,0
2319999.PASIVO NO CORRIENTE.33892049.2319999,PASIVO NO CORRIENTE,33892049
2399999.TOTAL DEL PASIVO.976617395.2399999,TOTAL DEL PASIVO,976617395
2999999.TOTAL DEL PASIVO Y PATRIMONIO NETO.1133549645.2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,1133549645
3000100.INGRESOS DE ACTIVIDADES ORDINARIAS.95947217.3000100,INGRESOS DE ACTIVIDADES ORDINARIAS,95947217
3000200.COSTO DE VENTAS Y/O SERVICIOS.0.3000200,COSTO DE VENTAS Y/O SERVICIOS,0
3009999.GANANCIA (PERDIDA) BRUTA.95947217.3009999,GANANCIA (PERDIDA) BRUTA,95947217
3011301.HONORARIOS A DIRECTORES Y SINDICOS.-3549057.3011301,HONORARIOS A DIRECTORES Y SINDICOS,-3549057
3011300.OTROS GASTOS DE ADMINISTRACION.-63768058.3011300,OTROS GASTOS DE ADMINISTRACION,-63768058
3011200.GASTOS DE COMERCIALIZACION Y/O DISTRIBUCION.-26811629.3011200,GASTOS DE COMERCIALIZACION Y/O DISTRIBUCION,-26811629
3011400.OTROS GASTOS OPERATIVOS.0.3011400,OTROS GASTOS OPERATIVOS,0
3011100.OTROS INGRESOS.0.3011100,OTROS INGRESOS,0
3011600.DEPRECIACIONES Y AMORTIZACIONES.-43839740.3011600,DEPRECIACIONES Y AMORTIZACIONES,-43839740
3019999.GANANCIA (PERDIDA) DE ACTIVIDADES OPERATIVAS.-42021267.3019999,GANANCIA (PERDIDA) DE ACTIVIDADES OPERATIVAS,-42021267
