Nro,Rubro,Monto
1122500,EFECTIVO Y EQUIVALENTES A EFECTIVO,1271.00
1122300,ACTIVOS FINANCIEROS CORRIENTES,956.00
1121999,CUENTAS POR COBRAR CORRIENTES,38053.00
1122400,OTROS ACTIVOS NO FINANCIEROS CORRIENTES,65728.00
1120100,INVENTARIOS CORRIENTES,41235.00
1139999,ACTIVO CORRIENTE,147243.00
1112400,ACTIVOS FINANCIEROS NO CORRIENTES,0
1111999,CUENTAS POR COBRAR NO CORRIENTES,6047.00
1110100,PROPIEDADES PLANTAS Y EQUIPOS,170743.00
1112500,OTROS ACTIVOS NO FINANCIEROS NO CORRIENTES,1105856.00
1110200,ACTIVOS INTANGIBLES,4250.00
1119999,ACTIVO NO CORRIENTE,1286896.00
1999999,TOTAL DEL ACTIVO,1434139.00
2210999,CAPITAL,605.00
2210300,AJUSTE DE CAPITAL,268103.00
2210500,APORTES NO CAPITALIZADOS O CONTRIBUCIONES DE CAPITAL,0
2210900,OTROS CONCEPTOS DEL CAPITAL,351626.00
2211100,RESERVA LEGAL,40764.00
2211200,OTRAS RESERVAS,204809.00
2211999,GANANCIAS RESERVADAS,245573.00
2211300,INTERESES NO CONTROLANTES,0
2212999,RESULTADOS NO ASIGNADOS,15173.00
2213999,RESULTADOS INTEGRALES,0
2299999,TOTAL PATRIMONIO NETO,881080.00
2322200,PASIVOS FINANCIEROS CORRIENTES,213671.00
2321999,CUENTAS POR PAGAR CORRIENTES,49060.00
2322100,PASIVOS POR IMPUESTOS CORRIENTES,0
2322300,OTROS PASIVOS NO FINANCIEROS CORRIENTES,12647.00
2339999,PASIVO CORRIENTE,275378.00
2312300,PASIVOS FINANCIEROS NO CORRIENTES,186059.00
2311999,CUENTAS POR PAGAR NO CORRIENTES,0
2312200,PASIVOS POR IMPUESTOS NO CORRIENTES,86897.00
2312400,OTROS PASIVOS NO FINANCIEROS NO CORRIENTES,4725.00
2319999,PASIVO NO CORRIENTE,277681.00
2399999,TOTAL DEL PASIVO,553059.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,1434139.00
3000100,INGRESOS DE ACTIVIDADES ORDINARIAS,74629.00
3000200,COSTO DE VENTAS Y/O SERVICIOS,-62398.00
3009999,GANANCIA (PERDIDA) BRUTA,12231.00
3011301,HONORARIOS A DIRECTORES Y SINDICOS,-487.00
3011300,OTROS GASTOS DE ADMINISTRACION,-10044.00
3011200,GASTOS DE COMERCIALIZACION Y/O DISTRIBUCION,-14317.00
3011400,OTROS GASTOS OPERATIVOS,-7475.00
3011100,OTROS INGRESOS,2445.00
3011600,DEPRECIACIONES Y AMORTIZACIONES,-635.00
3019999,GANANCIA (PERDIDA) DE ACTIVIDADES OPERATIVAS,-18282.00
3021400,INGRESOS FINANCIEROS,1376.00
3021500,COSTOS FINANCIEROS,-9969.00
3021800,RECPAM,3908.00
3021900,OTROS RESULTADOS,62409.00
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,39442.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,-24269.00
3032000,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO OPERACIONES CONTINUADAS,15173.00
3041000,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO OPERACIONES DISCONTINUADAS,0
3049999,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO,15173.00
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,-30047.00
3099999,RESULTADO INTEGRAL TOTAL  DEL EJERCICIO / PERIODO,-14874.00
3241100,TOTAL CAMBIOS EN ACTIVOS Y PASIVOS OPERATIVOS,-41617.00
3241200,TOTAL DE ACTIVIDADES DE INVERSION,21848.00
3241300,TOTAL DE ACTIVIDADES DE FINANCIACION,3551.00
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,-16218.00
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,25.46
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,21.25
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR,942251.00
8000003,EBIT,-18282.00
8000004,EBITDA,-17378.00
8000005,CAPITAL DE TRABAJO,-128135.00
8000006,LIQUIDEZ,0.53
8000007,SOLVENCIA,1.59
8000008,INMOVILIZACION DEL CAPITAL,0.90
8000009,RENTABILIDAD PATRIMONIO NETO,0.02
8000010,RENTABILIDAD DEL ACTIVO,0.01
8000011,ENDEUDAMIENTO,0.63
8000012,ENDEUDAMIENTO A CORTO PLAZO,0.31
8000013,APALANCAMIENTO,1.63
8000014,MARGEN NETO / VENTAS,-0.20
8000015,DEUDA FINANCIERA / EBITDA,-23.00
8000016,EBITDA / COSTOS FINANCIEROS,1.74
8000017,ANALISIS DU-PONT,0.02
8000027,PRUEBA ACIDA,0.38
8000028,COBERTURA DE GASTOS FINANCIEROS,1.83
8000029,ROTACION DE ACTIVOS,0.05
