Nro,Rubro,Monto
1122500,EFECTIVO Y EQUIVALENTES A EFECTIVO,17.25000
1122300,ACTIVOS FINANCIEROS CORRIENTES,0
1121999,CUENTAS POR COBRAR CORRIENTES,2.006.53000
1122400,OTROS ACTIVOS NO FINANCIEROS CORRIENTES,0
1120100,INVENTARIOS CORRIENTES,877.20500
1139999,ACTIVO CORRIENTE,2.900.98500
1112400,ACTIVOS FINANCIEROS NO CORRIENTES,10.40100
1111999,CUENTAS POR COBRAR NO CORRIENTES,69.17700
1110100,PROPIEDADES PLANTAS Y EQUIPOS,1.274.28400
1112500,OTROS ACTIVOS NO FINANCIEROS NO CORRIENTES,256.13400
1110200,ACTIVOS INTANGIBLES,32.55600
1119999,ACTIVO NO CORRIENTE,1.642.55200
1999999,TOTAL DEL ACTIVO,4.543.53700
2210999,CAPITAL,100.00000
2210300,AJUSTE DE CAPITAL,248.76800
2210500,APORTES NO CAPITALIZADOS O CONTRIBUCIONES DE CAPITAL,0
2210900,OTROS CONCEPTOS DEL CAPITAL,0
2211100,RESERVA LEGAL,16.99600
2211200,OTRAS RESERVAS,931.94800
2211999,GANANCIAS RESERVADAS,948.94400
2211300,INTERESES NO CONTROLANTES,0
2212999,RESULTADOS NO ASIGNADOS,266.17400
2213999,RESULTADOS INTEGRALES,-108.55500
2299999,TOTAL PATRIMONIO NETO,1.455.33100
2322200,PASIVOS FINANCIEROS CORRIENTES,629.88200
2321999,CUENTAS POR PAGAR CORRIENTES,965.53500
2322100,PASIVOS POR IMPUESTOS CORRIENTES,97.67600
2322300,OTROS PASIVOS NO FINANCIEROS CORRIENTES,368.84200
2339999,PASIVO CORRIENTE,2.061.93500
2312300,PASIVOS FINANCIEROS NO CORRIENTES,602.99700
2311999,CUENTAS POR PAGAR NO CORRIENTES,0
2312200,PASIVOS POR IMPUESTOS NO CORRIENTES,0
2312400,OTROS PASIVOS NO FINANCIEROS NO CORRIENTES,423.27400
2319999,PASIVO NO CORRIENTE,1.026.27100
2399999,TOTAL DEL PASIVO,3.088.20600
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,4.543.53700
3000100,INGRESOS DE ACTIVIDADES ORDINARIAS,1.552.41400
3000200,COSTO DE VENTAS Y/O SERVICIOS,-970.18600
3009999,GANANCIA (PERDIDA) BRUTA,582.22800
3011301,HONORARIOS A DIRECTORES Y SINDICOS,-35.00000
3011300,OTROS GASTOS DE ADMINISTRACION,-128.43400
3011200,GASTOS DE COMERCIALIZACION Y/O DISTRIBUCION,-234.18500
3011400,OTROS GASTOS OPERATIVOS,-12.21500
3011100,OTROS INGRESOS,158.82800
3011600,DEPRECIACIONES Y AMORTIZACIONES,-13.50300
3019999,GANANCIA (PERDIDA) DE ACTIVIDADES OPERATIVAS,317.71900
3021400,INGRESOS FINANCIEROS,28.29300
3021500,COSTOS FINANCIEROS,-290.00000
3021800,RECPAM,-188.32400
3021900,OTROS RESULTADOS,-1.70600
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,-134.01800
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,25.46300
3049999,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO,-108.55500
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,0
3099999,RESULTADO INTEGRAL TOTAL  DEL EJERCICIO / PERIODO,-108.55500
3241100,TOTAL CAMBIOS EN ACTIVOS Y PASIVOS OPERATIVOS,50.97200
3241200,TOTAL DE ACTIVIDADES DE INVERSION,-16.69000
3241300,TOTAL DE ACTIVIDADES DE FINANCIACION,-33.28700
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,995.00
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,-108.55
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,-108.55
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR,1.560.80500
8000003,EBIT,317.71900
8000004,EBITDA,348.58500
8000005,CAPITAL DE TRABAJO,839.05000
8000006,LIQUIDEZ,1.41
8000007,SOLVENCIA,0.47
8000008,INMOVILIZACION DEL CAPITAL,0.36
8000009,RENTABILIDAD PATRIMONIO NETO,-0.09
8000010,RENTABILIDAD DEL ACTIVO,-0.03
8000011,ENDEUDAMIENTO,2.12
8000012,ENDEUDAMIENTO A CORTO PLAZO,1.42
8000013,APALANCAMIENTO,3.12
8000014,MARGEN NETO / VENTAS,-0.07
8000015,DEUDA FINANCIERA / EBITDA,3.54
8000016,EBITDA / COSTOS FINANCIEROS,-1.20
8000017,ANALISIS DU-PONT,-0.09
