Nro,Rubro,Monto
1122500,EFECTIVO Y EQUIVALENTES A EFECTIVO,642991.00
1122300,ACTIVOS FINANCIEROS CORRIENTES,3234511.00
1121999,CUENTAS POR COBRAR CORRIENTES,6763337.00
1122400,OTROS ACTIVOS NO FINANCIEROS CORRIENTES,529719.00
1120100,INVENTARIOS CORRIENTES,57540.00
1139999,ACTIVO CORRIENTE,11228098.00
1112400,ACTIVOS FINANCIEROS NO CORRIENTES,53448.00
1111999,CUENTAS POR COBRAR NO CORRIENTES,1765469.00
1110100,PROPIEDADES PLANTAS Y EQUIPOS,24569324.00
1112500,OTROS ACTIVOS NO FINANCIEROS NO CORRIENTES,641393.00
1110200,ACTIVOS INTANGIBLES,106543.00
1119999,ACTIVO NO CORRIENTE,27136177.00
1999999,TOTAL DEL ACTIVO,38364275.00
2210999,CAPITAL,202351.00
2210300,AJUSTE DE CAPITAL,17053455.00
2210500,APORTES NO CAPITALIZADOS O CONTRIBUCIONES DE CAPITAL,0
2210900,OTROS CONCEPTOS DEL CAPITAL,0
2211100,RESERVA LEGAL,1115928.00
2211200,OTRAS RESERVAS,10198290.00
2211999,GANANCIAS RESERVADAS,11314218.00
2211300,INTERESES NO CONTROLANTES,0
2212999,RESULTADOS NO ASIGNADOS,-3965125.00
2213999,RESULTADOS INTEGRALES,0
2299999,TOTAL PATRIMONIO NETO,24604899.00
2322200,PASIVOS FINANCIEROS CORRIENTES,469973.00
2321999,CUENTAS POR PAGAR CORRIENTES,6027749.00
2322100,PASIVOS POR IMPUESTOS CORRIENTES,373769.00
2322300,OTROS PASIVOS NO FINANCIEROS CORRIENTES,1857379.00
2339999,PASIVO CORRIENTE,8728870.00
2312300,PASIVOS FINANCIEROS NO CORRIENTES,408.00
2311999,CUENTAS POR PAGAR NO CORRIENTES,33227.00
2312200,PASIVOS POR IMPUESTOS NO CORRIENTES,4996871.00
2312400,OTROS PASIVOS NO FINANCIEROS NO CORRIENTES,0
2319999,PASIVO NO CORRIENTE,5030506.00
2399999,TOTAL DEL PASIVO,13759376.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,38364275.00
3000100,INGRESOS DE ACTIVIDADES ORDINARIAS,18585493.00
3000200,COSTO DE VENTAS Y/O SERVICIOS,-13353778.00
3009999,GANANCIA (PERDIDA) BRUTA,5231715.00
3011301,HONORARIOS A DIRECTORES Y SINDICOS,-10729.00
3011300,OTROS GASTOS DE ADMINISTRACION,-1069887.00
3011200,GASTOS DE COMERCIALIZACION Y/O DISTRIBUCION,-1855418.00
3011400,OTROS GASTOS OPERATIVOS,-155230.00
3011100,OTROS INGRESOS,548436.00
3011600,DEPRECIACIONES Y AMORTIZACIONES,-1284235.00
3019999,GANANCIA (PERDIDA) DE ACTIVIDADES OPERATIVAS,1404652.00
3021400,INGRESOS FINANCIEROS,553318.00
3021500,COSTOS FINANCIEROS,-197709.00
3021800,RECPAM,-1798479.00
3021900,OTROS RESULTADOS,-86478.00
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,-124696.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,-207175.00
3049999,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO,-331871.00
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,0
3099999,RESULTADO INTEGRAL TOTAL  DEL EJERCICIO / PERIODO,-331871.00
3241100,TOTAL CAMBIOS EN ACTIVOS Y PASIVOS OPERATIVOS,-230677.00
3241200,TOTAL DE ACTIVIDADES DE INVERSION,3534.00
3241300,TOTAL DE ACTIVIDADES DE FINANCIACION,249485.00
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,22342.00
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,-1.64
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,-1.64
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR,24936770.00
8000003,EBIT,1053795.00
8000004,EBITDA,2348131.00
8000005,CAPITAL DE TRABAJO,2499228.00
8000006,LIQUIDEZ,1.29
8000007,SOLVENCIA,1.79
8000008,INMOVILIZACION DEL CAPITAL,0.71
8000009,RENTABILIDAD PATRIMONIO NETO,-0.01
8000010,RENTABILIDAD DEL ACTIVO,-0.00
8000011,ENDEUDAMIENTO,0.56
8000012,ENDEUDAMIENTO A CORTO PLAZO,0.35
8000013,APALANCAMIENTO,1.56
8000014,MARGEN NETO / VENTAS,-0.02
8000015,DEUDA FINANCIERA / EBITDA,0.20
8000016,EBITDA / COSTOS FINANCIEROS,-11.88
8000017,ANALISIS DU-PONT,-0.01
