Nro,Rubro,Monto
1122500,EFECTIVO Y EQUIVALENTES A EFECTIVO,451587.00
1122300,ACTIVOS FINANCIEROS CORRIENTES,2810692.00
1121999,CUENTAS POR COBRAR CORRIENTES,8843018.00
1122400,OTROS ACTIVOS NO FINANCIEROS CORRIENTES,2398628.00
1120100,INVENTARIOS CORRIENTES,321880.00
1139999,ACTIVO CORRIENTE,14825805.00
1112400,ACTIVOS FINANCIEROS NO CORRIENTES,80305.00
1111999,CUENTAS POR COBRAR NO CORRIENTES,16204.00
1110100,PROPIEDADES PLANTAS Y EQUIPOS,94068825.00
1112500,OTROS ACTIVOS NO FINANCIEROS NO CORRIENTES,20117.00
1110200,ACTIVOS INTANGIBLES,509676.00
1119999,ACTIVO NO CORRIENTE,94695127.00
1999999,TOTAL DEL ACTIVO,109520932.00
2210999,CAPITAL,160457.00
2210300,AJUSTE DE CAPITAL,59450692.00
2210500,APORTES NO CAPITALIZADOS O CONTRIBUCIONES DE CAPITAL,0
2210900,OTROS CONCEPTOS DEL CAPITAL,0
2211100,RESERVA LEGAL,4258407.00
2211200,OTRAS RESERVAS,8556762.00
2211999,GANANCIAS RESERVADAS,12815169.00
2211300,INTERESES NO CONTROLANTES,0
2212999,RESULTADOS NO ASIGNADOS,4094846.00
2213999,RESULTADOS INTEGRALES,0
2299999,TOTAL PATRIMONIO NETO,76521164.00
2322200,PASIVOS FINANCIEROS CORRIENTES,1095078.00
2321999,CUENTAS POR PAGAR CORRIENTES,7404911.00
2322100,PASIVOS POR IMPUESTOS CORRIENTES,694960.00
2322300,OTROS PASIVOS NO FINANCIEROS CORRIENTES,2578344.00
2339999,PASIVO CORRIENTE,11773293.00
2312300,PASIVOS FINANCIEROS NO CORRIENTES,0
2311999,CUENTAS POR PAGAR NO CORRIENTES,317331.00
2312200,PASIVOS POR IMPUESTOS NO CORRIENTES,20909144.00
2312400,OTROS PASIVOS NO FINANCIEROS NO CORRIENTES,0
2319999,PASIVO NO CORRIENTE,21226475.00
2399999,TOTAL DEL PASIVO,32999768.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,109520932.00
3000100,INGRESOS DE ACTIVIDADES ORDINARIAS,70320142.00
3000200,COSTO DE VENTAS Y/O SERVICIOS,-54941401.00
3009999,GANANCIA (PERDIDA) BRUTA,15378741.00
3011301,HONORARIOS A DIRECTORES Y SINDICOS,-28616.00
3011300,OTROS GASTOS DE ADMINISTRACION,-5985213.00
3011200,GASTOS DE COMERCIALIZACION Y/O DISTRIBUCION,-8789401.00
3011400,OTROS GASTOS OPERATIVOS,-330017.00
3011100,OTROS INGRESOS,2218275.00
3011600,DEPRECIACIONES Y AMORTIZACIONES,-5942075.00
3019999,GANANCIA (PERDIDA) DE ACTIVIDADES OPERATIVAS,-3478306.00
3021400,INGRESOS FINANCIEROS,17055974.00
3021500,COSTOS FINANCIEROS,-1082256.00
3021800,RECPAM,-7740302.00
3021900,OTROS RESULTADOS,21356.00
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,4776466.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,-681620.00
3032000,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO OPERACIONES CONTINUADAS,4094846.00
3041000,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO OPERACIONES DISCONTINUADAS,0
3049999,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO,4094846.00
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,0
3099999,RESULTADO INTEGRAL TOTAL  DEL EJERCICIO / PERIODO,4094846.00
3241100,TOTAL CAMBIOS EN ACTIVOS Y PASIVOS OPERATIVOS,-9288633.00
3241200,TOTAL DE ACTIVIDADES DE INVERSION,19717964.00
3241300,TOTAL DE ACTIVIDADES DE FINANCIACION,-13663325.00
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,-3233994.00
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,25.52
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,25.52
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR,86089643.00
8000003,EBIT,-4596312.00
8000004,EBITDA,1345763.00
8000005,CAPITAL DE TRABAJO,3052512.00
8000006,LIQUIDEZ,1.26
8000007,SOLVENCIA,2.32
8000008,INMOVILIZACION DEL CAPITAL,0.86
8000009,RENTABILIDAD PATRIMONIO NETO,0.05
8000010,RENTABILIDAD DEL ACTIVO,0.04
8000011,ENDEUDAMIENTO,0.43
8000012,ENDEUDAMIENTO A CORTO PLAZO,0.15
8000013,APALANCAMIENTO,1.43
8000014,MARGEN NETO / VENTAS,0.06
8000015,DEUDA FINANCIERA / EBITDA,0.81
8000016,EBITDA / COSTOS FINANCIEROS,-1.24
8000017,ANALISIS DU-PONT,0.05
8000027,PRUEBA ACIDA,1.23
8000028,COBERTURA DE GASTOS FINANCIEROS,3.21
8000029,ROTACION DE ACTIVOS,0.64
