Nro,Rubro,Monto
1122500,EFECTIVO Y EQUIVALENTES A EFECTIVO,3672633.00
1122300,ACTIVOS FINANCIEROS CORRIENTES,92382705.00
1121999,CUENTAS POR COBRAR CORRIENTES,76214905.00
1122400,OTROS ACTIVOS NO FINANCIEROS CORRIENTES,119273940.00
1120100,INVENTARIOS CORRIENTES,565675828.00
1139999,ACTIVO CORRIENTE,857220011.00
1112400,ACTIVOS FINANCIEROS NO CORRIENTES,0
1111999,CUENTAS POR COBRAR NO CORRIENTES,0
1110100,PROPIEDADES PLANTAS Y EQUIPOS,83078307.00
1112500,OTROS ACTIVOS NO FINANCIEROS NO CORRIENTES,40843887.00
1110200,ACTIVOS INTANGIBLES,0
1119999,ACTIVO NO CORRIENTE,123922194.00
1999999,TOTAL DEL ACTIVO,981142205.00
2210999,CAPITAL,100000000.00
2210300,AJUSTE DE CAPITAL,470992573.00
2210500,APORTES NO CAPITALIZADOS O CONTRIBUCIONES DE CAPITAL,0
2210900,OTROS CONCEPTOS DEL CAPITAL,0
2211100,RESERVA LEGAL,34661197.00
2211200,OTRAS RESERVAS,47943885.00
2211999,GANANCIAS RESERVADAS,82605082.00
2211300,INTERESES NO CONTROLANTES,0
2212999,RESULTADOS NO ASIGNADOS,27916867.00
2213999,RESULTADOS INTEGRALES,0
2299999,TOTAL PATRIMONIO NETO,681514522.00
2322200,PASIVOS FINANCIEROS CORRIENTES,0
2321999,CUENTAS POR PAGAR CORRIENTES,113828466.00
2322100,PASIVOS POR IMPUESTOS CORRIENTES,16045989.00
2322300,OTROS PASIVOS NO FINANCIEROS CORRIENTES,136836515.00
2339999,PASIVO CORRIENTE,266710970.00
2312300,PASIVOS FINANCIEROS NO CORRIENTES,0
2311999,CUENTAS POR PAGAR NO CORRIENTES,20275600.00
2312200,PASIVOS POR IMPUESTOS NO CORRIENTES,1189839.00
2312400,OTROS PASIVOS NO FINANCIEROS NO CORRIENTES,11451274.00
2319999,PASIVO NO CORRIENTE,32916713.00
2399999,TOTAL DEL PASIVO,299627683.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,981142205.00
3000100,INGRESOS DE ACTIVIDADES ORDINARIAS,680185091.00
3000200,COSTO DE VENTAS Y/O SERVICIOS,-517622525.00
3009999,GANANCIA (PERDIDA) BRUTA,162562566.00
3011301,HONORARIOS A DIRECTORES Y SINDICOS,0
3011300,OTROS GASTOS DE ADMINISTRACION,-43237390.00
3011200,GASTOS DE COMERCIALIZACION Y/O DISTRIBUCION,-112168764.00
3011400,OTROS GASTOS OPERATIVOS,0
3011100,OTROS INGRESOS,19917013.00
3011600,DEPRECIACIONES Y AMORTIZACIONES,-4171701.00
3019999,GANANCIA (PERDIDA) DE ACTIVIDADES OPERATIVAS,22901724.00
3021400,INGRESOS FINANCIEROS,53320546.00
3021500,COSTOS FINANCIEROS,-9238936.00
3021800,RECPAM,-33283853.00
3021900,OTROS RESULTADOS,5900278.00
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,39599759.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,-11682892.00
3049999,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO,27916867.00
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,0
3099999,RESULTADO INTEGRAL TOTAL  DEL EJERCICIO / PERIODO,27916867.00
3241100,TOTAL CAMBIOS EN ACTIVOS Y PASIVOS OPERATIVOS,-272497747.68
3241200,TOTAL DE ACTIVIDADES DE INVERSION,-4633477.00
3241300,TOTAL DE ACTIVIDADES DE FINANCIACION,195890996.00
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,-81240228.68
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,0.28
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,0.28
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR,686411042.00
8000003,EBIT,56297794.32
8000004,EBITDA,60469495.32
8000005,CAPITAL DE TRABAJO,590509041.00
8000006,LIQUIDEZ,3.21
8000007,SOLVENCIA,2.27
8000008,INMOVILIZACION DEL CAPITAL,0.13
8000009,RENTABILIDAD PATRIMONIO NETO,0.06
8000010,RENTABILIDAD DEL ACTIVO,0.04
8000011,ENDEUDAMIENTO,0.44
8000012,ENDEUDAMIENTO A CORTO PLAZO,0.39
8000013,APALANCAMIENTO,1.44
8000014,MARGEN NETO / VENTAS,0.04
8000015,DEUDA FINANCIERA / EBITDA,0
8000016,EBITDA / COSTOS FINANCIEROS,-6.55
8000017,ANALISIS DU-PONT,0.06
