Nro,Rubro,Monto
1122500,EFECTIVO Y EQUIVALENTES A EFECTIVO,1797295.00
1122300,ACTIVOS FINANCIEROS CORRIENTES,17339171.00
1121999,CUENTAS POR COBRAR CORRIENTES,164870.00
1122400,OTROS ACTIVOS NO FINANCIEROS CORRIENTES,220213.00
1120100,INVENTARIOS CORRIENTES,0
1139999,ACTIVO CORRIENTE,19521549.00
1112400,ACTIVOS FINANCIEROS NO CORRIENTES,465053284.00
1111999,CUENTAS POR COBRAR NO CORRIENTES,0
1110100,PROPIEDADES PLANTAS Y EQUIPOS,0
1112500,OTROS ACTIVOS NO FINANCIEROS NO CORRIENTES,671553.00
1110200,ACTIVOS INTANGIBLES,0
1119999,ACTIVO NO CORRIENTE,465724837.00
1999999,TOTAL DEL ACTIVO,485246386.00
2210999,CAPITAL,229231.00
2210300,AJUSTE DE CAPITAL,156078930.00
2210500,APORTES NO CAPITALIZADOS O CONTRIBUCIONES DE CAPITAL,0
2210900,OTROS CONCEPTOS DEL CAPITAL,272780396.00
2211100,RESERVA LEGAL,9924541.00
2211200,OTRAS RESERVAS,0
2211999,GANANCIAS RESERVADAS,9924541.00
2211300,INTERESES NO CONTROLANTES,0
2212999,RESULTADOS NO ASIGNADOS,44651169.00
2213999,RESULTADOS INTEGRALES,0
2299999,TOTAL PATRIMONIO NETO,483664267.00
2322200,PASIVOS FINANCIEROS CORRIENTES,0
2321999,CUENTAS POR PAGAR CORRIENTES,983975.00
2322100,PASIVOS POR IMPUESTOS CORRIENTES,598144.00
2322300,OTROS PASIVOS NO FINANCIEROS CORRIENTES,0
2339999,PASIVO CORRIENTE,1582119.00
2312300,PASIVOS FINANCIEROS NO CORRIENTES,0
2311999,CUENTAS POR PAGAR NO CORRIENTES,0
2312200,PASIVOS POR IMPUESTOS NO CORRIENTES,0
2312400,OTROS PASIVOS NO FINANCIEROS NO CORRIENTES,0
2319999,PASIVO NO CORRIENTE,0
2399999,TOTAL DEL PASIVO,1582119.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,485246386.00
3000100,INGRESOS DE ACTIVIDADES ORDINARIAS,0
3000200,COSTO DE VENTAS Y/O SERVICIOS,0
3009999,GANANCIA (PERDIDA) BRUTA,0
3011301,HONORARIOS A DIRECTORES Y SINDICOS,0
3011300,OTROS GASTOS DE ADMINISTRACION,-1008498.00
3011200,GASTOS DE COMERCIALIZACION Y/O DISTRIBUCION,0
3011400,OTROS GASTOS OPERATIVOS,44.00
3011100,OTROS INGRESOS,13723207.00
3011600,DEPRECIACIONES Y AMORTIZACIONES,0
3019999,GANANCIA (PERDIDA) DE ACTIVIDADES OPERATIVAS,12714753.00
3021400,INGRESOS FINANCIEROS,402792.00
3021500,COSTOS FINANCIEROS,1787153.00
3021800,RECPAM,0
3021900,OTROS RESULTADOS,0
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,14904698.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,341726.00
3032000,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO OPERACIONES CONTINUADAS,15246424.00
3041000,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO OPERACIONES DISCONTINUADAS,0
3049999,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO,15246424.00
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,0
3099999,RESULTADO INTEGRAL TOTAL  DEL EJERCICIO / PERIODO,15246424.00
3241100,TOTAL CAMBIOS EN ACTIVOS Y PASIVOS OPERATIVOS,-1846038.00
3241200,TOTAL DE ACTIVIDADES DE INVERSION,30473498.00
3241300,TOTAL DE ACTIVIDADES DE FINANCIACION,-27889064.00
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,738396.00
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,665.11
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,0
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR,0
8000003,EBIT,-2531671.00
8000004,EBITDA,-2531671.00
8000005,CAPITAL DE TRABAJO,17939430.00
8000006,LIQUIDEZ,12.34
8000007,SOLVENCIA,305.71
8000008,INMOVILIZACION DEL CAPITAL,0.96
8000009,RENTABILIDAD PATRIMONIO NETO,0.06
8000010,RENTABILIDAD DEL ACTIVO,0.03
8000011,ENDEUDAMIENTO,0.00
8000012,ENDEUDAMIENTO A CORTO PLAZO,0.00
8000013,APALANCAMIENTO,1.00
8000014,MARGEN NETO / VENTAS,0
8000015,DEUDA FINANCIERA / EBITDA,0
8000016,EBITDA / COSTOS FINANCIEROS,-1.42
8000017,ANALISIS DU-PONT,0
8000027,PRUEBA ACIDA,12.34
8000028,COBERTURA DE GASTOS FINANCIEROS,7.11
8000029,ROTACION DE ACTIVOS,0
