Nro,Rubro,Monto
1122500,EFECTIVO Y EQUIVALENTES A EFECTIVO,436618.00
1122300,ACTIVOS FINANCIEROS CORRIENTES,4799.00
1121999,CUENTAS POR COBRAR CORRIENTES,0
1122400,OTROS ACTIVOS NO FINANCIEROS CORRIENTES,9128124.00
1120100,INVENTARIOS CORRIENTES,8609525.00
1139999,ACTIVO CORRIENTE,18179066.00
1112400,ACTIVOS FINANCIEROS NO CORRIENTES,0
1111999,CUENTAS POR COBRAR NO CORRIENTES,0
1110100,PROPIEDADES PLANTAS Y EQUIPOS,101910480.00
1112500,OTROS ACTIVOS NO FINANCIEROS NO CORRIENTES,526692.00
1110200,ACTIVOS INTANGIBLES,16334036.00
1119999,ACTIVO NO CORRIENTE,118771208.00
1999999,TOTAL DEL ACTIVO,136950274.00
2210999,CAPITAL,16202511.00
2210300,AJUSTE DE CAPITAL,12313912.00
2210500,APORTES NO CAPITALIZADOS O CONTRIBUCIONES DE CAPITAL,0
2210900,OTROS CONCEPTOS DEL CAPITAL,0
2211100,RESERVA LEGAL,156397.00
2211200,OTRAS RESERVAS,0
2211999,GANANCIAS RESERVADAS,156397.00
2211300,INTERESES NO CONTROLANTES,0
2212999,RESULTADOS NO ASIGNADOS,-18175429.00
2213999,RESULTADOS INTEGRALES,55880084.00
2299999,TOTAL PATRIMONIO NETO,66377475.00
2322200,PASIVOS FINANCIEROS CORRIENTES,47254577.00
2321999,CUENTAS POR PAGAR CORRIENTES,18531730.00
2322100,PASIVOS POR IMPUESTOS CORRIENTES,67203.00
2322300,OTROS PASIVOS NO FINANCIEROS CORRIENTES,3445918.00
2339999,PASIVO CORRIENTE,69299428.00
2312300,PASIVOS FINANCIEROS NO CORRIENTES,0
2311999,CUENTAS POR PAGAR NO CORRIENTES,443155.00
2312200,PASIVOS POR IMPUESTOS NO CORRIENTES,0
2312400,OTROS PASIVOS NO FINANCIEROS NO CORRIENTES,830216.00
2319999,PASIVO NO CORRIENTE,1273371.00
2399999,TOTAL DEL PASIVO,70572799.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,136950274.00
3000100,INGRESOS DE ACTIVIDADES ORDINARIAS,25327579.00
3000200,COSTO DE VENTAS Y/O SERVICIOS,-15869658.00
3009999,GANANCIA (PERDIDA) BRUTA,9457921.00
3011301,HONORARIOS A DIRECTORES Y SINDICOS,-323253.00
3011300,OTROS GASTOS DE ADMINISTRACION,-2904482.00
3011200,GASTOS DE COMERCIALIZACION Y/O DISTRIBUCION,-1895482.00
3011400,OTROS GASTOS OPERATIVOS,-2592003.00
3011100,OTROS INGRESOS,0
3011600,DEPRECIACIONES Y AMORTIZACIONES,-6729545.00
3019999,GANANCIA (PERDIDA) DE ACTIVIDADES OPERATIVAS,-4986844.00
3021400,INGRESOS FINANCIEROS,1604683.00
3021500,COSTOS FINANCIEROS,-5554473.00
3021800,RECPAM,0
3021900,OTROS RESULTADOS,0
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,-8936634.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,0
3032000,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO OPERACIONES CONTINUADAS,-8936634.00
3041000,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO OPERACIONES DISCONTINUADAS,0
3049999,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO,-8936634.00
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,18224402.00
3099999,RESULTADO INTEGRAL TOTAL  DEL EJERCICIO / PERIODO,9287768.00
3241100,TOTAL CAMBIOS EN ACTIVOS Y PASIVOS OPERATIVOS,-3999794.00
3241200,TOTAL DE ACTIVIDADES DE INVERSION,-3426630.00
3241300,TOTAL DE ACTIVIDADES DE FINANCIACION,7605787.00
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,179363.00
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,-5.52
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,-5.52
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR,57089707.00
8000003,EBIT,-4986844.00
8000004,EBITDA,1742701.00
8000005,CAPITAL DE TRABAJO,-51120362.00
8000006,LIQUIDEZ,0.26
8000007,SOLVENCIA,0.94
8000008,INMOVILIZACION DEL CAPITAL,0.87
8000009,RENTABILIDAD PATRIMONIO NETO,-0.14
8000010,RENTABILIDAD DEL ACTIVO,-0.07
8000011,ENDEUDAMIENTO,1.06
8000012,ENDEUDAMIENTO A CORTO PLAZO,1.04
8000013,APALANCAMIENTO,2.06
8000014,MARGEN NETO / VENTAS,0.37
8000015,DEUDA FINANCIERA / EBITDA,27.12
8000016,EBITDA / COSTOS FINANCIEROS,-0.31
8000017,ANALISIS DU-PONT,-0.13
8000027,PRUEBA ACIDA,0.14
8000028,COBERTURA DE GASTOS FINANCIEROS,0.90
8000029,ROTACION DE ACTIVOS,0.18
