Nro,Rubro,Monto
1122500,EFECTIVO Y EQUIVALENTES A EFECTIVO,65217.00
1122300,ACTIVOS FINANCIEROS CORRIENTES,0
1121999,CUENTAS POR COBRAR CORRIENTES,4347430.00
1122400,OTROS ACTIVOS NO FINANCIEROS CORRIENTES,0
1120100,INVENTARIOS CORRIENTES,294945.00
1139999,ACTIVO CORRIENTE,4707592.00
1112400,ACTIVOS FINANCIEROS NO CORRIENTES,0
1111999,CUENTAS POR COBRAR NO CORRIENTES,748791.00
1110100,PROPIEDADES PLANTAS Y EQUIPOS,36732367.00
1112500,OTROS ACTIVOS NO FINANCIEROS NO CORRIENTES,0
1110200,ACTIVOS INTANGIBLES,312935.00
1119999,ACTIVO NO CORRIENTE,37794093.00
1999999,TOTAL DEL ACTIVO,42501685.00
2210999,CAPITAL,22888.00
2210300,AJUSTE DE CAPITAL,768856.00
2210500,APORTES NO CAPITALIZADOS O CONTRIBUCIONES DE CAPITAL,0
2210900,OTROS CONCEPTOS DEL CAPITAL,1724977.00
2211100,RESERVA LEGAL,158351.00
2211200,OTRAS RESERVAS,11679031.00
2211999,GANANCIAS RESERVADAS,11837382.00
2211300,INTERESES NO CONTROLANTES,1860740.00
2212999,RESULTADOS NO ASIGNADOS,1502316.00
2213999,RESULTADOS INTEGRALES,1585179.00
2299999,TOTAL PATRIMONIO NETO,19302338.00
2322200,PASIVOS FINANCIEROS CORRIENTES,1121270.00
2321999,CUENTAS POR PAGAR CORRIENTES,4885195.00
2322100,PASIVOS POR IMPUESTOS CORRIENTES,747151.00
2322300,OTROS PASIVOS NO FINANCIEROS CORRIENTES,174813.00
2339999,PASIVO CORRIENTE,6928429.00
2312300,PASIVOS FINANCIEROS NO CORRIENTES,2043349.00
2311999,CUENTAS POR PAGAR NO CORRIENTES,2951110.00
2312200,PASIVOS POR IMPUESTOS NO CORRIENTES,10565579.00
2312400,OTROS PASIVOS NO FINANCIEROS NO CORRIENTES,710880.00
2319999,PASIVO NO CORRIENTE,16270918.00
2399999,TOTAL DEL PASIVO,23199347.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,42501685.00
3000100,INGRESOS DE ACTIVIDADES ORDINARIAS,4817592.00
3000200,COSTO DE VENTAS Y/O SERVICIOS,-2829751.00
3009999,GANANCIA (PERDIDA) BRUTA,1987841.00
3011301,HONORARIOS A DIRECTORES Y SINDICOS,-3382.00
3011300,OTROS GASTOS DE ADMINISTRACION,-407363.00
3011200,GASTOS DE COMERCIALIZACION Y/O DISTRIBUCION,-494473.00
3011400,OTROS GASTOS OPERATIVOS,-66409.00
3011100,OTROS INGRESOS,112552.00
3011600,DEPRECIACIONES Y AMORTIZACIONES,-338205.00
3019999,GANANCIA (PERDIDA) DE ACTIVIDADES OPERATIVAS,790561.00
3021400,INGRESOS FINANCIEROS,386477.00
3021500,COSTOS FINANCIEROS,-49690.00
3021800,RECPAM,255427.00
3021900,OTROS RESULTADOS,0
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,1382775.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,-722632.00
3049999,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO,660143.00
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,0
3099999,RESULTADO INTEGRAL TOTAL  DEL EJERCICIO / PERIODO,660143.00
3241100,TOTAL CAMBIOS EN ACTIVOS Y PASIVOS OPERATIVOS,1583856.00
3241200,TOTAL DE ACTIVIDADES DE INVERSION,-1384397.00
3241300,TOTAL DE ACTIVIDADES DE FINANCIACION,-347081.00
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,-147622.00
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,26.05
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,26.05
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR,18642195.00
8000003,EBIT,0
8000004,EBITDA,0
8000005,CAPITAL DE TRABAJO,-2220837.00
8000006,LIQUIDEZ,0.68
8000007,SOLVENCIA,0.83
8000008,INMOVILIZACION DEL CAPITAL,0.89
8000009,RENTABILIDAD PATRIMONIO NETO,0.07
8000010,RENTABILIDAD DEL ACTIVO,0.03
8000011,ENDEUDAMIENTO,1.20
8000012,ENDEUDAMIENTO A CORTO PLAZO,0.36
8000013,APALANCAMIENTO,2.20
8000014,MARGEN NETO / VENTAS,0.14
8000015,DEUDA FINANCIERA / EBITDA,0
8000016,EBITDA / COSTOS FINANCIEROS,0
8000017,ANALISIS DU-PONT,0.07
