Nro,Rubro,Monto
1122500,EFECTIVO Y EQUIVALENTES A EFECTIVO,283723.00
1122300,ACTIVOS FINANCIEROS CORRIENTES,0
1121999,CUENTAS POR COBRAR CORRIENTES,10235170.00
1122400,OTROS ACTIVOS NO FINANCIEROS CORRIENTES,0
1120100,INVENTARIOS CORRIENTES,67346569.00
1139999,ACTIVO CORRIENTE,77865462.00
1112400,ACTIVOS FINANCIEROS NO CORRIENTES,21610884.00
1111999,CUENTAS POR COBRAR NO CORRIENTES,9867972.00
1110100,PROPIEDADES PLANTAS Y EQUIPOS,136925419.00
1112500,OTROS ACTIVOS NO FINANCIEROS NO CORRIENTES,0
1110200,ACTIVOS INTANGIBLES,0
1119999,ACTIVO NO CORRIENTE,168404275.00
1999999,TOTAL DEL ACTIVO,246269737.00
2210999,CAPITAL,567000.00
2210300,AJUSTE DE CAPITAL,32544438.00
2210500,APORTES NO CAPITALIZADOS O CONTRIBUCIONES DE CAPITAL,0
2210900,OTROS CONCEPTOS DEL CAPITAL,0
2211100,RESERVA LEGAL,5803377.00
2211200,OTRAS RESERVAS,0
2211999,GANANCIAS RESERVADAS,5803377.00
2211300,INTERESES NO CONTROLANTES,0
2212999,RESULTADOS NO ASIGNADOS,37916321.00
2213999,RESULTADOS INTEGRALES,0
2299999,TOTAL PATRIMONIO NETO,76831136.00
2322200,PASIVOS FINANCIEROS CORRIENTES,0
2321999,CUENTAS POR PAGAR CORRIENTES,3262364.00
2322100,PASIVOS POR IMPUESTOS CORRIENTES,15047275.00
2322300,OTROS PASIVOS NO FINANCIEROS CORRIENTES,82813012.00
2339999,PASIVO CORRIENTE,101122651.00
2312300,PASIVOS FINANCIEROS NO CORRIENTES,253449.00
2311999,CUENTAS POR PAGAR NO CORRIENTES,0
2312200,PASIVOS POR IMPUESTOS NO CORRIENTES,68062501.00
2312400,OTROS PASIVOS NO FINANCIEROS NO CORRIENTES,0
2319999,PASIVO NO CORRIENTE,68315950.00
2399999,TOTAL DEL PASIVO,169438601.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,246269737.00
3000100,INGRESOS DE ACTIVIDADES ORDINARIAS,88509583.00
3000200,COSTO DE VENTAS Y/O SERVICIOS,-155607957.00
3009999,GANANCIA (PERDIDA) BRUTA,-67098374.00
3011301,HONORARIOS A DIRECTORES Y SINDICOS,-180000.00
3011300,OTROS GASTOS DE ADMINISTRACION,-27081530.00
3011200,GASTOS DE COMERCIALIZACION Y/O DISTRIBUCION,-411784.00
3011400,OTROS GASTOS OPERATIVOS,0
3011100,OTROS INGRESOS,4572640.00
3011600,DEPRECIACIONES Y AMORTIZACIONES,0
3019999,GANANCIA (PERDIDA) DE ACTIVIDADES OPERATIVAS,-90199048.00
3021400,INGRESOS FINANCIEROS,24279459.00
3021500,COSTOS FINANCIEROS,-157846.00
3021800,RECPAM,103993756.00
3021900,OTROS RESULTADOS,0
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,37916321.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,0
3032000,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO OPERACIONES CONTINUADAS,37916321.00
3041000,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO OPERACIONES DISCONTINUADAS,0
3049999,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO,37916321.00
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,0
3099999,RESULTADO INTEGRAL TOTAL  DEL EJERCICIO / PERIODO,37916321.00
3241100,TOTAL CAMBIOS EN ACTIVOS Y PASIVOS OPERATIVOS,134694949.00
3241200,TOTAL DE ACTIVIDADES DE INVERSION,0
3241300,TOTAL DE ACTIVIDADES DE FINANCIACION,-135373444.00
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,-678495.00
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,66.87
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,66.87
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR,38914815.00
8000003,EBIT,-90199048.00
8000004,EBITDA,-88427747.00
8000005,CAPITAL DE TRABAJO,-23257189.00
8000006,LIQUIDEZ,0.77
8000007,SOLVENCIA,0.45
8000008,INMOVILIZACION DEL CAPITAL,0.68
8000009,RENTABILIDAD PATRIMONIO NETO,0.66
8000010,RENTABILIDAD DEL ACTIVO,0.15
8000011,ENDEUDAMIENTO,2.21
8000012,ENDEUDAMIENTO A CORTO PLAZO,1.32
8000013,APALANCAMIENTO,3.21
8000014,MARGEN NETO / VENTAS,0.43
8000015,DEUDA FINANCIERA / EBITDA,-0.00
8000016,EBITDA / COSTOS FINANCIEROS,560.22
8000017,ANALISIS DU-PONT,0.49
8000027,PRUEBA ACIDA,0.10
8000028,COBERTURA DE GASTOS FINANCIEROS,571.44
8000029,ROTACION DE ACTIVOS,0.36
