Nro,Rubro,Monto
1122500,EFECTIVO Y EQUIVALENTES A EFECTIVO,1002261.00
1122300,ACTIVOS FINANCIEROS CORRIENTES,5453042.00
1121999,CUENTAS POR COBRAR CORRIENTES,4210521.00
1122400,OTROS ACTIVOS NO FINANCIEROS CORRIENTES,0
1120100,INVENTARIOS CORRIENTES,291347.00
1139999,ACTIVO CORRIENTE,10957171.00
1112400,ACTIVOS FINANCIEROS NO CORRIENTES,0
1111999,CUENTAS POR COBRAR NO CORRIENTES,114881.00
1110100,PROPIEDADES PLANTAS Y EQUIPOS,18702327.00
1112500,OTROS ACTIVOS NO FINANCIEROS NO CORRIENTES,245359.00
1110200,ACTIVOS INTANGIBLES,0
1119999,ACTIVO NO CORRIENTE,19062567.00
1999999,TOTAL DEL ACTIVO,30019738.00
2210999,CAPITAL,461553.00
2210300,AJUSTE DE CAPITAL,11691486.00
2210500,APORTES NO CAPITALIZADOS O CONTRIBUCIONES DE CAPITAL,0
2210900,OTROS CONCEPTOS DEL CAPITAL,0
2211100,RESERVA LEGAL,0
2211200,OTRAS RESERVAS,0
2211999,GANANCIAS RESERVADAS,0
2211300,INTERESES NO CONTROLANTES,0
2212999,RESULTADOS NO ASIGNADOS,-6432095.00
2213999,RESULTADOS INTEGRALES,-177440.00
2299999,TOTAL PATRIMONIO NETO,5543504.00
2322200,PASIVOS FINANCIEROS CORRIENTES,4997.00
2321999,CUENTAS POR PAGAR CORRIENTES,18221070.00
2322100,PASIVOS POR IMPUESTOS CORRIENTES,0
2322300,OTROS PASIVOS NO FINANCIEROS CORRIENTES,848036.00
2339999,PASIVO CORRIENTE,19074103.00
2312300,PASIVOS FINANCIEROS NO CORRIENTES,0
2311999,CUENTAS POR PAGAR NO CORRIENTES,1886390.00
2312200,PASIVOS POR IMPUESTOS NO CORRIENTES,3495405.00
2312400,OTROS PASIVOS NO FINANCIEROS NO CORRIENTES,20336.00
2319999,PASIVO NO CORRIENTE,5402131.00
2399999,TOTAL DEL PASIVO,24476234.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,30019738.00
3000100,INGRESOS DE ACTIVIDADES ORDINARIAS,4703720.00
3000200,COSTO DE VENTAS Y/O SERVICIOS,-3202750.00
3009999,GANANCIA (PERDIDA) BRUTA,1500970.00
3011301,HONORARIOS A DIRECTORES Y SINDICOS,-2684.00
3011300,OTROS GASTOS DE ADMINISTRACION,-422099.00
3011200,GASTOS DE COMERCIALIZACION Y/O DISTRIBUCION,-409794.00
3011400,OTROS GASTOS OPERATIVOS,0
3011100,OTROS INGRESOS,28568.00
3011600,DEPRECIACIONES Y AMORTIZACIONES,-212525.00
3019999,GANANCIA (PERDIDA) DE ACTIVIDADES OPERATIVAS,482436.00
3021400,INGRESOS FINANCIEROS,248507.00
3021500,COSTOS FINANCIEROS,-1343907.00
3021800,RECPAM,1193566.00
3021900,OTROS RESULTADOS,22626.00
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,603228.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,-439164.00
3049999,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO,164064.00
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,0
3099999,RESULTADO INTEGRAL TOTAL  DEL EJERCICIO / PERIODO,164064.00
3241100,TOTAL CAMBIOS EN ACTIVOS Y PASIVOS OPERATIVOS,1504024.00
3241200,TOTAL DE ACTIVIDADES DE INVERSION,-1321468.00
3241300,TOTAL DE ACTIVIDADES DE FINANCIACION,-4013.00
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,178543.00
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,0.35
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,0.35
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR,5379440.00
8000003,EBIT,482436.00
8000004,EBITDA,694961.00
8000005,CAPITAL DE TRABAJO,-8116932.00
8000006,LIQUIDEZ,0.57
8000007,SOLVENCIA,0.23
8000008,INMOVILIZACION DEL CAPITAL,0.64
8000009,RENTABILIDAD PATRIMONIO NETO,0.11
8000010,RENTABILIDAD DEL ACTIVO,0.02
8000011,ENDEUDAMIENTO,4.42
8000012,ENDEUDAMIENTO A CORTO PLAZO,3.44
8000013,APALANCAMIENTO,5.42
8000014,MARGEN NETO / VENTAS,0.03
8000015,DEUDA FINANCIERA / EBITDA,0.01
8000016,EBITDA / COSTOS FINANCIEROS,-0.52
8000017,ANALISIS DU-PONT,0.11
