Nro,Rubro,Monto
1122500,EFECTIVO Y EQUIVALENTES A EFECTIVO,11503659.00
1122300,ACTIVOS FINANCIEROS CORRIENTES,0
1121999,CUENTAS POR COBRAR CORRIENTES,395132580.00
1122400,OTROS ACTIVOS NO FINANCIEROS CORRIENTES,53297967.00
1120100,INVENTARIOS CORRIENTES,49615819.00
1139999,ACTIVO CORRIENTE,509550025.00
1112400,ACTIVOS FINANCIEROS NO CORRIENTES,0
1111999,CUENTAS POR COBRAR NO CORRIENTES,273.00
1110100,PROPIEDADES PLANTAS Y EQUIPOS,3194445236.00
1112500,OTROS ACTIVOS NO FINANCIEROS NO CORRIENTES,87221.00
1110200,ACTIVOS INTANGIBLES,158955601.00
1119999,ACTIVO NO CORRIENTE,3353488331.00
1999999,TOTAL DEL ACTIVO,3863038356.00
2210999,CAPITAL,898585.00
2210300,AJUSTE DE CAPITAL,1079345845.00
2210500,APORTES NO CAPITALIZADOS O CONTRIBUCIONES DE CAPITAL,0
2210900,OTROS CONCEPTOS DEL CAPITAL,0
2211100,RESERVA LEGAL,59698855.00
2211200,OTRAS RESERVAS,474982503.00
2211999,GANANCIAS RESERVADAS,534681358.00
2211300,INTERESES NO CONTROLANTES,0
2212999,RESULTADOS NO ASIGNADOS,-4218021.00
2213999,RESULTADOS INTEGRALES,-4589098.00
2299999,TOTAL PATRIMONIO NETO,1606118669.00
2322200,PASIVOS FINANCIEROS CORRIENTES,127936087.00
2321999,CUENTAS POR PAGAR CORRIENTES,729151947.00
2322100,PASIVOS POR IMPUESTOS CORRIENTES,124510483.00
2322300,OTROS PASIVOS NO FINANCIEROS CORRIENTES,199107112.00
2339999,PASIVO CORRIENTE,1180705629.00
2312300,PASIVOS FINANCIEROS NO CORRIENTES,153574274.00
2311999,CUENTAS POR PAGAR NO CORRIENTES,375867760.00
2312200,PASIVOS POR IMPUESTOS NO CORRIENTES,516529840.00
2312400,OTROS PASIVOS NO FINANCIEROS NO CORRIENTES,30242184.00
2319999,PASIVO NO CORRIENTE,1076214058.00
2399999,TOTAL DEL PASIVO,2256919687.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,3863038356.00
3000100,INGRESOS DE ACTIVIDADES ORDINARIAS,1413221448.00
3000200,COSTO DE VENTAS Y/O SERVICIOS,-1220019933.00
3009999,GANANCIA (PERDIDA) BRUTA,193201515.00
3011301,HONORARIOS A DIRECTORES Y SINDICOS,0
3011300,OTROS GASTOS DE ADMINISTRACION,-77469586.00
3011200,GASTOS DE COMERCIALIZACION Y/O DISTRIBUCION,-109858678.00
3011400,OTROS GASTOS OPERATIVOS,0
3011100,OTROS INGRESOS,134105273.00
3011600,DEPRECIACIONES Y AMORTIZACIONES,-162976545.00
3019999,GANANCIA (PERDIDA) DE ACTIVIDADES OPERATIVAS,-22998021.00
3021400,INGRESOS FINANCIEROS,11003603.00
3021500,COSTOS FINANCIEROS,-247059053.00
3021800,RECPAM,237549605.00
3021900,OTROS RESULTADOS,-69948.00
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,-21573814.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,17355793.00
3032000,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO OPERACIONES CONTINUADAS,-4218021.00
3041000,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO OPERACIONES DISCONTINUADAS,0
3049999,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO,-4218021.00
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,0
3099999,RESULTADO INTEGRAL TOTAL  DEL EJERCICIO / PERIODO,-4218021.00
3241100,TOTAL CAMBIOS EN ACTIVOS Y PASIVOS OPERATIVOS,118847753.00
3241200,TOTAL DE ACTIVIDADES DE INVERSION,-234889931.00
3241300,TOTAL DE ACTIVIDADES DE FINANCIACION,122853279.00
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,6811101.00
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,-4.69
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,-4.69
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR,1610336690.00
8000003,EBIT,-22998021.00
8000004,EBITDA,139978524.00
8000005,CAPITAL DE TRABAJO,-671155604.00
8000006,LIQUIDEZ,0.43
8000007,SOLVENCIA,0.71
8000008,INMOVILIZACION DEL CAPITAL,0.87
8000009,RENTABILIDAD PATRIMONIO NETO,-0.00
8000010,RENTABILIDAD DEL ACTIVO,-0.00
8000011,ENDEUDAMIENTO,1.41
8000012,ENDEUDAMIENTO A CORTO PLAZO,0.74
8000013,APALANCAMIENTO,2.41
8000014,MARGEN NETO / VENTAS,-0.00
8000015,DEUDA FINANCIERA / EBITDA,2.01
8000016,EBITDA / COSTOS FINANCIEROS,-0.57
8000017,ANALISIS DU-PONT,-0.00
8000027,PRUEBA ACIDA,0.39
8000028,COBERTURA DE GASTOS FINANCIEROS,0.09
8000029,ROTACION DE ACTIVOS,0.37
