Nro,Rubro,Monto
1122500,EFECTIVO Y EQUIVALENTES A EFECTIVO,2362.00
1122300,ACTIVOS FINANCIEROS CORRIENTES,0
1121999,CUENTAS POR COBRAR CORRIENTES,69928.00
1122400,OTROS ACTIVOS NO FINANCIEROS CORRIENTES,0
1120100,INVENTARIOS CORRIENTES,3752.00
1139999,ACTIVO CORRIENTE,76042.00
1112400,ACTIVOS FINANCIEROS NO CORRIENTES,0
1111999,CUENTAS POR COBRAR NO CORRIENTES,482.00
1110100,PROPIEDADES PLANTAS Y EQUIPOS,469360.00
1112500,OTROS ACTIVOS NO FINANCIEROS NO CORRIENTES,387.00
1110200,ACTIVOS INTANGIBLES,3952.00
1119999,ACTIVO NO CORRIENTE,474181.00
1999999,TOTAL DEL ACTIVO,550223.00
2210999,CAPITAL,77.00
2210300,AJUSTE DE CAPITAL,77379.00
2210500,APORTES NO CAPITALIZADOS O CONTRIBUCIONES DE CAPITAL,0
2210900,OTROS CONCEPTOS DEL CAPITAL,18708.00
2211100,RESERVA LEGAL,5758.00
2211200,OTRAS RESERVAS,107210.00
2211999,GANANCIAS RESERVADAS,112968.00
2211300,INTERESES NO CONTROLANTES,0
2212999,RESULTADOS NO ASIGNADOS,-18478.00
2213999,RESULTADOS INTEGRALES,34500.00
2299999,TOTAL PATRIMONIO NETO,225154.00
2322200,PASIVOS FINANCIEROS CORRIENTES,32583.00
2321999,CUENTAS POR PAGAR CORRIENTES,128635.00
2322100,PASIVOS POR IMPUESTOS CORRIENTES,0
2322300,OTROS PASIVOS NO FINANCIEROS CORRIENTES,3112.00
2339999,PASIVO CORRIENTE,164330.00
2312300,PASIVOS FINANCIEROS NO CORRIENTES,798.00
2311999,CUENTAS POR PAGAR NO CORRIENTES,56245.00
2312200,PASIVOS POR IMPUESTOS NO CORRIENTES,91447.00
2312400,OTROS PASIVOS NO FINANCIEROS NO CORRIENTES,12249.00
2319999,PASIVO NO CORRIENTE,160739.00
2399999,TOTAL DEL PASIVO,325069.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,550223.00
3000100,INGRESOS DE ACTIVIDADES ORDINARIAS,279086.00
3000200,COSTO DE VENTAS Y/O SERVICIOS,-200233.00
3009999,GANANCIA (PERDIDA) BRUTA,78853.00
3011301,HONORARIOS A DIRECTORES Y SINDICOS,-123.00
3011300,OTROS GASTOS DE ADMINISTRACION,-24151.00
3011200,GASTOS DE COMERCIALIZACION Y/O DISTRIBUCION,-31047.00
3011400,OTROS GASTOS OPERATIVOS,-5373.00
3011100,OTROS INGRESOS,3308.00
3011600,DEPRECIACIONES Y AMORTIZACIONES,-19722.00
3019999,GANANCIA (PERDIDA) DE ACTIVIDADES OPERATIVAS,1745.00
3021400,INGRESOS FINANCIEROS,23134.00
3021500,COSTOS FINANCIEROS,-27210.00
3021800,RECPAM,-14704.00
3021900,OTROS RESULTADOS,-435.00
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,-17470.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,9305.00
3032000,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO OPERACIONES CONTINUADAS,-8165.00
3041000,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO OPERACIONES DISCONTINUADAS,0
3049999,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO,-8165.00
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,-6477.00
3099999,RESULTADO INTEGRAL TOTAL  DEL EJERCICIO / PERIODO,-14642.00
3241100,TOTAL CAMBIOS EN ACTIVOS Y PASIVOS OPERATIVOS,42115.00
3241200,TOTAL DE ACTIVIDADES DE INVERSION,-36095.00
3241300,TOTAL DE ACTIVIDADES DE FINANCIACION,-5565.00
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,455.00
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,-106.04
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,-106.04
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR,239796.00
8000003,EBIT,0
8000004,EBITDA,0
8000005,CAPITAL DE TRABAJO,-88288.00
8000006,LIQUIDEZ,0.46
8000007,SOLVENCIA,0.69
8000008,INMOVILIZACION DEL CAPITAL,0.86
8000009,RENTABILIDAD PATRIMONIO NETO,-0.04
8000010,RENTABILIDAD DEL ACTIVO,-0.01
8000011,ENDEUDAMIENTO,1.44
8000012,ENDEUDAMIENTO A CORTO PLAZO,0.73
8000013,APALANCAMIENTO,2.44
8000014,MARGEN NETO / VENTAS,-0.05
8000015,DEUDA FINANCIERA / EBITDA,0
8000016,EBITDA / COSTOS FINANCIEROS,0
8000017,ANALISIS DU-PONT,-0.04
8000027,PRUEBA ACIDA,0.44
8000028,COBERTURA DE GASTOS FINANCIEROS,-0.06
8000029,ROTACION DE ACTIVOS,0.51
