Nro,Rubro,Monto
1122500,EFECTIVO Y EQUIVALENTES A EFECTIVO,9128.00
1122300,ACTIVOS FINANCIEROS CORRIENTES,82628.00
1121999,CUENTAS POR COBRAR CORRIENTES,66597.00
1122400,OTROS ACTIVOS NO FINANCIEROS CORRIENTES,34046.00
1120100,INVENTARIOS CORRIENTES,39816.00
1139999,ACTIVO CORRIENTE,232215.00
1112400,ACTIVOS FINANCIEROS NO CORRIENTES,0
1111999,CUENTAS POR COBRAR NO CORRIENTES,0
1110100,PROPIEDADES PLANTAS Y EQUIPOS,1272989.00
1112500,OTROS ACTIVOS NO FINANCIEROS NO CORRIENTES,3600.00
1110200,ACTIVOS INTANGIBLES,0
1119999,ACTIVO NO CORRIENTE,1276589.00
1999999,TOTAL DEL ACTIVO,1508804.00
2210999,CAPITAL,906.00
2210300,AJUSTE DE CAPITAL,347741.00
2210500,APORTES NO CAPITALIZADOS O CONTRIBUCIONES DE CAPITAL,0
2210900,OTROS CONCEPTOS DEL CAPITAL,-23230.00
2211100,RESERVA LEGAL,23621.00
2211200,OTRAS RESERVAS,228747.00
2211999,GANANCIAS RESERVADAS,252368.00
2211300,INTERESES NO CONTROLANTES,0
2212999,RESULTADOS NO ASIGNADOS,-135502.00
2213999,RESULTADOS INTEGRALES,-3472.00
2299999,TOTAL PATRIMONIO NETO,438811.00
2322200,PASIVOS FINANCIEROS CORRIENTES,50663.00
2321999,CUENTAS POR PAGAR CORRIENTES,240950.00
2322100,PASIVOS POR IMPUESTOS CORRIENTES,0
2322300,OTROS PASIVOS NO FINANCIEROS CORRIENTES,64112.00
2339999,PASIVO CORRIENTE,355725.00
2312300,PASIVOS FINANCIEROS NO CORRIENTES,44345.00
2311999,CUENTAS POR PAGAR NO CORRIENTES,1597.00
2312200,PASIVOS POR IMPUESTOS NO CORRIENTES,478696.00
2312400,OTROS PASIVOS NO FINANCIEROS NO CORRIENTES,189630.00
2319999,PASIVO NO CORRIENTE,714268.00
2399999,TOTAL DEL PASIVO,1069993.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,1508804.00
3000100,INGRESOS DE ACTIVIDADES ORDINARIAS,701098.00
3000200,COSTO DE VENTAS Y/O SERVICIOS,-458944.00
3009999,GANANCIA (PERDIDA) BRUTA,242154.00
3011301,HONORARIOS A DIRECTORES Y SINDICOS,-161.00
3011300,OTROS GASTOS DE ADMINISTRACION,-59022.00
3011200,GASTOS DE COMERCIALIZACION Y/O DISTRIBUCION,-221549.00
3011400,OTROS GASTOS OPERATIVOS,-20951.00
3011100,OTROS INGRESOS,223066.00
3011600,DEPRECIACIONES Y AMORTIZACIONES,-85582.00
3019999,GANANCIA (PERDIDA) DE ACTIVIDADES OPERATIVAS,77955.00
3021400,INGRESOS FINANCIEROS,367.00
3021500,COSTOS FINANCIEROS,-319435.00
3021800,RECPAM,454589.00
3021900,OTROS RESULTADOS,-31286.00
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,182190.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,-133809.00
3049999,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO,48381.00
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,-940.00
3099999,RESULTADO INTEGRAL TOTAL  DEL EJERCICIO / PERIODO,47441.00
3241100,TOTAL CAMBIOS EN ACTIVOS Y PASIVOS OPERATIVOS,71472.00
3241200,TOTAL DE ACTIVIDADES DE INVERSION,-79061.00
3241300,TOTAL DE ACTIVIDADES DE FINANCIACION,7338.00
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,-251.00
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,55.28
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,55.28
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR,391338.00
8000003,EBIT,77955.00
8000004,EBITDA,163537.00
8000005,CAPITAL DE TRABAJO,-123510.00
8000006,LIQUIDEZ,0.65
8000007,SOLVENCIA,0.41
8000008,INMOVILIZACION DEL CAPITAL,0.85
8000009,RENTABILIDAD PATRIMONIO NETO,0.42
8000010,RENTABILIDAD DEL ACTIVO,0.03
8000011,ENDEUDAMIENTO,2.44
8000012,ENDEUDAMIENTO A CORTO PLAZO,0.81
8000013,APALANCAMIENTO,3.44
8000014,MARGEN NETO / VENTAS,0.07
8000015,DEUDA FINANCIERA / EBITDA,0.58
8000016,EBITDA / COSTOS FINANCIEROS,-0.51
8000017,ANALISIS DU-PONT,0.42
