Nro,Rubro,Monto
1122500,EFECTIVO Y EQUIVALENTES A EFECTIVO,37377079444.00
1122300,ACTIVOS FINANCIEROS CORRIENTES,19624119587.00
1121999,CUENTAS POR COBRAR CORRIENTES,92597746134.00
1122400,OTROS ACTIVOS NO FINANCIEROS CORRIENTES,0
1120100,INVENTARIOS CORRIENTES,15625880241.00
1139999,ACTIVO CORRIENTE,165224825406.00
1112400,ACTIVOS FINANCIEROS NO CORRIENTES,24840254.00
1111999,CUENTAS POR COBRAR NO CORRIENTES,0
1110100,PROPIEDADES PLANTAS Y EQUIPOS,3299159244.00
1112500,OTROS ACTIVOS NO FINANCIEROS NO CORRIENTES,5812100659.00
1110200,ACTIVOS INTANGIBLES,719593141.00
1119999,ACTIVO NO CORRIENTE,9855693298.00
1999999,TOTAL DEL ACTIVO,175080518704.00
2210999,CAPITAL,386325263.00
2210300,AJUSTE DE CAPITAL,4407671967.00
2210500,APORTES NO CAPITALIZADOS O CONTRIBUCIONES DE CAPITAL,0
2210900,OTROS CONCEPTOS DEL CAPITAL,0
2211100,RESERVA LEGAL,958799445.00
2211200,OTRAS RESERVAS,10338095647.00
2211999,GANANCIAS RESERVADAS,11296895092.00
2211300,INTERESES NO CONTROLANTES,508092066.00
2212999,RESULTADOS NO ASIGNADOS,17039869796.00
2213999,RESULTADOS INTEGRALES,0
2299999,TOTAL PATRIMONIO NETO,33638854184.00
2322200,PASIVOS FINANCIEROS CORRIENTES,4053785198.00
2321999,CUENTAS POR PAGAR CORRIENTES,99173459542.00
2322100,PASIVOS POR IMPUESTOS CORRIENTES,0
2322300,OTROS PASIVOS NO FINANCIEROS CORRIENTES,3970550495.00
2339999,PASIVO CORRIENTE,107197795235.00
2312300,PASIVOS FINANCIEROS NO CORRIENTES,31911250000.00
2311999,CUENTAS POR PAGAR NO CORRIENTES,0
2312200,PASIVOS POR IMPUESTOS NO CORRIENTES,0
2312400,OTROS PASIVOS NO FINANCIEROS NO CORRIENTES,2332619285.00
2319999,PASIVO NO CORRIENTE,34243869285.00
2399999,TOTAL DEL PASIVO,141441664520.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,175080518704.00
3000100,INGRESOS DE ACTIVIDADES ORDINARIAS,88907423049.00
3000200,COSTO DE VENTAS Y/O SERVICIOS,-56966247478.00
3009999,GANANCIA (PERDIDA) BRUTA,31941175571.00
3011301,HONORARIOS A DIRECTORES Y SINDICOS,-430312980.00
3011300,OTROS GASTOS DE ADMINISTRACION,-6650414982.00
3011200,GASTOS DE COMERCIALIZACION Y/O DISTRIBUCION,-10442977590.00
3011400,OTROS GASTOS OPERATIVOS,0
3011100,OTROS INGRESOS,97329054.00
3011600,DEPRECIACIONES Y AMORTIZACIONES,-2251630394.00
3019999,GANANCIA (PERDIDA) DE ACTIVIDADES OPERATIVAS,12263168679.00
3021400,INGRESOS FINANCIEROS,83418274628.00
3021500,COSTOS FINANCIEROS,-119855776268.00
3021800,RECPAM,-7310208566.00
3021900,OTROS RESULTADOS,48927583279.00
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,17443041752.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,-336015909.00
3049999,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO,17107025843.00
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,-4841040.00
3099999,RESULTADO INTEGRAL TOTAL  DEL EJERCICIO / PERIODO,17102184803.00
3241100,TOTAL CAMBIOS EN ACTIVOS Y PASIVOS OPERATIVOS,9759134085.00
3241200,TOTAL DE ACTIVIDADES DE INVERSION,-731337139.00
3241300,TOTAL DE ACTIVIDADES DE FINANCIACION,-15205059655.00
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,-6177262709.00
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,44.28
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,44.28
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR,22878852134.00
8000003,EBIT,137246963059.00
8000004,EBITDA,139498593453.00
8000005,CAPITAL DE TRABAJO,58027030171.00
8000006,LIQUIDEZ,1.54
8000007,SOLVENCIA,0.24
8000008,INMOVILIZACION DEL CAPITAL,0.06
8000009,RENTABILIDAD PATRIMONIO NETO,0.62
8000010,RENTABILIDAD DEL ACTIVO,0.10
8000011,ENDEUDAMIENTO,4.20
8000012,ENDEUDAMIENTO A CORTO PLAZO,3.19
8000013,APALANCAMIENTO,5.20
8000014,MARGEN NETO / VENTAS,0.19
8000015,DEUDA FINANCIERA / EBITDA,0.26
8000016,EBITDA / COSTOS FINANCIEROS,-1.16
8000017,ANALISIS DU-PONT,0.52
