Nro,Rubro,Monto
1122500,EFECTIVO Y EQUIVALENTES A EFECTIVO,1329374506.00
1122300,ACTIVOS FINANCIEROS CORRIENTES,162565770.00
1121999,CUENTAS POR COBRAR CORRIENTES,538913823.00
1122400,OTROS ACTIVOS NO FINANCIEROS CORRIENTES,8747026.00
1120100,INVENTARIOS CORRIENTES,1869456448.00
1139999,ACTIVO CORRIENTE,3909057573.00
1112400,ACTIVOS FINANCIEROS NO CORRIENTES,2421093.00
1111999,CUENTAS POR COBRAR NO CORRIENTES,98442540.00
1110100,PROPIEDADES PLANTAS Y EQUIPOS,2157737079.00
1112500,OTROS ACTIVOS NO FINANCIEROS NO CORRIENTES,39031263.00
1110200,ACTIVOS INTANGIBLES,129032187.00
1119999,ACTIVO NO CORRIENTE,2426664162.00
1999999,TOTAL DEL ACTIVO,6335721735.00
2210999,CAPITAL,534000000.00
2210300,AJUSTE DE CAPITAL,3338827965.00
2210500,APORTES NO CAPITALIZADOS O CONTRIBUCIONES DE CAPITAL,0
2210900,OTROS CONCEPTOS DEL CAPITAL,0
2211100,RESERVA LEGAL,57808180.00
2211200,OTRAS RESERVAS,0
2211999,GANANCIAS RESERVADAS,57808180.00
2211300,INTERESES NO CONTROLANTES,44184.00
2212999,RESULTADOS NO ASIGNADOS,-73316678.00
2213999,RESULTADOS INTEGRALES,0
2299999,TOTAL PATRIMONIO NETO,3857363651.00
2322200,PASIVOS FINANCIEROS CORRIENTES,312955209.00
2321999,CUENTAS POR PAGAR CORRIENTES,500327114.00
2322100,PASIVOS POR IMPUESTOS CORRIENTES,218013938.00
2322300,OTROS PASIVOS NO FINANCIEROS CORRIENTES,377485853.00
2339999,PASIVO CORRIENTE,1408782114.00
2312300,PASIVOS FINANCIEROS NO CORRIENTES,616593600.00
2311999,CUENTAS POR PAGAR NO CORRIENTES,0
2312200,PASIVOS POR IMPUESTOS NO CORRIENTES,436548278.00
2312400,OTROS PASIVOS NO FINANCIEROS NO CORRIENTES,16434092.00
2319999,PASIVO NO CORRIENTE,1069575970.00
2399999,TOTAL DEL PASIVO,2478358084.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,6335721735.00
3000100,INGRESOS DE ACTIVIDADES ORDINARIAS,4925528998.00
3000200,COSTO DE VENTAS Y/O SERVICIOS,-3105010206.00
3009999,GANANCIA (PERDIDA) BRUTA,1820518792.00
3011301,HONORARIOS A DIRECTORES Y SINDICOS,-27300000.00
3011300,OTROS GASTOS DE ADMINISTRACION,-489565720.00
3011200,GASTOS DE COMERCIALIZACION Y/O DISTRIBUCION,-541259882.00
3011400,OTROS GASTOS OPERATIVOS,-389281759.00
3011100,OTROS INGRESOS,0
3011600,DEPRECIACIONES Y AMORTIZACIONES,-200849888.00
3019999,GANANCIA (PERDIDA) DE ACTIVIDADES OPERATIVAS,172261543.00
3021400,INGRESOS FINANCIEROS,573460504.00
3021500,COSTOS FINANCIEROS,-779058981.00
3021800,RECPAM,69348203.00
3021900,OTROS RESULTADOS,-24647551.00
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,11363718.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,-84686934.00
3049999,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO,-73323216.00
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,0
3099999,RESULTADO INTEGRAL TOTAL  DEL EJERCICIO / PERIODO,-73323216.00
3241100,TOTAL CAMBIOS EN ACTIVOS Y PASIVOS OPERATIVOS,633500351.00
3241200,TOTAL DE ACTIVIDADES DE INVERSION,-57852017.00
3241300,TOTAL DE ACTIVIDADES DE FINANCIACION,-141999675.00
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,433648659.00
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,-0.01
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,-0.01
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR,3930686867.00
8000003,EBIT,172261543.00
8000004,EBITDA,373111431.00
8000005,CAPITAL DE TRABAJO,2500275459.00
8000006,LIQUIDEZ,2.77
8000007,SOLVENCIA,1.56
8000008,INMOVILIZACION DEL CAPITAL,0.38
8000009,RENTABILIDAD PATRIMONIO NETO,0.00
8000010,RENTABILIDAD DEL ACTIVO,0.00
8000011,ENDEUDAMIENTO,0.64
8000012,ENDEUDAMIENTO A CORTO PLAZO,0.37
8000013,APALANCAMIENTO,1.64
8000014,MARGEN NETO / VENTAS,-0.01
8000015,DEUDA FINANCIERA / EBITDA,2.49
8000016,EBITDA / COSTOS FINANCIEROS,-0.48
8000017,ANALISIS DU-PONT,0.00
