Nro,Rubro,Monto
1122500,EFECTIVO Y EQUIVALENTES A EFECTIVO,650357.00
1122300,ACTIVOS FINANCIEROS CORRIENTES,679.00
1121999,CUENTAS POR COBRAR CORRIENTES,243091990.00
1122400,OTROS ACTIVOS NO FINANCIEROS CORRIENTES,31485114.00
1120100,INVENTARIOS CORRIENTES,183437607.00
1139999,ACTIVO CORRIENTE,458665747.00
1112400,ACTIVOS FINANCIEROS NO CORRIENTES,0
1111999,CUENTAS POR COBRAR NO CORRIENTES,0
1110100,PROPIEDADES PLANTAS Y EQUIPOS,519398818.00
1112500,OTROS ACTIVOS NO FINANCIEROS NO CORRIENTES,73969586.00
1110200,ACTIVOS INTANGIBLES,0
1119999,ACTIVO NO CORRIENTE,593368404.00
1999999,TOTAL DEL ACTIVO,1052034151.00
2210999,CAPITAL,71430000.00
2210300,AJUSTE DE CAPITAL,782829334.00
2210500,APORTES NO CAPITALIZADOS O CONTRIBUCIONES DE CAPITAL,0
2210900,OTROS CONCEPTOS DEL CAPITAL,0
2211100,RESERVA LEGAL,110086971.00
2211200,OTRAS RESERVAS,226151800.00
2211999,GANANCIAS RESERVADAS,336238771.00
2211300,INTERESES NO CONTROLANTES,0
2212999,RESULTADOS NO ASIGNADOS,-947387969.00
2213999,RESULTADOS INTEGRALES,-373027.00
2299999,TOTAL PATRIMONIO NETO,242737109.00
2322200,PASIVOS FINANCIEROS CORRIENTES,239182110.00
2321999,CUENTAS POR PAGAR CORRIENTES,141081538.00
2322100,PASIVOS POR IMPUESTOS CORRIENTES,14346647.00
2322300,OTROS PASIVOS NO FINANCIEROS CORRIENTES,50949216.00
2339999,PASIVO CORRIENTE,445559511.00
2312300,PASIVOS FINANCIEROS NO CORRIENTES,257377656.00
2311999,CUENTAS POR PAGAR NO CORRIENTES,0
2312200,PASIVOS POR IMPUESTOS NO CORRIENTES,82992326.00
2312400,OTROS PASIVOS NO FINANCIEROS NO CORRIENTES,23367549.00
2319999,PASIVO NO CORRIENTE,363737531.00
2399999,TOTAL DEL PASIVO,809297042.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,1052034151.00
3000100,INGRESOS DE ACTIVIDADES ORDINARIAS,251926500.00
3000200,COSTO DE VENTAS Y/O SERVICIOS,-186676636.00
3009999,GANANCIA (PERDIDA) BRUTA,65249864.00
3011301,HONORARIOS A DIRECTORES Y SINDICOS,-73775.00
3011300,OTROS GASTOS DE ADMINISTRACION,-16500403.00
3011200,GASTOS DE COMERCIALIZACION Y/O DISTRIBUCION,-12390968.00
3011400,OTROS GASTOS OPERATIVOS,0
3011100,OTROS INGRESOS,13407811.00
3011600,DEPRECIACIONES Y AMORTIZACIONES,-14224834.00
3019999,GANANCIA (PERDIDA) DE ACTIVIDADES OPERATIVAS,35467695.00
3021400,INGRESOS FINANCIEROS,43621665.00
3021500,COSTOS FINANCIEROS,-117610095.00
3021800,RECPAM,0
3021900,OTROS RESULTADOS,-3272616.00
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,-41793351.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,11079104.00
3049999,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO,-30714247.00
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,0
3099999,RESULTADO INTEGRAL TOTAL  DEL EJERCICIO / PERIODO,-30714247.00
3241100,TOTAL CAMBIOS EN ACTIVOS Y PASIVOS OPERATIVOS,-88162568.00
3241200,TOTAL DE ACTIVIDADES DE INVERSION,-7694389.00
3241300,TOTAL DE ACTIVIDADES DE FINANCIACION,89366107.00
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,-6490850.00
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,-0.43
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,-0.43
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR,273451356.00
8000003,EBIT,32195079.00
8000004,EBITDA,46419913.00
8000005,CAPITAL DE TRABAJO,13106236.00
8000006,LIQUIDEZ,1.03
8000007,SOLVENCIA,0.30
8000008,INMOVILIZACION DEL CAPITAL,0.56
8000009,RENTABILIDAD PATRIMONIO NETO,-0.16
8000010,RENTABILIDAD DEL ACTIVO,-0.04
8000011,ENDEUDAMIENTO,3.33
8000012,ENDEUDAMIENTO A CORTO PLAZO,1.84
8000013,APALANCAMIENTO,4.33
8000014,MARGEN NETO / VENTAS,-0.12
8000015,DEUDA FINANCIERA / EBITDA,10.70
8000016,EBITDA / COSTOS FINANCIEROS,-0.39
8000017,ANALISIS DU-PONT,-0.17
