Nro,Rubro,Monto
1122500,EFECTIVO Y EQUIVALENTES A EFECTIVO,620218.00
1122300,ACTIVOS FINANCIEROS CORRIENTES,0
1121999,CUENTAS POR COBRAR CORRIENTES,2853487.00
1122400,OTROS ACTIVOS NO FINANCIEROS CORRIENTES,2936259.00
1120100,INVENTARIOS CORRIENTES,2292563.00
1139999,ACTIVO CORRIENTE,8702527.00
1112400,ACTIVOS FINANCIEROS NO CORRIENTES,0
1111999,CUENTAS POR COBRAR NO CORRIENTES,438383.00
1110100,PROPIEDADES PLANTAS Y EQUIPOS,200399.00
1112500,OTROS ACTIVOS NO FINANCIEROS NO CORRIENTES,11891361.00
1110200,ACTIVOS INTANGIBLES,7870.00
1119999,ACTIVO NO CORRIENTE,12538013.00
1999999,TOTAL DEL ACTIVO,21240540.00
2210999,CAPITAL,915238.00
2210300,AJUSTE DE CAPITAL,3444517.00
2210500,APORTES NO CAPITALIZADOS O CONTRIBUCIONES DE CAPITAL,0
2210900,OTROS CONCEPTOS DEL CAPITAL,5923801.00
2211100,RESERVA LEGAL,0
2211200,OTRAS RESERVAS,0
2211999,GANANCIAS RESERVADAS,0
2211300,INTERESES NO CONTROLANTES,0
2212999,RESULTADOS NO ASIGNADOS,-6254877.00
2213999,RESULTADOS INTEGRALES,0
2299999,TOTAL PATRIMONIO NETO,4028679.00
2322200,PASIVOS FINANCIEROS CORRIENTES,1558997.00
2321999,CUENTAS POR PAGAR CORRIENTES,2366413.00
2322100,PASIVOS POR IMPUESTOS CORRIENTES,64440.00
2322300,OTROS PASIVOS NO FINANCIEROS CORRIENTES,5372381.00
2339999,PASIVO CORRIENTE,9362231.00
2312300,PASIVOS FINANCIEROS NO CORRIENTES,2283661.00
2311999,CUENTAS POR PAGAR NO CORRIENTES,0
2312200,PASIVOS POR IMPUESTOS NO CORRIENTES,401738.00
2312400,OTROS PASIVOS NO FINANCIEROS NO CORRIENTES,5164231.00
2319999,PASIVO NO CORRIENTE,7849630.00
2399999,TOTAL DEL PASIVO,17211861.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,21240540.00
3000100,INGRESOS DE ACTIVIDADES ORDINARIAS,4515188.00
3000200,COSTO DE VENTAS Y/O SERVICIOS,-4228505.00
3009999,GANANCIA (PERDIDA) BRUTA,286683.00
3011301,HONORARIOS A DIRECTORES Y SINDICOS,-14893.00
3011300,OTROS GASTOS DE ADMINISTRACION,-475891.00
3011200,GASTOS DE COMERCIALIZACION Y/O DISTRIBUCION,-274589.00
3011400,OTROS GASTOS OPERATIVOS,-479688.00
3011100,OTROS INGRESOS,-442939.00
3011600,DEPRECIACIONES Y AMORTIZACIONES,-30813.00
3019999,GANANCIA (PERDIDA) DE ACTIVIDADES OPERATIVAS,-1432130.00
3021400,INGRESOS FINANCIEROS,584937.00
3021500,COSTOS FINANCIEROS,-673112.00
3021800,RECPAM,172418.00
3021900,OTROS RESULTADOS,-495796.00
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,-1843683.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,-285236.00
3049999,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO,-2128919.00
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,39488.00
3099999,RESULTADO INTEGRAL TOTAL  DEL EJERCICIO / PERIODO,-2089431.00
3241100,TOTAL CAMBIOS EN ACTIVOS Y PASIVOS OPERATIVOS,-1350404.00
3241200,TOTAL DE ACTIVIDADES DE INVERSION,4209216.00
3241300,TOTAL DE ACTIVIDADES DE FINANCIACION,-2471587.00
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,387225.00
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,-2.26
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,-2.26
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR,6118110.00
8000003,EBIT,-1432130.00
8000004,EBITDA,-1401317.00
8000005,CAPITAL DE TRABAJO,-659704.00
8000006,LIQUIDEZ,0.93
8000007,SOLVENCIA,0.23
8000008,INMOVILIZACION DEL CAPITAL,0.59
8000009,RENTABILIDAD PATRIMONIO NETO,-0.36
8000010,RENTABILIDAD DEL ACTIVO,-0.09
8000011,ENDEUDAMIENTO,4.27
8000012,ENDEUDAMIENTO A CORTO PLAZO,2.32
8000013,APALANCAMIENTO,5.27
8000014,MARGEN NETO / VENTAS,-0.46
8000015,DEUDA FINANCIERA / EBITDA,-2.74
8000016,EBITDA / COSTOS FINANCIEROS,2.08
8000017,ANALISIS DU-PONT,-0.46
