Nro,Rubro,Monto
1122500,EFECTIVO Y EQUIVALENTES A EFECTIVO,93920.00
1122300,ACTIVOS FINANCIEROS CORRIENTES,1758098.00
1121999,CUENTAS POR COBRAR CORRIENTES,2150041.00
1122400,OTROS ACTIVOS NO FINANCIEROS CORRIENTES,38248925.00
1120100,INVENTARIOS CORRIENTES,21891.00
1139999,ACTIVO CORRIENTE,42272875.00
1112400,ACTIVOS FINANCIEROS NO CORRIENTES,0
1111999,CUENTAS POR COBRAR NO CORRIENTES,0
1110100,PROPIEDADES PLANTAS Y EQUIPOS,214562734.00
1112500,OTROS ACTIVOS NO FINANCIEROS NO CORRIENTES,2576172.00
1110200,ACTIVOS INTANGIBLES,0
1119999,ACTIVO NO CORRIENTE,217138906.00
1999999,TOTAL DEL ACTIVO,259411781.00
2210999,CAPITAL,17006368.00
2210300,AJUSTE DE CAPITAL,0
2210500,APORTES NO CAPITALIZADOS O CONTRIBUCIONES DE CAPITAL,0
2210900,OTROS CONCEPTOS DEL CAPITAL,0
2211100,RESERVA LEGAL,0
2211200,OTRAS RESERVAS,14565268.00
2211999,GANANCIAS RESERVADAS,14565268.00
2211300,INTERESES NO CONTROLANTES,0
2212999,RESULTADOS NO ASIGNADOS,-22820358.00
2213999,RESULTADOS INTEGRALES,0
2299999,TOTAL PATRIMONIO NETO,8751278.00
2322200,PASIVOS FINANCIEROS CORRIENTES,34045809.00
2321999,CUENTAS POR PAGAR CORRIENTES,13566139.00
2322100,PASIVOS POR IMPUESTOS CORRIENTES,85663.00
2322300,OTROS PASIVOS NO FINANCIEROS CORRIENTES,215430.00
2339999,PASIVO CORRIENTE,47913041.00
2312300,PASIVOS FINANCIEROS NO CORRIENTES,185401270.00
2311999,CUENTAS POR PAGAR NO CORRIENTES,0
2312200,PASIVOS POR IMPUESTOS NO CORRIENTES,17346192.00
2312400,OTROS PASIVOS NO FINANCIEROS NO CORRIENTES,0
2319999,PASIVO NO CORRIENTE,202747462.00
2399999,TOTAL DEL PASIVO,250660503.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,259411781.00
3000100,INGRESOS DE ACTIVIDADES ORDINARIAS,2935992.00
3000200,COSTO DE VENTAS Y/O SERVICIOS,-4409848.00
3009999,GANANCIA (PERDIDA) BRUTA,-1473856.00
3011301,HONORARIOS A DIRECTORES Y SINDICOS,0
3011300,OTROS GASTOS DE ADMINISTRACION,-170852.00
3011200,GASTOS DE COMERCIALIZACION Y/O DISTRIBUCION,0
3011400,OTROS GASTOS OPERATIVOS,0
3011100,OTROS INGRESOS,0
3011600,DEPRECIACIONES Y AMORTIZACIONES,0
3019999,GANANCIA (PERDIDA) DE ACTIVIDADES OPERATIVAS,-1644708.00
3021400,INGRESOS FINANCIEROS,812718.00
3021500,COSTOS FINANCIEROS,-2133469.00
3021800,RECPAM,0
3021900,OTROS RESULTADOS,-244058.00
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,-3209517.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,-1863583.00
3049999,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO,-5073100.00
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,761366.00
3099999,RESULTADO INTEGRAL TOTAL  DEL EJERCICIO / PERIODO,-4311734.00
3241100,TOTAL CAMBIOS EN ACTIVOS Y PASIVOS OPERATIVOS,391635.00
3241200,TOTAL DE ACTIVIDADES DE INVERSION,-354780.00
3241300,TOTAL DE ACTIVIDADES DE FINANCIACION,0
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,36855.00
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,-0.30
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,-0.30
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR,13063012.00
8000003,EBIT,-1644708.00
8000004,EBITDA,1598211.00
8000005,CAPITAL DE TRABAJO,-5640166.00
8000006,LIQUIDEZ,0.88
8000007,SOLVENCIA,0.03
8000008,INMOVILIZACION DEL CAPITAL,0.84
8000009,RENTABILIDAD PATRIMONIO NETO,-0.29
8000010,RENTABILIDAD DEL ACTIVO,-0.01
8000011,ENDEUDAMIENTO,28.64
8000012,ENDEUDAMIENTO A CORTO PLAZO,5.47
8000013,APALANCAMIENTO,29.64
8000014,MARGEN NETO / VENTAS,-1.47
8000015,DEUDA FINANCIERA / EBITDA,137.31
8000016,EBITDA / COSTOS FINANCIEROS,-0.75
8000017,ANALISIS DU-PONT,-0.37
