Nro,Rubro,Monto
1122500,EFECTIVO Y EQUIVALENTES A EFECTIVO,1212.00
1122300,ACTIVOS FINANCIEROS CORRIENTES,2290.00
1121999,CUENTAS POR COBRAR CORRIENTES,4464.00
1122400,OTROS ACTIVOS NO FINANCIEROS CORRIENTES,2018.00
1120100,INVENTARIOS CORRIENTES,88.00
1139999,ACTIVO CORRIENTE,10072.00
1112400,ACTIVOS FINANCIEROS NO CORRIENTES,14235.00
1111999,CUENTAS POR COBRAR NO CORRIENTES,204.00
1110100,PROPIEDADES PLANTAS Y EQUIPOS,45739.00
1112500,OTROS ACTIVOS NO FINANCIEROS NO CORRIENTES,9418.00
1110200,ACTIVOS INTANGIBLES,290.00
1119999,ACTIVO NO CORRIENTE,69886.00
1999999,TOTAL DEL ACTIVO,79958.00
2210999,CAPITAL,103.00
2210300,AJUSTE DE CAPITAL,0
2210500,APORTES NO CAPITALIZADOS O CONTRIBUCIONES DE CAPITAL,32.00
2210900,OTROS CONCEPTOS DEL CAPITAL,2862.00
2211100,RESERVA LEGAL,20.00
2211200,OTRAS RESERVAS,0
2211999,GANANCIAS RESERVADAS,20.00
2211300,INTERESES NO CONTROLANTES,0
2212999,RESULTADOS NO ASIGNADOS,-195.00
2213999,RESULTADOS INTEGRALES,15307.00
2299999,TOTAL PATRIMONIO NETO,18129.00
2322200,PASIVOS FINANCIEROS CORRIENTES,9512.00
2321999,CUENTAS POR PAGAR CORRIENTES,4771.00
2322100,PASIVOS POR IMPUESTOS CORRIENTES,677.00
2322300,OTROS PASIVOS NO FINANCIEROS CORRIENTES,345.00
2339999,PASIVO CORRIENTE,15305.00
2312300,PASIVOS FINANCIEROS NO CORRIENTES,493.00
2311999,CUENTAS POR PAGAR NO CORRIENTES,0
2312200,PASIVOS POR IMPUESTOS NO CORRIENTES,4202.00
2312400,OTROS PASIVOS NO FINANCIEROS NO CORRIENTES,41829.00
2319999,PASIVO NO CORRIENTE,46524.00
2399999,TOTAL DEL PASIVO,61829.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,79958.00
3000100,INGRESOS DE ACTIVIDADES ORDINARIAS,7305.00
3000200,COSTO DE VENTAS Y/O SERVICIOS,-2138.00
3009999,GANANCIA (PERDIDA) BRUTA,5167.00
3011301,HONORARIOS A DIRECTORES Y SINDICOS,-22.00
3011300,OTROS GASTOS DE ADMINISTRACION,-278.00
3011200,GASTOS DE COMERCIALIZACION Y/O DISTRIBUCION,-76.00
3011400,OTROS GASTOS OPERATIVOS,-102.00
3011100,OTROS INGRESOS,0
3011600,DEPRECIACIONES Y AMORTIZACIONES,-35.00
3019999,GANANCIA (PERDIDA) DE ACTIVIDADES OPERATIVAS,4654.00
3021400,INGRESOS FINANCIEROS,592.00
3021500,COSTOS FINANCIEROS,-2892.00
3021800,RECPAM,0
3021900,OTROS RESULTADOS,-18.00
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,2336.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,-715.00
3049999,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO,1621.00
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,2566.00
3099999,RESULTADO INTEGRAL TOTAL  DEL EJERCICIO / PERIODO,4187.00
3241100,TOTAL CAMBIOS EN ACTIVOS Y PASIVOS OPERATIVOS,4687.00
3241200,TOTAL DE ACTIVIDADES DE INVERSION,-5588.00
3241300,TOTAL DE ACTIVIDADES DE FINANCIACION,784.00
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,-117.00
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,15.73
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,15.73
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR,13942.00
8000003,EBIT,4756.00
8000004,EBITDA,6199.00
8000005,CAPITAL DE TRABAJO,-5233.00
8000006,LIQUIDEZ,0.66
8000007,SOLVENCIA,0.29
8000008,INMOVILIZACION DEL CAPITAL,0.87
8000009,RENTABILIDAD PATRIMONIO NETO,0.15
8000010,RENTABILIDAD DEL ACTIVO,0.03
8000011,ENDEUDAMIENTO,3.41
8000012,ENDEUDAMIENTO A CORTO PLAZO,0.84
8000013,APALANCAMIENTO,4.41
8000014,MARGEN NETO / VENTAS,0.57
8000015,DEUDA FINANCIERA / EBITDA,1.61
8000016,EBITDA / COSTOS FINANCIEROS,-2.14
8000017,ANALISIS DU-PONT,0.13
