Nro,Rubro,Monto
1122500,EFECTIVO Y DEPOSITOS EN BANCOS,205135.00
1122600,TITULOS DE DEUDA A VALOR RAZONABLE CON CAMBIOS EN RESULTADOS,0
1122700,PRESTAMOS Y OTRAS FINANCIACIONES,4278280.00
1122800,"OPERACIONES DE PASE, INSTRUMENTOS DERIVADOS Y OTROS TITULOS DE DEUDA",0
1122900,ACTIVO POR IMPUESTO A LAS GANACIAS DIFERIDO,181813.00
1123100,INVERSIONES EN INSTRUMENTOS DE PATRIMONIO,0
1123200,ACTIVOS FINANCIEROS ENTREGADOS EN GARANTIA,0
1110100,PROPIEDAD PLANTA Y EQUIPO,12051.00
1123300,"INVERSIONES EN SUBSIDIARIAS, ASOCIADAS Y NEGOCIOS CONJUNTOS",0
1110200,ACTIVOS INTANGIBLES,0
1122300,OTROS ACTIVOS FINANCIEROS,105876.00
1122400,OTROS ACTIVOS NO FINANCIEROS,40839.00
1999999,TOTAL DEL ACTIVO,4823994.00
2210999,CAPITAL,86837.00
2210300,AJUSTE DE CAPITAL,1805864.00
2210500,APORTES NO CAPITALIZADOS,0
2210900,OTROS CONCEPTOS DEL CAPITAL,0
2211100,RESERVA LEGAL,574818.00
2211200,OTRAS RESERVAS,916274.00
2211999,GANANCIAS RESERVADAS,1491092.00
2211300,INTERESES NO CONTROLANTES,0
2212999,RESULTADOS NO ASIGNADOS,-1891677.00
2213999,RESULTADOS INTEGRALES,0
2299999,TOTAL PATRIMONIO NETO,1492116.00
2311000,DEPOSITOS,0
2311100,PASIVOS A VALOR DE REALIZACION CON CAMBIOS EN RESULTADOS,0
2311200,"INSTRUMENTOS DERIVADOS, OPERACIONES DE PASE Y OTROS PASIVOS FINANCIEROS",504337.00
2311300,PROVISIONES,9888.00
2311400,FINANCIACIONES RECIBIDAS DEL BCRA Y OTRAS INSTITUCIONES FINANCIERAS,1459579.00
2311500,OBLIGACIONES NEGOCIABLES SUBORDINADAS,0
2311600,OBLIGACIONES NEGOCIABLES EMITIDAS,1047060.00
2322100,PASIVOS POR IMPUESTO A LAS GANANCIAS CORRIENTE,135745.00
2312200,PASIVOS POR IMPUESTO A LAS GANANCIAS DIFERIDO,0
2322300,OTROS PASIVOS NO FINANCIEROS,175269.00
2399999,TOTAL DEL PASIVO,3331878.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,4823994.00
3000100,INGRESOS POR INTERESES,2139362.00
3000200,EGRESOS POR INTERESES,-1040948.00
3000102,INGRESOS POR COMISIONES,290764.00
3000201,EGRESOS POR COMISIONES,-20575.00
3000101,CARGO POR INCOBRABILIDAD,-54209.00
3009999,INGRESO OPERATIVO NETO,1314394.00
3011301,HONORARIOS A DIRECTORES Y SINDICOS,0
3011300,OTROS GASTOS DE ADMINISTRACION,-492721.00
3011600,DEPRECIACIONES Y AMORTIZACIONES,-2396.00
3021800,RECPAM,-342028.00
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,477249.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,-195644.00
3049999,GANANCIA (PERDIDA) DEL PERIODO / EJERCICIO,281605.00
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,0
3099999,RESULTADO INTEGRAL TOTAL DEL EJERCICIO / PERIODO,281605.00
3241100,FLUJOS DE EFECTIVO PROCEDENTES DE (UTILIZADOS EN) ACTIVIDADES DE OPERACION,505428.00
3241200,FLUJOS DE EFECTIVO PROCEDENTES DE (UTILIZADOS EN) ACTIVIDADES DE INVERSION,-2221.00
3241300,FLUJOS DE EFECTIVO PROCEDENTES DE (UTILIZADOS EN) ACTIVIDADES DE FINANCIACION,-395993.00
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,107214.00
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,0
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,0
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR (MISMO PERIODO),1210511.00
8000003,EBIT,477249.00
8000004,EBITDA,1368603.00
8000005,CAPITAL DE TRABAJO,205135.00
8000006,LIQUIDEZ,205135.00
8000007,SOLVENCIA,0.45
8000008,INMOVILIZACION DEL CAPITAL,0.00
8000009,RENTABILIDAD PATRIMONIO NETO,3.39
8000010,RENTABILIDAD DEL ACTIVO,0.10
8000011,ENDEUDAMIENTO,2.23
8000013,APALANCAMIENTO,3.23
8000014,MARGEN NETO / INGRESOS,2.03
8000015,DEUDA FINANCIERA / EBITDA,2.20
8000017,ANALISIS DUPONT,0.32
