Nro,Rubro,Monto
1122500,EFECTIVO Y EQUIVALENTES A EFECTIVO,1462706943.00
1122300,ACTIVOS FINANCIEROS CORRIENTES,0
1121999,CUENTAS POR COBRAR CORRIENTES,328163816.00
1122400,OTROS ACTIVOS NO FINANCIEROS CORRIENTES,93902977.00
1120100,INVENTARIOS CORRIENTES,2362908753.00
1139999,ACTIVO CORRIENTE,4247682489.00
1112400,ACTIVOS FINANCIEROS NO CORRIENTES,0
1111999,CUENTAS POR COBRAR NO CORRIENTES,0
1110100,PROPIEDADES PLANTAS Y EQUIPOS,2199397424.00
1112500,OTROS ACTIVOS NO FINANCIEROS NO CORRIENTES,6065271.00
1110200,ACTIVOS INTANGIBLES,24197934.00
1119999,ACTIVO NO CORRIENTE,2229660629.00
1999999,TOTAL DEL ACTIVO,6477343118.00
2210999,CAPITAL,2000000.00
2210300,AJUSTE DE CAPITAL,2377422993.00
2210500,APORTES NO CAPITALIZADOS O CONTRIBUCIONES DE CAPITAL,0
2210900,OTROS CONCEPTOS DEL CAPITAL,0
2211100,RESERVA LEGAL,322863548.00
2211200,OTRAS RESERVAS,1194081950.00
2211999,GANANCIAS RESERVADAS,1516945498.00
2211300,INTERESES NO CONTROLANTES,0
2212999,RESULTADOS NO ASIGNADOS,0
2213999,RESULTADOS INTEGRALES,0
2299999,TOTAL PATRIMONIO NETO,3896368491.00
2322200,PASIVOS FINANCIEROS CORRIENTES,388397202.00
2321999,CUENTAS POR PAGAR CORRIENTES,1039363214.00
2322100,PASIVOS POR IMPUESTOS CORRIENTES,203061062.00
2322300,OTROS PASIVOS NO FINANCIEROS CORRIENTES,11143536.00
2339999,PASIVO CORRIENTE,1641965014.00
2312300,PASIVOS FINANCIEROS NO CORRIENTES,0
2311999,CUENTAS POR PAGAR NO CORRIENTES,0
2312200,PASIVOS POR IMPUESTOS NO CORRIENTES,939009613.00
2312400,OTROS PASIVOS NO FINANCIEROS NO CORRIENTES,0
2319999,PASIVO NO CORRIENTE,939009613.00
2399999,TOTAL DEL PASIVO,2580974627.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,6477343118.00
3000100,INGRESOS DE ACTIVIDADES ORDINARIAS,14186511221.00
3000200,COSTO DE VENTAS Y/O SERVICIOS,-9643663436.00
3009999,GANANCIA (PERDIDA) BRUTA,4542847785.00
3011301,HONORARIOS A DIRECTORES Y SINDICOS,-427960546.00
3011300,OTROS GASTOS DE ADMINISTRACION,-1023978983.00
3011200,GASTOS DE COMERCIALIZACION Y/O DISTRIBUCION,-3934637835.00
3011400,OTROS GASTOS OPERATIVOS,-381036.00
3011100,OTROS INGRESOS,0
3011600,DEPRECIACIONES Y AMORTIZACIONES,-133508765.00
3019999,GANANCIA (PERDIDA) DE ACTIVIDADES OPERATIVAS,-977619380.00
3021400,INGRESOS FINANCIEROS,2257059.00
3021500,COSTOS FINANCIEROS,-123154962.00
3021800,RECPAM,-724631757.00
3021900,OTROS RESULTADOS,-10961655.00
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,-1834110695.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,642145707.00
3049999,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO,-1191964988.00
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,0
3099999,RESULTADO INTEGRAL TOTAL  DEL EJERCICIO / PERIODO,-1191964988.00
3241100,TOTAL CAMBIOS EN ACTIVOS Y PASIVOS OPERATIVOS,1173907950.00
3241200,TOTAL DE ACTIVIDADES DE INVERSION,-34828494.00
3241300,TOTAL DE ACTIVIDADES DE FINANCIACION,-2059242066.00
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,-920162610.00
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,-5.96
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR,5575383479.00
8000003,EBIT,0
8000004,EBITDA,0
8000005,CAPITAL DE TRABAJO,2605717475.00
8000006,LIQUIDEZ,2.59
8000007,SOLVENCIA,1.51
8000008,INMOVILIZACION DEL CAPITAL,0.34
8000009,RENTABILIDAD PATRIMONIO NETO,-0.39
8000010,RENTABILIDAD DEL ACTIVO,-0.28
8000011,ENDEUDAMIENTO,0.66
8000012,ENDEUDAMIENTO A CORTO PLAZO,0.42
8000013,APALANCAMIENTO,1.66
8000014,MARGEN NETO / VENTAS,-0.08
8000015,DEUDA FINANCIERA / EBITDA,0
8000016,EBITDA / COSTOS FINANCIEROS,0
8000017,ANALISIS DU-PONT,-0.47
1122500,EFECTIVO Y EQUIVALENTES A EFECTIVO,1462706943.00
1122300,ACTIVOS FINANCIEROS CORRIENTES,0
1121999,CUENTAS POR COBRAR CORRIENTES,328163816.00
1122400,OTROS ACTIVOS NO FINANCIEROS CORRIENTES,93902977.00
1120100,INVENTARIOS CORRIENTES,2362908753.00
1139999,ACTIVO CORRIENTE,4247682489.00
1112400,ACTIVOS FINANCIEROS NO CORRIENTES,0
1111999,CUENTAS POR COBRAR NO CORRIENTES,0
1110100,PROPIEDADES PLANTAS Y EQUIPOS,2199397424.00
1112500,OTROS ACTIVOS NO FINANCIEROS NO CORRIENTES,6065271.00
1110200,ACTIVOS INTANGIBLES,24197934.00
1119999,ACTIVO NO CORRIENTE,2229660629.00
1999999,TOTAL DEL ACTIVO,6477343118.00
2210999,CAPITAL,2000000.00
2210300,AJUSTE DE CAPITAL,2377422993.00
2210500,APORTES NO CAPITALIZADOS O CONTRIBUCIONES DE CAPITAL,0
2210900,OTROS CONCEPTOS DEL CAPITAL,0
2211100,RESERVA LEGAL,322863548.00
2211200,OTRAS RESERVAS,1194081950.00
2211999,GANANCIAS RESERVADAS,1516945498.00
2211300,INTERESES NO CONTROLANTES,0
2212999,RESULTADOS NO ASIGNADOS,0
2213999,RESULTADOS INTEGRALES,0
2299999,TOTAL PATRIMONIO NETO,3896368491.00
2322200,PASIVOS FINANCIEROS CORRIENTES,388397202.00
2321999,CUENTAS POR PAGAR CORRIENTES,1039363214.00
2322100,PASIVOS POR IMPUESTOS CORRIENTES,203061062.00
2322300,OTROS PASIVOS NO FINANCIEROS CORRIENTES,11143536.00
2339999,PASIVO CORRIENTE,1641965014.00
2312300,PASIVOS FINANCIEROS NO CORRIENTES,0
2311999,CUENTAS POR PAGAR NO CORRIENTES,0
2312200,PASIVOS POR IMPUESTOS NO CORRIENTES,939009613.00
2312400,OTROS PASIVOS NO FINANCIEROS NO CORRIENTES,0
2319999,PASIVO NO CORRIENTE,939009613.00
2399999,TOTAL DEL PASIVO,2580974627.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,6477343118.00
3000100,INGRESOS DE ACTIVIDADES ORDINARIAS,14186511221.00
3000200,COSTO DE VENTAS Y/O SERVICIOS,-9643663436.00
3009999,GANANCIA (PERDIDA) BRUTA,4542847785.00
3011301,HONORARIOS A DIRECTORES Y SINDICOS,-427960546.00
3011300,OTROS GASTOS DE ADMINISTRACION,-1023978983.00
3011200,GASTOS DE COMERCIALIZACION Y/O DISTRIBUCION,-3934637835.00
3011400,OTROS GASTOS OPERATIVOS,-381036.00
3011100,OTROS INGRESOS,0
3011600,DEPRECIACIONES Y AMORTIZACIONES,-133508765.00
3019999,GANANCIA (PERDIDA) DE ACTIVIDADES OPERATIVAS,-977619380.00
3021400,INGRESOS FINANCIEROS,2257059.00
3021500,COSTOS FINANCIEROS,-123154962.00
3021800,RECPAM,-724631757.00
3021900,OTROS RESULTADOS,-10961655.00
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,-1834110695.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,642145707.00
3049999,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO,-1191964988.00
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,0
3099999,RESULTADO INTEGRAL TOTAL  DEL EJERCICIO / PERIODO,-1191964988.00
3241100,TOTAL CAMBIOS EN ACTIVOS Y PASIVOS OPERATIVOS,1173907950.00
3241200,TOTAL DE ACTIVIDADES DE INVERSION,-34828494.00
3241300,TOTAL DE ACTIVIDADES DE FINANCIACION,-2059242066.00
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,-920162610.00
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,-5.96
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR,5575383479.00
8000003,EBIT,0
8000004,EBITDA,0
8000005,CAPITAL DE TRABAJO,2605717475.00
8000006,LIQUIDEZ,2.59
8000007,SOLVENCIA,1.51
8000008,INMOVILIZACION DEL CAPITAL,0.34
8000009,RENTABILIDAD PATRIMONIO NETO,-0.39
8000010,RENTABILIDAD DEL ACTIVO,-0.28
8000011,ENDEUDAMIENTO,0.66
8000012,ENDEUDAMIENTO A CORTO PLAZO,0.42
8000013,APALANCAMIENTO,1.66
8000014,MARGEN NETO / VENTAS,-0.08
8000015,DEUDA FINANCIERA / EBITDA,0
8000016,EBITDA / COSTOS FINANCIEROS,0
8000017,ANALISIS DU-PONT,-0.47
1122500,EFECTIVO Y EQUIVALENTES A EFECTIVO,1462706943.00
1122300,ACTIVOS FINANCIEROS CORRIENTES,0
1121999,CUENTAS POR COBRAR CORRIENTES,328163816.00
1122400,OTROS ACTIVOS NO FINANCIEROS CORRIENTES,93902977.00
1120100,INVENTARIOS CORRIENTES,2362908753.00
1139999,ACTIVO CORRIENTE,4247682489.00
1112400,ACTIVOS FINANCIEROS NO CORRIENTES,0
1111999,CUENTAS POR COBRAR NO CORRIENTES,0
1110100,PROPIEDADES PLANTAS Y EQUIPOS,2199397424.00
1112500,OTROS ACTIVOS NO FINANCIEROS NO CORRIENTES,6065271.00
1110200,ACTIVOS INTANGIBLES,24197934.00
1119999,ACTIVO NO CORRIENTE,2229660629.00
1999999,TOTAL DEL ACTIVO,6477343118.00
2210999,CAPITAL,2000000.00
2210300,AJUSTE DE CAPITAL,2377422993.00
2210500,APORTES NO CAPITALIZADOS O CONTRIBUCIONES DE CAPITAL,0
2210900,OTROS CONCEPTOS DEL CAPITAL,0
2211100,RESERVA LEGAL,322863548.00
2211200,OTRAS RESERVAS,1194081950.00
2211999,GANANCIAS RESERVADAS,1516945498.00
2211300,INTERESES NO CONTROLANTES,0
2212999,RESULTADOS NO ASIGNADOS,0
2213999,RESULTADOS INTEGRALES,0
