Nro,Rubro,Monto
1122500,EFECTIVO Y EQUIVALENTES A EFECTIVO,551294835.00
1122300,ACTIVOS FINANCIEROS CORRIENTES,2122117657.00
1121999,CUENTAS POR COBRAR CORRIENTES,606321976.00
1122400,OTROS ACTIVOS NO FINANCIEROS CORRIENTES,1383663027.00
1120100,INVENTARIOS CORRIENTES,0
1139999,ACTIVO CORRIENTE,4663397495.00
1112400,ACTIVOS FINANCIEROS NO CORRIENTES,0
1111999,CUENTAS POR COBRAR NO CORRIENTES,76054992.00
1110100,PROPIEDADES PLANTAS Y EQUIPOS,601515177.00
1112500,OTROS ACTIVOS NO FINANCIEROS NO CORRIENTES,2610455263.00
1110200,ACTIVOS INTANGIBLES,0
1119999,ACTIVO NO CORRIENTE,3288025432.00
1999999,TOTAL DEL ACTIVO,7951422927.00
2210999,CAPITAL,447235400.00
2210300,AJUSTE DE CAPITAL,2401723702.00
2210500,APORTES NO CAPITALIZADOS O CONTRIBUCIONES DE CAPITAL,0
2210900,OTROS CONCEPTOS DEL CAPITAL,0
2211100,RESERVA LEGAL,0
2211200,OTRAS RESERVAS,0
2211999,GANANCIAS RESERVADAS,0
2211300,INTERESES NO CONTROLANTES,0
2212999,RESULTADOS NO ASIGNADOS,109956514.00
2213999,RESULTADOS INTEGRALES,61710707.00
2299999,TOTAL PATRIMONIO NETO,3020626323.00
2322200,PASIVOS FINANCIEROS CORRIENTES,0
2321999,CUENTAS POR PAGAR CORRIENTES,1671859758.00
2322100,PASIVOS POR IMPUESTOS CORRIENTES,284246799.00
2322300,OTROS PASIVOS NO FINANCIEROS CORRIENTES,29304937.00
2339999,PASIVO CORRIENTE,1985411494.00
2312300,PASIVOS FINANCIEROS NO CORRIENTES,0
2311999,CUENTAS POR PAGAR NO CORRIENTES,2521014264.00
2312200,PASIVOS POR IMPUESTOS NO CORRIENTES,0
2312400,OTROS PASIVOS NO FINANCIEROS NO CORRIENTES,424370846.00
2319999,PASIVO NO CORRIENTE,2945385110.00
2399999,TOTAL DEL PASIVO,4930796604.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,7951422927.00
3000100,INGRESOS DE ACTIVIDADES ORDINARIAS,480822836.00
3000200,COSTO DE VENTAS Y/O SERVICIOS,-224742204.00
3009999,GANANCIA (PERDIDA) BRUTA,256080632.00
3011301,HONORARIOS A DIRECTORES Y SINDICOS,-1558223.45
3011300,OTROS GASTOS DE ADMINISTRACION,-40369525.55
3011200,GASTOS DE COMERCIALIZACION Y/O DISTRIBUCION,-17198344.00
3011400,OTROS GASTOS OPERATIVOS,-13470516.00
3011100,OTROS INGRESOS,13672885.00
3011600,DEPRECIACIONES Y AMORTIZACIONES,-1732381.00
3019999,GANANCIA (PERDIDA) DE ACTIVIDADES OPERATIVAS,195424527.00
3021400,INGRESOS FINANCIEROS,238435045.00
3021500,COSTOS FINANCIEROS,-10399301.00
3021800,RECPAM,-315768694.00
3021900,OTROS RESULTADOS,0
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,107691577.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,-45980870.00
3049999,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO,61710707.00
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,0
3099999,RESULTADO INTEGRAL TOTAL  DEL EJERCICIO / PERIODO,61710707.00
3241100,TOTAL CAMBIOS EN ACTIVOS Y PASIVOS OPERATIVOS,-140774029.00
3241200,TOTAL DE ACTIVIDADES DE INVERSION,-1893047.00
3241300,TOTAL DE ACTIVIDADES DE FINANCIACION,0
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,-142667076.00
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,0.14
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,0.14
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR,2987095551.00
8000003,EBIT,181751642.00
8000004,EBITDA,197608118.00
8000005,CAPITAL DE TRABAJO,2677986001.00
8000006,LIQUIDEZ,2.35
8000007,SOLVENCIA,0.61
8000008,INMOVILIZACION DEL CAPITAL,0.41
8000009,RENTABILIDAD PATRIMONIO NETO,0.04
8000010,RENTABILIDAD DEL ACTIVO,0.01
8000011,ENDEUDAMIENTO,1.63
8000012,ENDEUDAMIENTO A CORTO PLAZO,0.66
8000013,APALANCAMIENTO,2.63
8000014,MARGEN NETO / VENTAS,0.13
8000015,DEUDA FINANCIERA / EBITDA,0
8000016,EBITDA / COSTOS FINANCIEROS,-19.00
8000017,ANALISIS DU-PONT,0.04
