Nro,Rubro,Monto
1122500,EFECTIVO Y EQUIVALENTES A EFECTIVO,770422120.00
1122300,ACTIVOS FINANCIEROS CORRIENTES,2651670098.00
1121999,CUENTAS POR COBRAR CORRIENTES,3229781704.00
1122400,OTROS ACTIVOS NO FINANCIEROS CORRIENTES,0
1120100,INVENTARIOS CORRIENTES,253994394.00
1139999,ACTIVO CORRIENTE,6905868316.00
1112400,ACTIVOS FINANCIEROS NO CORRIENTES,4646795056.00
1111999,CUENTAS POR COBRAR NO CORRIENTES,0
1110100,PROPIEDADES PLANTAS Y EQUIPOS,50832212474.00
1112500,OTROS ACTIVOS NO FINANCIEROS NO CORRIENTES,0
1110200,ACTIVOS INTANGIBLES,0
1119999,ACTIVO NO CORRIENTE,55479007530.00
1999999,TOTAL DEL ACTIVO,62384875846.00
2210999,CAPITAL,138172150.00
2210300,AJUSTE DE CAPITAL,1501556918.00
2210500,APORTES NO CAPITALIZADOS O CONTRIBUCIONES DE CAPITAL,0
2210900,OTROS CONCEPTOS DEL CAPITAL,1497315506.00
2211100,RESERVA LEGAL,67902774.00
2211200,OTRAS RESERVAS,8630495306.00
2211999,GANANCIAS RESERVADAS,8698398080.00
2211300,INTERESES NO CONTROLANTES,0
2212999,RESULTADOS NO ASIGNADOS,791310599.00
2213999,RESULTADOS INTEGRALES,-5287403.00
2299999,TOTAL PATRIMONIO NETO,12621465850.00
2322200,PASIVOS FINANCIEROS CORRIENTES,9324596092.00
2321999,CUENTAS POR PAGAR CORRIENTES,4698182891.00
2322100,PASIVOS POR IMPUESTOS CORRIENTES,485026196.00
2322300,OTROS PASIVOS NO FINANCIEROS CORRIENTES,79481099.00
2339999,PASIVO CORRIENTE,14587286278.00
2312300,PASIVOS FINANCIEROS NO CORRIENTES,24539278451.00
2311999,CUENTAS POR PAGAR NO CORRIENTES,1808069378.00
2312200,PASIVOS POR IMPUESTOS NO CORRIENTES,8791086716.00
2312400,OTROS PASIVOS NO FINANCIEROS NO CORRIENTES,37689173.00
2319999,PASIVO NO CORRIENTE,35176123718.00
2399999,TOTAL DEL PASIVO,49763409996.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,62384875846.00
3000100,INGRESOS DE ACTIVIDADES ORDINARIAS,8941441167.00
3000200,COSTO DE VENTAS Y/O SERVICIOS,-3011428167.00
3009999,GANANCIA (PERDIDA) BRUTA,5930013000.00
3011301,HONORARIOS A DIRECTORES Y SINDICOS,0
3011300,OTROS GASTOS DE ADMINISTRACION,-273225128.00
3011200,GASTOS DE COMERCIALIZACION Y/O DISTRIBUCION,-956503.00
3011400,OTROS GASTOS OPERATIVOS,0
3011100,OTROS INGRESOS,50253861.00
3011600,DEPRECIACIONES Y AMORTIZACIONES,0
3019999,GANANCIA (PERDIDA) DE ACTIVIDADES OPERATIVAS,5706085230.00
3021400,INGRESOS FINANCIEROS,1105954167.00
3021500,COSTOS FINANCIEROS,-3061118614.00
3021800,RECPAM,6195977074.00
3021900,OTROS RESULTADOS,-6958767932.00
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,2988129925.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,-1689402978.00
3049999,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO,1298726947.00
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,0
3099999,RESULTADO INTEGRAL TOTAL  DEL EJERCICIO / PERIODO,1298726947.00
3241100,TOTAL CAMBIOS EN ACTIVOS Y PASIVOS OPERATIVOS,5997147610.00
3241200,TOTAL DE ACTIVIDADES DE INVERSION,-2075606995.00
3241300,TOTAL DE ACTIVIDADES DE FINANCIACION,-3872608032.00
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,48932583.00
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,9.40
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,9.40
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR,11322738903.00
8000003,EBIT,5706085230.00
8000004,EBITDA,7002929511.00
8000005,CAPITAL DE TRABAJO,-7681417962.00
8000006,LIQUIDEZ,0.47
8000007,SOLVENCIA,0.25
8000008,INMOVILIZACION DEL CAPITAL,0.89
8000009,RENTABILIDAD PATRIMONIO NETO,0.25
8000010,RENTABILIDAD DEL ACTIVO,0.05
8000011,ENDEUDAMIENTO,3.94
8000012,ENDEUDAMIENTO A CORTO PLAZO,1.16
8000013,APALANCAMIENTO,4.94
8000014,MARGEN NETO / VENTAS,0.15
8000015,DEUDA FINANCIERA / EBITDA,4.84
8000016,EBITDA / COSTOS FINANCIEROS,-2.29
8000017,ANALISIS DU-PONT,0.24
