Nro,Rubro,Monto
1122500,EFECTIVO Y EQUIVALENTES A EFECTIVO,7225742966.00
1122300,ACTIVOS FINANCIEROS CORRIENTES,3050733532.00
1121999,CUENTAS POR COBRAR CORRIENTES,5050808140.00
1122400,OTROS ACTIVOS NO FINANCIEROS CORRIENTES,187310905.00
1120100,INVENTARIOS CORRIENTES,17225947937.00
1139999,ACTIVO CORRIENTE,32740543480.00
1112400,ACTIVOS FINANCIEROS NO CORRIENTES,2268696121.00
1111999,CUENTAS POR COBRAR NO CORRIENTES,33319394.00
1110100,PROPIEDADES PLANTAS Y EQUIPOS,4575581338.00
1112500,OTROS ACTIVOS NO FINANCIEROS NO CORRIENTES,44739907.00
1110200,ACTIVOS INTANGIBLES,158819812.00
1119999,ACTIVO NO CORRIENTE,7081156572.00
1999999,TOTAL DEL ACTIVO,39821700052.00
2210999,CAPITAL,44307514.00
2210300,AJUSTE DE CAPITAL,4333866584.00
2210500,APORTES NO CAPITALIZADOS O CONTRIBUCIONES DE CAPITAL,0
2210900,OTROS CONCEPTOS DEL CAPITAL,1248896558.00
2211100,RESERVA LEGAL,875634818.00
2211200,OTRAS RESERVAS,10706711419.00
2211999,GANANCIAS RESERVADAS,11582346237.00
2211300,INTERESES NO CONTROLANTES,9653125.00
2212999,RESULTADOS NO ASIGNADOS,6254564363.00
2213999,RESULTADOS INTEGRALES,698515877.00
2299999,TOTAL PATRIMONIO NETO,24172150258.00
2322200,PASIVOS FINANCIEROS CORRIENTES,8475.00
2321999,CUENTAS POR PAGAR CORRIENTES,10098695441.00
2322100,PASIVOS POR IMPUESTOS CORRIENTES,2837034676.00
2322300,OTROS PASIVOS NO FINANCIEROS CORRIENTES,840005318.00
2339999,PASIVO CORRIENTE,13775743910.00
2312300,PASIVOS FINANCIEROS NO CORRIENTES,0
2311999,CUENTAS POR PAGAR NO CORRIENTES,290274846.00
2312200,PASIVOS POR IMPUESTOS NO CORRIENTES,1583531038.00
2312400,OTROS PASIVOS NO FINANCIEROS NO CORRIENTES,0
2319999,PASIVO NO CORRIENTE,1873805884.00
2399999,TOTAL DEL PASIVO,15649549794.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,39821700052.00
3000100,INGRESOS DE ACTIVIDADES ORDINARIAS,52058043722.00
3000200,COSTO DE VENTAS Y/O SERVICIOS,-22118676067.00
3009999,GANANCIA (PERDIDA) BRUTA,29939367655.00
3011301,HONORARIOS A DIRECTORES Y SINDICOS,-40766694.00
3011300,OTROS GASTOS DE ADMINISTRACION,-1318530933.00
3011200,GASTOS DE COMERCIALIZACION Y/O DISTRIBUCION,-13532721245.00
3011400,OTROS GASTOS OPERATIVOS,-352425.00
3011100,OTROS INGRESOS,11240570.00
3011600,DEPRECIACIONES Y AMORTIZACIONES,-257684200.00
3019999,GANANCIA (PERDIDA) DE ACTIVIDADES OPERATIVAS,14800552728.00
3021400,INGRESOS FINANCIEROS,628836684.00
3021500,COSTOS FINANCIEROS,-4329880587.00
3021800,RECPAM,-2548534085.00
3021900,OTROS RESULTADOS,0
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,8550974740.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,-2298669681.00
3049999,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO,6252305059.00
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,618763912.00
3099999,RESULTADO INTEGRAL TOTAL  DEL EJERCICIO / PERIODO,6871068971.00
3241100,TOTAL CAMBIOS EN ACTIVOS Y PASIVOS OPERATIVOS,3094335490.00
3241200,TOTAL DE ACTIVIDADES DE INVERSION,-1168037118.00
3241300,TOTAL DE ACTIVIDADES DE FINANCIACION,-996284734.00
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,930013638.00
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,155.00
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,0
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR,18201192189.00
8000003,EBIT,14800552728.00
8000004,EBITDA,15184937351.00
8000005,CAPITAL DE TRABAJO,18964799570.00
8000006,LIQUIDEZ,2.38
8000007,SOLVENCIA,1.54
8000008,INMOVILIZACION DEL CAPITAL,0.18
8000009,RENTABILIDAD PATRIMONIO NETO,0.40
8000010,RENTABILIDAD DEL ACTIVO,0.21
8000011,ENDEUDAMIENTO,0.65
8000012,ENDEUDAMIENTO A CORTO PLAZO,0.57
8000013,APALANCAMIENTO,1.65
8000014,MARGEN NETO / VENTAS,0.13
