Nro,Rubro,Monto
1122500,EFECTIVO Y EQUIVALENTES A EFECTIVO,483.00
1122300,ACTIVOS FINANCIEROS CORRIENTES,0
1121999,CUENTAS POR COBRAR CORRIENTES,355.00
1122400,OTROS ACTIVOS NO FINANCIEROS CORRIENTES,44.00
1120100,INVENTARIOS CORRIENTES,0
1139999,ACTIVO CORRIENTE,882.00
1112400,ACTIVOS FINANCIEROS NO CORRIENTES,0
1111999,CUENTAS POR COBRAR NO CORRIENTES,363.00
1110100,PROPIEDADES PLANTAS Y EQUIPOS,4416.00
1112500,OTROS ACTIVOS NO FINANCIEROS NO CORRIENTES,20010.00
1110200,ACTIVOS INTANGIBLES,4.00
1119999,ACTIVO NO CORRIENTE,24793.00
1999999,TOTAL DEL ACTIVO,25675.00
2210999,CAPITAL,107.00
2210300,AJUSTE DE CAPITAL,8855.00
2210500,APORTES NO CAPITALIZADOS O CONTRIBUCIONES DE CAPITAL,0
2210900,OTROS CONCEPTOS DEL CAPITAL,12371.00
2211100,RESERVA LEGAL,0
2211200,OTRAS RESERVAS,2316.00
2211999,GANANCIAS RESERVADAS,2316.00
2211300,INTERESES NO CONTROLANTES,0
2212999,RESULTADOS NO ASIGNADOS,1260.00
2213999,RESULTADOS INTEGRALES,312.00
2299999,TOTAL PATRIMONIO NETO,25221.00
2322200,PASIVOS FINANCIEROS CORRIENTES,0
2321999,CUENTAS POR PAGAR CORRIENTES,278.00
2322100,PASIVOS POR IMPUESTOS CORRIENTES,25.00
2322300,OTROS PASIVOS NO FINANCIEROS CORRIENTES,108.00
2339999,PASIVO CORRIENTE,411.00
2312300,PASIVOS FINANCIEROS NO CORRIENTES,0
2311999,CUENTAS POR PAGAR NO CORRIENTES,0
2312200,PASIVOS POR IMPUESTOS NO CORRIENTES,0
2312400,OTROS PASIVOS NO FINANCIEROS NO CORRIENTES,43.00
2319999,PASIVO NO CORRIENTE,43.00
2399999,TOTAL DEL PASIVO,454.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,25675.00
3000100,INGRESOS DE ACTIVIDADES ORDINARIAS,261.00
3000200,COSTO DE VENTAS Y/O SERVICIOS,0
3009999,GANANCIA (PERDIDA) BRUTA,261.00
3011301,HONORARIOS A DIRECTORES Y SINDICOS,-9.00
3011300,OTROS GASTOS DE ADMINISTRACION,-209.00
3011200,GASTOS DE COMERCIALIZACION Y/O DISTRIBUCION,0
3011400,OTROS GASTOS OPERATIVOS,0
3011100,OTROS INGRESOS,0
3011600,DEPRECIACIONES Y AMORTIZACIONES,-31.00
3019999,GANANCIA (PERDIDA) DE ACTIVIDADES OPERATIVAS,12.00
3021400,INGRESOS FINANCIEROS,107.00
3021500,COSTOS FINANCIEROS,0
3021800,RECPAM,-114.00
3021900,OTROS RESULTADOS,62.00
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,67.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,-13.00
3049999,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO,54.00
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,23.00
3099999,RESULTADO INTEGRAL TOTAL  DEL EJERCICIO / PERIODO,77.00
3241100,TOTAL CAMBIOS EN ACTIVOS Y PASIVOS OPERATIVOS,-68.00
3241200,TOTAL DE ACTIVIDADES DE INVERSION,26.00
3241300,TOTAL DE ACTIVIDADES DE FINANCIACION,0
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,-42.00
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,0
