Nro,Rubro,Monto
1122500,EFECTIVO Y EQUIVALENTES A EFECTIVO,2166075737.00
1122300,ACTIVOS FINANCIEROS CORRIENTES,987208733.00
1121999,CUENTAS POR COBRAR CORRIENTES,8332144412.00
1122400,OTROS ACTIVOS NO FINANCIEROS CORRIENTES,0
1120100,INVENTARIOS CORRIENTES,0
1139999,ACTIVO CORRIENTE,11485428882.00
1112400,ACTIVOS FINANCIEROS NO CORRIENTES,60427561.00
1111999,CUENTAS POR COBRAR NO CORRIENTES,8447423.00
1110100,PROPIEDADES PLANTAS Y EQUIPOS,213880545.00
1112500,OTROS ACTIVOS NO FINANCIEROS NO CORRIENTES,54494795.00
1110200,ACTIVOS INTANGIBLES,173311956.00
1119999,ACTIVO NO CORRIENTE,510562280.00
1999999,TOTAL DEL ACTIVO,11995991162.00
2210999,CAPITAL,4043556.00
2210300,AJUSTE DE CAPITAL,132223465.00
2210500,APORTES NO CAPITALIZADOS O CONTRIBUCIONES DE CAPITAL,0
2210900,OTROS CONCEPTOS DEL CAPITAL,0
2211100,RESERVA LEGAL,4816571.00
2211200,OTRAS RESERVAS,313786029.00
2211999,GANANCIAS RESERVADAS,318602600.00
2211300,INTERESES NO CONTROLANTES,100646356.00
2212999,RESULTADOS NO ASIGNADOS,-96966438.00
2213999,RESULTADOS INTEGRALES,-10006221.00
2299999,TOTAL PATRIMONIO NETO,448543318.00
2322200,PASIVOS FINANCIEROS CORRIENTES,1049376219.00
2321999,CUENTAS POR PAGAR CORRIENTES,10164593067.00
2322100,PASIVOS POR IMPUESTOS CORRIENTES,72697115.00
2322300,OTROS PASIVOS NO FINANCIEROS CORRIENTES,60334206.00
2339999,PASIVO CORRIENTE,11347000607.00
2312300,PASIVOS FINANCIEROS NO CORRIENTES,0
2311999,CUENTAS POR PAGAR NO CORRIENTES,0
2312200,PASIVOS POR IMPUESTOS NO CORRIENTES,87886359.00
2312400,OTROS PASIVOS NO FINANCIEROS NO CORRIENTES,112560878.00
2319999,PASIVO NO CORRIENTE,200447237.00
2399999,TOTAL DEL PASIVO,11547447844.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,11995991162.00
3000100,INGRESOS DE ACTIVIDADES ORDINARIAS,1276450580.00
3000200,COSTO DE VENTAS Y/O SERVICIOS,0
3009999,GANANCIA (PERDIDA) BRUTA,1276450580.00
3011301,HONORARIOS A DIRECTORES Y SINDICOS,-32244921.00
3011300,OTROS GASTOS DE ADMINISTRACION,-551367831.00
