Nro,Rubro,Monto
1122500,EFECTIVO Y EQUIVALENTES A EFECTIVO,16760.00
1122300,ACTIVOS FINANCIEROS CORRIENTES,9057.00
1121999,CUENTAS POR COBRAR CORRIENTES,8392.00
1122400,OTROS ACTIVOS NO FINANCIEROS CORRIENTES,8863.00
1120100,INVENTARIOS CORRIENTES,349.00
1139999,ACTIVO CORRIENTE,43421.00
1112400,ACTIVOS FINANCIEROS NO CORRIENTES,206.00
1111999,CUENTAS POR COBRAR NO CORRIENTES,0
1110100,PROPIEDADES PLANTAS Y EQUIPOS,5767.00
1112500,OTROS ACTIVOS NO FINANCIEROS NO CORRIENTES,232289.00
1110200,ACTIVOS INTANGIBLES,0
1119999,ACTIVO NO CORRIENTE,238262.00
1999999,TOTAL DEL ACTIVO,281683.00
2210999,CAPITAL,160.00
2210300,AJUSTE DE CAPITAL,91084.00
2210500,APORTES NO CAPITALIZADOS O CONTRIBUCIONES DE CAPITAL,0
2210900,OTROS CONCEPTOS DEL CAPITAL,0
2211100,RESERVA LEGAL,18249.00
2211200,OTRAS RESERVAS,16352.00
2211999,GANANCIAS RESERVADAS,34601.00
2211300,INTERESES NO CONTROLANTES,0
2212999,RESULTADOS NO ASIGNADOS,31351.00
2213999,RESULTADOS INTEGRALES,0
2299999,TOTAL PATRIMONIO NETO,157196.00
2322200,PASIVOS FINANCIEROS CORRIENTES,0
2321999,CUENTAS POR PAGAR CORRIENTES,4438.00
2322100,PASIVOS POR IMPUESTOS CORRIENTES,1872.00
2322300,OTROS PASIVOS NO FINANCIEROS CORRIENTES,15848.00
2339999,PASIVO CORRIENTE,22158.00
2312300,PASIVOS FINANCIEROS NO CORRIENTES,0
2311999,CUENTAS POR PAGAR NO CORRIENTES,0
2312200,PASIVOS POR IMPUESTOS NO CORRIENTES,84288.00
2312400,OTROS PASIVOS NO FINANCIEROS NO CORRIENTES,18041.00
2319999,PASIVO NO CORRIENTE,102329.00
2399999,TOTAL DEL PASIVO,124487.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,281683.00
3000100,INGRESOS DE ACTIVIDADES ORDINARIAS,100548.00
3000200,COSTO DE VENTAS Y/O SERVICIOS,-44721.00
3009999,GANANCIA (PERDIDA) BRUTA,55827.00
3011301,HONORARIOS A DIRECTORES Y SINDICOS,-94.00
3011300,OTROS GASTOS DE ADMINISTRACION,-11108.00
3011200,GASTOS DE COMERCIALIZACION Y/O DISTRIBUCION,0
3011400,OTROS GASTOS OPERATIVOS,0
3011100,OTROS INGRESOS,196.00
3011600,DEPRECIACIONES Y AMORTIZACIONES,0
3019999,GANANCIA (PERDIDA) DE ACTIVIDADES OPERATIVAS,44821.00
3021400,INGRESOS FINANCIEROS,5147.00
3021500,COSTOS FINANCIEROS,-1225.00
3021800,RECPAM,-220.00
3021900,OTROS RESULTADOS,0
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,48523.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,-17172.00
3049999,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO,31351.00
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,0
3099999,RESULTADO INTEGRAL TOTAL  DEL EJERCICIO / PERIODO,31351.00
3241100,TOTAL CAMBIOS EN ACTIVOS Y PASIVOS OPERATIVOS,9524.00
3241200,TOTAL DE ACTIVIDADES DE INVERSION,-8057.00
3241300,TOTAL DE ACTIVIDADES DE FINANCIACION,0
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,1467.00
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,0.00
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,0.00
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR,125845.00
8000003,EBIT,8074.00
8000004,EBITDA,9665.00
8000005,CAPITAL DE TRABAJO,21263.00
8000006,LIQUIDEZ,1.96
8000007,SOLVENCIA,1.26
8000008,INMOVILIZACION DEL CAPITAL,0.85
8000009,RENTABILIDAD PATRIMONIO NETO,0.34
8000010,RENTABILIDAD DEL ACTIVO,0.17
8000011,ENDEUDAMIENTO,0.79
8000012,ENDEUDAMIENTO A CORTO PLAZO,0.14
8000013,APALANCAMIENTO,1.79
8000014,MARGEN NETO / VENTAS,0.31
8000015,DEUDA FINANCIERA / EBITDA,#¡REF!
8000016,EBITDA / COSTOS FINANCIEROS,#¡REF!
8000017,ANALISIS DU-PONT,0.31
