Nro,Rubro,Monto
1122500,EFECTIVO Y DEPOSITOS EN BANCOS,548274543.00
1122600,TITULOS DE DEUDA A VALOR RAZONABLE CON CAMBIOS EN RESULTADOS,60065339.00
1122700,PRESTAMOS Y OTRAS FINANCIACIONES,1845680779.00
1122800,"OPERACIONES DE PASE, INSTRUMENTOS DERIVADOS Y OTROS TITULOS DE DEUDA",1766527687.00
1122900,ACTIVO POR IMPUESTO A LAS GANACIAS DIFERIDO,11177131.00
1123100,INVERSIONES EN INSTRUMENTOS DE PATRIMONIO,4425800.00
1123200,ACTIVOS FINANCIEROS ENTREGADOS EN GARANTIA,275398588.00
1110100,PROPIEDAD PLANTA Y EQUIPO,174851850.00
1123300,"INVERSIONES EN SUBSIDIARIAS, ASOCIADAS Y NEGOCIOS CONJUNTOS",1195778.00
1110200,ACTIVOS INTANGIBLES,58631475.00
1122300,OTROS ACTIVOS FINANCIEROS,82771860.00
1122400,OTROS ACTIVOS NO FINANCIEROS,29911433.00
1999999,TOTAL DEL ACTIVO,4858912263.00
2210999,CAPITAL,1474692.00
2210300,AJUSTE DE CAPITAL,337023238.00
2210500,APORTES NO CAPITALIZADOS,17281187.00
2210900,OTROS CONCEPTOS DEL CAPITAL,0
2211100,RESERVA LEGAL,11704618.00
2211200,OTRAS RESERVAS,445141780.00
2211999,GANANCIAS RESERVADAS,456846398.00
2211300,INTERESES NO CONTROLANTES,47.00
2212999,RESULTADOS NO ASIGNADOS,80409182.00
2213999,RESULTADOS INTEGRALES,581435.00
2299999,TOTAL PATRIMONIO NETO,893616179.00
2311000,DEPOSITOS,2998799556.00
2311100,PASIVOS A VALOR DE REALIZACION CON CAMBIOS EN RESULTADOS,8113761.00
2311200,"INSTRUMENTOS DERIVADOS, OPERACIONES DE PASE Y OTROS PASIVOS FINANCIEROS",527451304.00
2311300,PROVISIONES,23324754.00
2311400,FINANCIACIONES RECIBIDAS DEL BCRA Y OTRAS INSTITUCIONES FINANCIERAS,54355519.00
2311500,OBLIGACIONES NEGOCIABLES SUBORDINADAS,65837123.00
2311600,OBLIGACIONES NEGOCIABLES EMITIDAS,71530934.00
2322100,PASIVOS POR IMPUESTO A LAS GANANCIAS CORRIENTE,14241594.00
2312200,PASIVOS POR IMPUESTO A LAS GANANCIAS DIFERIDO,27471116.00
2322300,OTROS PASIVOS NO FINANCIEROS,174170423.00
2399999,TOTAL DEL PASIVO,3965296084.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,4858912263.00
3000100,INGRESOS POR INTERESES,1241875507.00
3000200,EGRESOS POR INTERESES,-661264765.00
3000102,INGRESOS POR COMISIONES,127987013.00
3000201,EGRESOS POR COMISIONES,-18215684.00
3000101,CARGO POR INCOBRABILIDAD,-40350208.00
3009999,INGRESO OPERATIVO NETO,650031863.00
3011301,HONORARIOS A DIRECTORES Y SINDICOS,-542578.00
3011300,OTROS GASTOS DE ADMINISTRACION,-256114607.00
3011600,DEPRECIACIONES Y AMORTIZACIONES,-19511830.00
3021800,RECPAM,-255683405.00
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,118179443.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,-37770243.00
3049999,GANANCIA (PERDIDA) DEL PERIODO / EJERCICIO,80409200.00
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,251722.00
3099999,RESULTADO INTEGRAL TOTAL DEL EJERCICIO / PERIODO,80660922.00
3241100,FLUJOS DE EFECTIVO PROCEDENTES DE (UTILIZADOS EN) ACTIVIDADES DE OPERACION,-99144772.00
3241200,FLUJOS DE EFECTIVO PROCEDENTES DE (UTILIZADOS EN) ACTIVIDADES DE INVERSION,-15031382.00
3241300,FLUJOS DE EFECTIVO PROCEDENTES DE (UTILIZADOS EN) ACTIVIDADES DE FINANCIACION,-72733697.00
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,-186909851.00
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,54.53
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,54.53
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR (MISMO PERIODO),864562669.00
8000003,EBIT,0
8000004,EBITDA,0
8000005,CAPITAL DE TRABAJO,0
8000006,LIQUIDEZ,0
8000007,SOLVENCIA,0.23
8000008,INMOVILIZACION DEL CAPITAL,0.05
8000009,RENTABILIDAD PATRIMONIO NETO,8.14
8000010,RENTABILIDAD DEL ACTIVO,0.02
8000011,ENDEUDAMIENTO,4.44
8000013,APALANCAMIENTO,5.44
8000014,MARGEN NETO / INGRESOS,3.65
8000015,DEUDA FINANCIERA / EBITDA,0
8000017,ANALISIS DUPONT,0.13
