Nro,Rubro,Monto
1122500,EFECTIVO Y EQUIVALENTES A EFECTIVO,809555.00
1122300,ACTIVOS FINANCIEROS CORRIENTES,803758.00
1121999,CUENTAS POR COBRAR CORRIENTES,6817718.00
1122400,OTROS ACTIVOS NO FINANCIEROS CORRIENTES,152313.00
1120100,INVENTARIOS CORRIENTES,0
1139999,ACTIVO CORRIENTE,8583344.00
1112400,ACTIVOS FINANCIEROS NO CORRIENTES,0
1111999,CUENTAS POR COBRAR NO CORRIENTES,0
1110100,PROPIEDADES PLANTAS Y EQUIPOS,147769.00
1112500,OTROS ACTIVOS NO FINANCIEROS NO CORRIENTES,208678.00
1110200,ACTIVOS INTANGIBLES,53820.00
1119999,ACTIVO NO CORRIENTE,410267.00
1999999,TOTAL DEL ACTIVO,8993611.00
2210999,CAPITAL,371433.00
2210300,AJUSTE DE CAPITAL,2588033.00
2210500,APORTES NO CAPITALIZADOS O CONTRIBUCIONES DE CAPITAL,0
2210900,OTROS CONCEPTOS DEL CAPITAL,3956.00
2211100,RESERVA LEGAL,7131.00
2211200,OTRAS RESERVAS,135501.00
2211999,GANANCIAS RESERVADAS,142632.00
2211300,INTERESES NO CONTROLANTES,0
2212999,RESULTADOS NO ASIGNADOS,-2347123.00
2213999,RESULTADOS INTEGRALES,-2247.00
2299999,TOTAL PATRIMONIO NETO,756684.00
2322200,PASIVOS FINANCIEROS CORRIENTES,7854508.00
2321999,CUENTAS POR PAGAR CORRIENTES,25515.00
2322100,PASIVOS POR IMPUESTOS CORRIENTES,10076.00
2322300,OTROS PASIVOS NO FINANCIEROS CORRIENTES,179681.00
2339999,PASIVO CORRIENTE,8069780.00
2312300,PASIVOS FINANCIEROS NO CORRIENTES,0
2311999,CUENTAS POR PAGAR NO CORRIENTES,142192.00
2312200,PASIVOS POR IMPUESTOS NO CORRIENTES,24955.00
2312400,OTROS PASIVOS NO FINANCIEROS NO CORRIENTES,0
2319999,PASIVO NO CORRIENTE,167147.00
2399999,TOTAL DEL PASIVO,8236927.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,8993611.00
3000100,INGRESOS DE ACTIVIDADES ORDINARIAS,530951.00
3000200,COSTO DE VENTAS Y/O SERVICIOS,-547902.00
3009999,GANANCIA (PERDIDA) BRUTA,-16951.00
3011301,HONORARIOS A DIRECTORES Y SINDICOS,-105821.00
3011300,OTROS GASTOS DE ADMINISTRACION,-151163.00
3011200,GASTOS DE COMERCIALIZACION Y/O DISTRIBUCION,-129918.00
3011400,OTROS GASTOS OPERATIVOS,-83192.00
3011100,OTROS INGRESOS,83665.00
3011600,DEPRECIACIONES Y AMORTIZACIONES,-17650.00
3019999,GANANCIA (PERDIDA) DE ACTIVIDADES OPERATIVAS,-421030.00
3021400,INGRESOS FINANCIEROS,516718.00
3021500,COSTOS FINANCIEROS,0
3021800,RECPAM,-68107.00
3021900,OTROS RESULTADOS,-629.00
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,26952.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,-29305.00
3049999,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO,-2353.00
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,0
3099999,RESULTADO INTEGRAL TOTAL  DEL EJERCICIO / PERIODO,-2353.00
3241100,TOTAL CAMBIOS EN ACTIVOS Y PASIVOS OPERATIVOS,-1831568.00
3241200,TOTAL DE ACTIVIDADES DE INVERSION,11246.00
3241300,TOTAL DE ACTIVIDADES DE FINANCIACION,296312.00
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,-1524010.00
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,0
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,0
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR,0
8000003,EBIT,0
8000004,EBITDA,0
8000005,CAPITAL DE TRABAJO,513564.00
8000006,LIQUIDEZ,1.06
8000007,SOLVENCIA,0.09
8000008,INMOVILIZACION DEL CAPITAL,0.05
8000009,RENTABILIDAD PATRIMONIO NETO,0.07
8000010,RENTABILIDAD DEL ACTIVO,0.00
8000011,ENDEUDAMIENTO,10.89
8000012,ENDEUDAMIENTO A CORTO PLAZO,10.66
8000013,APALANCAMIENTO,11.89
8000014,MARGEN NETO / VENTAS,-0.00
8000015,DEUDA FINANCIERA / EBITDA,0
8000016,EBITDA / COSTOS FINANCIEROS,0
8000017,ANALISIS DU-PONT,0.04
