Nro,Rubro,Monto
1122500,EFECTIVO Y DEPOSITOS EN BANCOS,33.687.553
1122600,TITULOS DE DEUDA A VALOR RAZONABLE CON CAMBIOS EN RESULTADOS,15.112.115
1122700,PRESTAMOS Y OTRAS FINANCIACIONES,78.791.903
1122800,"OPERACIONES DE PASE, INSTRUMENTOS DERIVADOS Y OTROS TITULOS DE DEUDA",4.327.019
1122900,ACTIVO POR IMPUESTO A LAS GANACIAS DIFERIDO,519.231
1123100,INVERSIONES EN INSTRUMENTOS DE PATRIMONIO,10.404
1123200,ACTIVOS FINANCIEROS ENTREGADOS EN GARANTIA,2.007.217
1110100,PROPIEDAD PLANTA Y EQUIPO,1.777.403
1123300,"INVERSIONES EN SUBSIDIARIAS, ASOCIADAS Y NEGOCIOS CONJUNTOS",0
1110200,ACTIVOS INTANGIBLES,1.961.817
1122300,OTROS ACTIVOS FINANCIEROS,1.715.534
1122400,OTROS ACTIVOS NO FINANCIEROS,1.205.345
1999999,TOTAL DEL ACTIVO,141115541.00
2210999,CAPITAL,456.722
2210300,AJUSTE DE CAPITAL,0
2210500,APORTES NO CAPITALIZADOS,0
2210900,OTROS CONCEPTOS DEL CAPITAL,8.996.882
2211100,RESERVA LEGAL,91.344
2211200,OTRAS RESERVAS,5.954.645
2211999,GANANCIAS RESERVADAS,6045989.00
2211300,INTERESES NO CONTROLANTES,14.622
2212999,RESULTADOS NO ASIGNADOS,-911.607
2213999,RESULTADOS INTEGRALES,2.567.569
2299999,TOTAL PATRIMONIO NETO,17170177.00
2311000,DEPOSITOS,94.906.014
2311100,PASIVOS A VALOR DE REALIZACION CON CAMBIOS EN RESULTADOS,268.086
2311200,"INSTRUMENTOS DERIVADOS, OPERACIONES DE PASE Y OTROS PASIVOS FINANCIEROS",4.362.623
2311300,PROVISIONES,86.915
2311400,FINANCIACIONES RECIBIDAS DEL BCRA Y OTRAS INSTITUCIONES FINANCIERAS,8.033.222
2311500,OBLIGACIONES NEGOCIABLES SUBORDINADAS,1.383.817
2311600,OBLIGACIONES NEGOCIABLES EMITIDAS,9.307.171
2322100,PASIVOS POR IMPUESTO A LAS GANANCIAS CORRIENTE,192.999
2312200,PASIVOS POR IMPUESTO A LAS GANANCIAS DIFERIDO,172
2322300,OTROS PASIVOS NO FINANCIEROS,5.404.345
2399999,TOTAL DEL PASIVO,123945364.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,141115541.00
3000100,INGRESOS POR INTERESES,31.001.271
3000200,EGRESOS POR INTERESES,-14.954.100
3000102,INGRESOS POR COMISIONES,8.467.608
3000201,EGRESOS POR COMISIONES,-4.687.894
3000101,CARGO POR INCOBRABILIDAD,-4.220.645
3009999,INGRESO OPERATIVO NETO,15606240.00
3011301,HONORARIOS A DIRECTORES Y SINDICOS,-135.859
3011300,OTROS GASTOS DE ADMINISTRACION,-11.707.930
3011600,DEPRECIACIONES Y AMORTIZACIONES,-354.601
3021800,RECPAM,0
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,3407850.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,-814.975
3049999,GANANCIA (PERDIDA) DEL PERIODO / EJERCICIO,2592875.00
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,462.889
3099999,RESULTADO INTEGRAL TOTAL DEL EJERCICIO / PERIODO,3055764.00
3241100,FLUJOS DE EFECTIVO PROCEDENTES DE (UTILIZADOS EN) ACTIVIDADES DE OPERACION,23.893.588
3241200,FLUJOS DE EFECTIVO PROCEDENTES DE (UTILIZADOS EN) ACTIVIDADES DE INVERSION,-4.023.496
3241300,FLUJOS DE EFECTIVO PROCEDENTES DE (UTILIZADOS EN) ACTIVIDADES DE FINANCIACION,5.681.098
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,25551190.01
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,5.62
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,5.62
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR (MISMO PERIODO),14.520.168
8000003,EBIT,3.407.850
8000004,EBITDA,3.762.451
8000005,CAPITAL DE TRABAJO,17.170.177
8000006,LIQUIDEZ,0.49
8000007,SOLVENCIA,0.14
8000008,INMOVILIZACION DEL CAPITAL,0.03
8000009,RENTABILIDAD PATRIMONIO NETO,2.57
8000010,RENTABILIDAD DEL ACTIVO,0.02
8000011,ENDEUDAMIENTO,7.22
8000013,APALANCAMIENTO,8.22
8000014,MARGEN NETO / INGRESOS,4.00
8000015,DEUDA FINANCIERA / EBITDA,6.14
8000017,ANALISIS DUPONT,0.20
