Nro,Rubro,Monto
1122500,EFECTIVO Y EQUIVALENTES A EFECTIVO,120.548.12000
1122300,ACTIVOS FINANCIEROS CORRIENTES,832.00
1121999,CUENTAS POR COBRAR CORRIENTES,810.054.27100
1122400,OTROS ACTIVOS NO FINANCIEROS CORRIENTES,112.544.95200
1120100,INVENTARIOS CORRIENTES,758.315.82300
1139999,ACTIVO CORRIENTE,1.801.463.99800
1112400,ACTIVOS FINANCIEROS NO CORRIENTES,59.233.47600
1111999,CUENTAS POR COBRAR NO CORRIENTES,0
1110100,PROPIEDADES PLANTAS Y EQUIPOS,2.433.970.56700
1112500,OTROS ACTIVOS NO FINANCIEROS NO CORRIENTES,0
1110200,ACTIVOS INTANGIBLES,2.621.083.10000
1119999,ACTIVO NO CORRIENTE,5.114.287.14300
1999999,TOTAL DEL ACTIVO,6.915.751.14100
2210999,CAPITAL,46.976.13500
2210300,AJUSTE DE CAPITAL,1.944.755.74100
2210500,APORTES NO CAPITALIZADOS O CONTRIBUCIONES DE CAPITAL,149.789.82200
2210900,OTROS CONCEPTOS DEL CAPITAL,0
2211100,RESERVA LEGAL,155.215.59500
2211200,OTRAS RESERVAS,77.118.67100
2211999,GANANCIAS RESERVADAS,232.334.26600
2211300,INTERESES NO CONTROLANTES,189.321.68400
2212999,RESULTADOS NO ASIGNADOS,1.031.462.52000
2213999,RESULTADOS INTEGRALES,0
2299999,TOTAL PATRIMONIO NETO,3.594.640.16800
2322200,PASIVOS FINANCIEROS CORRIENTES,903.045.69600
2321999,CUENTAS POR PAGAR CORRIENTES,579.984.66700
2322100,PASIVOS POR IMPUESTOS CORRIENTES,512.802.58700
2322300,OTROS PASIVOS NO FINANCIEROS CORRIENTES,440.289.21400
2339999,PASIVO CORRIENTE,2.436.122.16400
2312300,PASIVOS FINANCIEROS NO CORRIENTES,192.713.22600
2311999,CUENTAS POR PAGAR NO CORRIENTES,16.407.49000
2312200,PASIVOS POR IMPUESTOS NO CORRIENTES,613.076.38700
2312400,OTROS PASIVOS NO FINANCIEROS NO CORRIENTES,62.791.70600
2319999,PASIVO NO CORRIENTE,884.988.80900
2399999,TOTAL DEL PASIVO,3.321.110.97300
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,6.915.751.14100
3000100,INGRESOS DE ACTIVIDADES ORDINARIAS,5.089.135.32500
3000200,COSTO DE VENTAS Y/O SERVICIOS,-1.977.391.74100
3009999,GANANCIA (PERDIDA) BRUTA,3.111.743.58400
3011301,HONORARIOS A DIRECTORES Y SINDICOS,0
3011300,OTROS GASTOS DE ADMINISTRACION,-382.832.20600
3011200,GASTOS DE COMERCIALIZACION Y/O DISTRIBUCION,-1.176.145.52200
3011400,OTROS GASTOS OPERATIVOS,14.879.65000
3011100,OTROS INGRESOS,0
3011600,DEPRECIACIONES Y AMORTIZACIONES,0
3019999,GANANCIA (PERDIDA) DE ACTIVIDADES OPERATIVAS,1.567.645.50600
3021400,INGRESOS FINANCIEROS,121.725.21500
3021500,COSTOS FINANCIEROS,-337.171.71900
3021800,RECPAM,404.615.08700
3021900,OTROS RESULTADOS,0
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,1.756.814.08900
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,-685.567.00400
3049999,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO,1.071.247.08500
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,-21.019.66600
3099999,RESULTADO INTEGRAL TOTAL  DEL EJERCICIO / PERIODO,1.050.227.41900
3241100,TOTAL CAMBIOS EN ACTIVOS Y PASIVOS OPERATIVOS,1.530.837.09900
3241200,TOTAL DE ACTIVIDADES DE INVERSION,-185.788.41800
3241300,TOTAL DE ACTIVIDADES DE FINANCIACION,-1.372.236.14100
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,-27.187.46000
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,21.96
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,21.96
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR,2.866.991.33400
8000003,EBIT,1.567.645.50600
8000004,EBITDA,1.736.031.38900
8000005,CAPITAL DE TRABAJO,-634.658.16600
8000006,LIQUIDEZ,0.74
8000007,SOLVENCIA,1.08
8000008,INMOVILIZACION DEL CAPITAL,0.74
8000009,RENTABILIDAD PATRIMONIO NETO,0.54
8000010,RENTABILIDAD DEL ACTIVO,0.25
8000011,ENDEUDAMIENTO,0.92
8000012,ENDEUDAMIENTO A CORTO PLAZO,0.68
8000013,APALANCAMIENTO,1.92
8000014,MARGEN NETO / VENTAS,0.21
8000015,DEUDA FINANCIERA / EBITDA,0.63
8000016,EBITDA / COSTOS FINANCIEROS,-5.15
8000017,ANALISIS DU-PONT,0.49
