Nro,Rubro,Monto
1122500,EFECTIVO Y EQUIVALENTES A EFECTIVO,1451267000.00
1122300,ACTIVOS FINANCIEROS CORRIENTES,13158747242.00
1121999,CUENTAS POR COBRAR CORRIENTES,14493501133.00
1122400,OTROS ACTIVOS NO FINANCIEROS CORRIENTES,3095246091.00
1120100,INVENTARIOS CORRIENTES,19134257546.00
1139999,ACTIVO CORRIENTE,51333019012.00
1112400,ACTIVOS FINANCIEROS NO CORRIENTES,1684562629.00
1111999,CUENTAS POR COBRAR NO CORRIENTES,0
1110100,PROPIEDADES PLANTAS Y EQUIPOS,49238535232.00
1112500,OTROS ACTIVOS NO FINANCIEROS NO CORRIENTES,711049251.00
1110200,ACTIVOS INTANGIBLES,30789711813.00
1119999,ACTIVO NO CORRIENTE,82423858925.00
1999999,TOTAL DEL ACTIVO,133756877937.00
2210999,CAPITAL,64331300.00
2210300,AJUSTE DE CAPITAL,39007197337.00
2210500,APORTES NO CAPITALIZADOS O CONTRIBUCIONES DE CAPITAL,0
2210900,OTROS CONCEPTOS DEL CAPITAL,0
2211100,RESERVA LEGAL,958211480.00
2211200,OTRAS RESERVAS,7600089877.00
2211999,GANANCIAS RESERVADAS,8558301357.00
2211300,INTERESES NO CONTROLANTES,0
2212999,RESULTADOS NO ASIGNADOS,9257802032.00
2213999,RESULTADOS INTEGRALES,0
2299999,TOTAL PATRIMONIO NETO,56887632026.00
2322200,PASIVOS FINANCIEROS CORRIENTES,9936049916.00
2321999,CUENTAS POR PAGAR CORRIENTES,9898471711.00
2322100,PASIVOS POR IMPUESTOS CORRIENTES,2681641857.00
2322300,OTROS PASIVOS NO FINANCIEROS CORRIENTES,9866437077.00
2339999,PASIVO CORRIENTE,32382600561.00
2312300,PASIVOS FINANCIEROS NO CORRIENTES,32182620495.00
2311999,CUENTAS POR PAGAR NO CORRIENTES,4112987778.00
2312200,PASIVOS POR IMPUESTOS NO CORRIENTES,7961282050.00
2312400,OTROS PASIVOS NO FINANCIEROS NO CORRIENTES,229755027.00
2319999,PASIVO NO CORRIENTE,44486645350.00
2399999,TOTAL DEL PASIVO,76869245911.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,133756877937.00
3000100,INGRESOS DE ACTIVIDADES ORDINARIAS,107464840651.00
3000200,COSTO DE VENTAS Y/O SERVICIOS,-52817916963.00
3009999,GANANCIA (PERDIDA) BRUTA,54646923688.00
3011301,HONORARIOS A DIRECTORES Y SINDICOS,0
3011300,OTROS GASTOS DE ADMINISTRACION,-8443512939.00
3011200,GASTOS DE COMERCIALIZACION Y/O DISTRIBUCION,-23705386889.00
3011400,OTROS GASTOS OPERATIVOS,659113683.00
3011100,OTROS INGRESOS,0
3011600,DEPRECIACIONES Y AMORTIZACIONES,-3974158562.00
3019999,GANANCIA (PERDIDA) DE ACTIVIDADES OPERATIVAS,19182978981.00
3021400,INGRESOS FINANCIEROS,5875739284.00
3021500,COSTOS FINANCIEROS,-12256727150.00
3021800,RECPAM,2590410282.00
3021900,OTROS RESULTADOS,0
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,15392401397.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,-6134599365.00
3049999,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO,9257802032.00
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,160627717.00
3099999,RESULTADO INTEGRAL TOTAL  DEL EJERCICIO / PERIODO,9418429749.00
3241100,TOTAL CAMBIOS EN ACTIVOS Y PASIVOS OPERATIVOS,8890492811.00
3241200,TOTAL DE ACTIVIDADES DE INVERSION,-13488163830.00
3241300,TOTAL DE ACTIVIDADES DE FINANCIACION,6909394511.00
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,2311723492.00
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,143.91
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,143.91
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR,54245818796.00
8000003,EBIT,19182978981.00
8000004,EBITDA,23834989019.00
8000005,CAPITAL DE TRABAJO,18950418451.00
8000006,LIQUIDEZ,1.59
8000007,SOLVENCIA,0.74
8000008,INMOVILIZACION DEL CAPITAL,0.62
8000009,RENTABILIDAD PATRIMONIO NETO,0.28
8000010,RENTABILIDAD DEL ACTIVO,0.12
8000011,ENDEUDAMIENTO,1.35
8000012,ENDEUDAMIENTO A CORTO PLAZO,0.57
8000013,APALANCAMIENTO,2.35
8000014,MARGEN NETO / VENTAS,0.09
8000015,DEUDA FINANCIERA / EBITDA,1.77
8000016,EBITDA / COSTOS FINANCIEROS,-1.94
8000017,ANALISIS DU-PONT,0.27
