Nro,Rubro,Monto
1122500,EFECTIVO Y EQUIVALENTES A EFECTIVO,25.734.670
1122300,ACTIVOS FINANCIEROS CORRIENTES,216.496.915
1121999,CUENTAS POR COBRAR CORRIENTES,576.214.593
1122400,OTROS ACTIVOS NO FINANCIEROS CORRIENTES,3.800.416.008
1120100,INVENTARIOS CORRIENTES,3.636.978.906
1139999,ACTIVO CORRIENTE,8255841092.00
1112400,ACTIVOS FINANCIEROS NO CORRIENTES,0
1111999,CUENTAS POR COBRAR NO CORRIENTES,0
1110100,PROPIEDADES PLANTAS Y EQUIPOS,7.781.797.938
1112500,OTROS ACTIVOS NO FINANCIEROS NO CORRIENTES,181.598.398
1110200,ACTIVOS INTANGIBLES,0
1119999,ACTIVO NO CORRIENTE,7963396336.00
1999999,TOTAL DEL ACTIVO,16219237428.00
2210999,CAPITAL,172.040.000
2210300,AJUSTE DE CAPITAL,5.559.453.411
2210500,APORTES NO CAPITALIZADOS O CONTRIBUCIONES DE CAPITAL,0
2210900,OTROS CONCEPTOS DEL CAPITAL,0
2211100,RESERVA LEGAL,187.221.291
2211200,OTRAS RESERVAS,0
2211999,GANANCIAS RESERVADAS,187221291.00
2211300,INTERESES NO CONTROLANTES,0
2212999,RESULTADOS NO ASIGNADOS,407.886.050
2213999,RESULTADOS INTEGRALES,1.093.530.951
2299999,TOTAL PATRIMONIO NETO,7420131703.00
2322200,PASIVOS FINANCIEROS CORRIENTES,3.474.209.495
2321999,CUENTAS POR PAGAR CORRIENTES,280.893.867
2322100,PASIVOS POR IMPUESTOS CORRIENTES,395.274.632
2322300,OTROS PASIVOS NO FINANCIEROS CORRIENTES,297.432.130
2339999,PASIVO CORRIENTE,4447810124.00
2312300,PASIVOS FINANCIEROS NO CORRIENTES,3.346.680.352
2311999,CUENTAS POR PAGAR NO CORRIENTES,407.404.182
2312200,PASIVOS POR IMPUESTOS NO CORRIENTES,597.211.067
2312400,OTROS PASIVOS NO FINANCIEROS NO CORRIENTES,0
2319999,PASIVO NO CORRIENTE,4351295601.00
2399999,TOTAL DEL PASIVO,8799105725.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,16219237428.00
3000100,INGRESOS DE ACTIVIDADES ORDINARIAS,6.818.841.266
3000200,COSTO DE VENTAS Y/O SERVICIOS,(5.369.268.742)
3009999,GANANCIA (PERDIDA) BRUTA,1449572524.00
3011301,HONORARIOS A DIRECTORES Y SINDICOS,0
3011300,OTROS GASTOS DE ADMINISTRACION,(188.788.942)
3011200,GASTOS DE COMERCIALIZACION Y/O DISTRIBUCION,(158.553.606)
3011400,OTROS GASTOS OPERATIVOS,0
3011100,OTROS INGRESOS,0
3011600,DEPRECIACIONES Y AMORTIZACIONES,(378.927.779)
3019999,GANANCIA (PERDIDA) DE ACTIVIDADES OPERATIVAS,723302197.00
3021400,INGRESOS FINANCIEROS,0
3021500,COSTOS FINANCIEROS,(1.415.840.405)
3021800,RECPAM,1.894.541.532
3021900,OTROS RESULTADOS,174.992.815
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,1376996139.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,(283.465.188)
3049999,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO,1093530951.00
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,0
3099999,RESULTADO INTEGRAL TOTAL  DEL EJERCICIO / PERIODO,1093530951.00
3241100,TOTAL CAMBIOS EN ACTIVOS Y PASIVOS OPERATIVOS,591.166.361
3241200,TOTAL DE ACTIVIDADES DE INVERSION,(431.188.311)
3241300,TOTAL DE ACTIVIDADES DE FINANCIACION,(56.449.510)
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,103528540.00
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,6.36
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,6.36
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR,6.439.504.959
8000003,EBIT,1.102.229.976
8000004,EBITDA,1.102.229.976
8000005,CAPITAL DE TRABAJO,3808030968.00
8000006,LIQUIDEZ,1.86
8000007,SOLVENCIA,0.84
8000008,INMOVILIZACION DEL CAPITAL,0.49
8000009,RENTABILIDAD PATRIMONIO NETO,0.20
8000010,RENTABILIDAD DEL ACTIVO,0.08
8000011,ENDEUDAMIENTO,1.19
8000012,ENDEUDAMIENTO A CORTO PLAZO,0.60
8000013,APALANCAMIENTO,2.19
8000014,MARGEN NETO / VENTAS,0.16
8000015,DEUDA FINANCIERA / EBITDA,6.19
8000016,EBITDA / COSTOS FINANCIEROS,-0.78
8000017,ANALISIS DU-PONT,0.19
