Nro,Rubro,Monto
1122500,EFECTIVO Y EQUIVALENTES A EFECTIVO,399706.00
1122300,ACTIVOS FINANCIEROS CORRIENTES,0
1121999,CUENTAS POR COBRAR CORRIENTES,0
1122400,OTROS ACTIVOS NO FINANCIEROS CORRIENTES,11543366.00
1120100,INVENTARIOS CORRIENTES,0
1139999,ACTIVO CORRIENTE,11943072.00
1112400,ACTIVOS FINANCIEROS NO CORRIENTES,0
1111999,CUENTAS POR COBRAR NO CORRIENTES,0
1110100,PROPIEDADES PLANTAS Y EQUIPOS,0
1112500,OTROS ACTIVOS NO FINANCIEROS NO CORRIENTES,108293087.00
1110200,ACTIVOS INTANGIBLES,0
1119999,ACTIVO NO CORRIENTE,108293087.00
1999999,TOTAL DEL ACTIVO,120236159.00
2210999,CAPITAL,179926096.00
2210300,AJUSTE DE CAPITAL,8251929209.00
2210500,APORTES NO CAPITALIZADOS O CONTRIBUCIONES DE CAPITAL,0
2210900,OTROS CONCEPTOS DEL CAPITAL,0
2211100,RESERVA LEGAL,277230917.00
2211200,OTRAS RESERVAS,0
2211999,GANANCIAS RESERVADAS,277230917.00
2211300,INTERESES NO CONTROLANTES,0
2212999,RESULTADOS NO ASIGNADOS,-14214206157.00
2213999,RESULTADOS INTEGRALES,6147528.00
2299999,TOTAL PATRIMONIO NETO,-5498972407.00
2322200,PASIVOS FINANCIEROS CORRIENTES,4674312705.00
2321999,CUENTAS POR PAGAR CORRIENTES,7291770.00
2322100,PASIVOS POR IMPUESTOS CORRIENTES,0
2322300,OTROS PASIVOS NO FINANCIEROS CORRIENTES,13390765.00
2339999,PASIVO CORRIENTE,4694995240.00
2312300,PASIVOS FINANCIEROS NO CORRIENTES,0
2311999,CUENTAS POR PAGAR NO CORRIENTES,0
2312200,PASIVOS POR IMPUESTOS NO CORRIENTES,0
2312400,OTROS PASIVOS NO FINANCIEROS NO CORRIENTES,924213326.00
2319999,PASIVO NO CORRIENTE,924213326.00
2399999,TOTAL DEL PASIVO,5619208566.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,120236159.00
3000100,INGRESOS DE ACTIVIDADES ORDINARIAS,0
3000200,COSTO DE VENTAS Y/O SERVICIOS,0
3009999,GANANCIA (PERDIDA) BRUTA,0
3011301,HONORARIOS A DIRECTORES Y SINDICOS,0
3011300,OTROS GASTOS DE ADMINISTRACION,-139200262.00
3011200,GASTOS DE COMERCIALIZACION Y/O DISTRIBUCION,0
3011400,OTROS GASTOS OPERATIVOS,0
3011100,OTROS INGRESOS,0
3011600,DEPRECIACIONES Y AMORTIZACIONES,0
3019999,GANANCIA (PERDIDA) DE ACTIVIDADES OPERATIVAS,-139200262.00
3021400,INGRESOS FINANCIEROS,0
3021500,COSTOS FINANCIEROS,-1572266148.00
3021800,RECPAM,941279652.00
3021900,OTROS RESULTADOS,-8908045090.00
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,-9678231848.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,0
3049999,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO,-9678231848.00
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,11536413.00
3099999,RESULTADO INTEGRAL TOTAL  DEL EJERCICIO / PERIODO,-9666695435.00
3241100,TOTAL CAMBIOS EN ACTIVOS Y PASIVOS OPERATIVOS,-762656287.00
3241200,TOTAL DE ACTIVIDADES DE INVERSION,-667395825.00
3241300,TOTAL DE ACTIVIDADES DE FINANCIACION,1428036412.00
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,-2015700.00
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,-53.79
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,-53.79
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR,4348515090.00
8000003,EBIT,-703318405.00
8000004,EBITDA,-703318405.00
8000005,CAPITAL DE TRABAJO,-4683052168.00
8000006,LIQUIDEZ,0.00
8000007,SOLVENCIA,-0.98
8000008,INMOVILIZACION DEL CAPITAL,0.90
8000009,RENTABILIDAD PATRIMONIO NETO,16.83
8000010,RENTABILIDAD DEL ACTIVO,-80.49
8000011,ENDEUDAMIENTO,-1.02
8000012,ENDEUDAMIENTO A CORTO PLAZO,-0.85
8000013,APALANCAMIENTO,-0.02
8000014,MARGEN NETO / VENTAS,69.44
8000015,DEUDA FINANCIERA / EBITDA,-6.65
8000016,EBITDA / COSTOS FINANCIEROS,0.45
8000017,ANALISIS DU-PONT,1.76
