Nro,Rubro,Monto
1122500,EFECTIVO Y EQUIVALENTES A EFECTIVO,18.20200
1122300,ACTIVOS FINANCIEROS CORRIENTES,150.00
1121999,CUENTAS POR COBRAR CORRIENTES,7.64200
1122400,OTROS ACTIVOS NO FINANCIEROS CORRIENTES,1.81100
1120100,INVENTARIOS CORRIENTES,28.94800
1139999,ACTIVO CORRIENTE,56.75300
1112400,ACTIVOS FINANCIEROS NO CORRIENTES,0
1111999,CUENTAS POR COBRAR NO CORRIENTES,0
1110100,PROPIEDADES PLANTAS Y EQUIPOS,241.66200
1112500,OTROS ACTIVOS NO FINANCIEROS NO CORRIENTES,11.04400
1110200,ACTIVOS INTANGIBLES,93.00
1119999,ACTIVO NO CORRIENTE,252.79900
1999999,TOTAL DEL ACTIVO,309.55200
2210999,CAPITAL,366.00
2210300,AJUSTE DE CAPITAL,120.12600
2210500,APORTES NO CAPITALIZADOS O CONTRIBUCIONES DE CAPITAL,0
2210900,OTROS CONCEPTOS DEL CAPITAL,22.11300
2211100,RESERVA LEGAL,11.15400
2211200,OTRAS RESERVAS,12.84000
2211999,GANANCIAS RESERVADAS,23.99400
2211300,INTERESES NO CONTROLANTES,0
2212999,RESULTADOS NO ASIGNADOS,31.61300
2213999,RESULTADOS INTEGRALES,0
2299999,TOTAL PATRIMONIO NETO,198.21200
2322200,PASIVOS FINANCIEROS CORRIENTES,0
2321999,CUENTAS POR PAGAR CORRIENTES,43.06700
2322100,PASIVOS POR IMPUESTOS CORRIENTES,5.52200
2322300,OTROS PASIVOS NO FINANCIEROS CORRIENTES,18.51500
2339999,PASIVO CORRIENTE,67.10400
2312300,PASIVOS FINANCIEROS NO CORRIENTES,0
2311999,CUENTAS POR PAGAR NO CORRIENTES,0
2312200,PASIVOS POR IMPUESTOS NO CORRIENTES,38.32700
2312400,OTROS PASIVOS NO FINANCIEROS NO CORRIENTES,5.90900
2319999,PASIVO NO CORRIENTE,44.23600
2399999,TOTAL DEL PASIVO,111.34000
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,309.55200
3000100,INGRESOS DE ACTIVIDADES ORDINARIAS,235.18100
3000200,COSTO DE VENTAS Y/O SERVICIOS,-129.00000
3009999,GANANCIA (PERDIDA) BRUTA,106.18100
3011301,HONORARIOS A DIRECTORES Y SINDICOS,-420.00
3011300,OTROS GASTOS DE ADMINISTRACION,-7.96200
3011200,GASTOS DE COMERCIALIZACION Y/O DISTRIBUCION,-39.67100
3011400,OTROS GASTOS OPERATIVOS,0
3011100,OTROS INGRESOS,-2.22700
3011600,DEPRECIACIONES Y AMORTIZACIONES,-17.26200
3019999,GANANCIA (PERDIDA) DE ACTIVIDADES OPERATIVAS,38.63900
3021400,INGRESOS FINANCIEROS,24.04500
3021500,COSTOS FINANCIEROS,-27.69100
3021800,RECPAM,24.66800
3021900,OTROS RESULTADOS,0
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,59.66100
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,-28.04800
3049999,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO,31.61300
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,0
3099999,RESULTADO INTEGRAL TOTAL  DEL EJERCICIO / PERIODO,31.61300
3241100,TOTAL CAMBIOS EN ACTIVOS Y PASIVOS OPERATIVOS,70.90400
3241200,TOTAL DE ACTIVIDADES DE INVERSION,-20.99600
3241300,TOTAL DE ACTIVIDADES DE FINANCIACION,-65.75400
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,-15.84600
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,86.37
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,86.37
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR,231.94043
8000003,EBIT,38.63900
8000004,EBITDA,55.90100
8000005,CAPITAL DE TRABAJO,-10.35100
8000006,LIQUIDEZ,0.85
8000007,SOLVENCIA,1.78
8000008,INMOVILIZACION DEL CAPITAL,0.82
8000009,RENTABILIDAD PATRIMONIO NETO,0.28
8000010,RENTABILIDAD DEL ACTIVO,0.19
8000011,ENDEUDAMIENTO,0.56
8000012,ENDEUDAMIENTO A CORTO PLAZO,0.34
8000013,APALANCAMIENTO,1.56
8000014,MARGEN NETO / VENTAS,0.13
8000015,DEUDA FINANCIERA / EBITDA,0
8000016,EBITDA / COSTOS FINANCIEROS,-2.02
8000017,ANALISIS DU-PONT,0.30
