Nro,Rubro,Monto
1122500,EFECTIVO Y EQUIVALENTES A EFECTIVO,1.568.775.643
1122300,ACTIVOS FINANCIEROS CORRIENTES,0
1121999,CUENTAS POR COBRAR CORRIENTES,104.399.028
1122400,OTROS ACTIVOS NO FINANCIEROS CORRIENTES,0
1120100,INVENTARIOS CORRIENTES,0
1139999,ACTIVO CORRIENTE,1.673.174.671
1112400,ACTIVOS FINANCIEROS NO CORRIENTES,0
1111999,CUENTAS POR COBRAR NO CORRIENTES,0
1110100,PROPIEDADES PLANTAS Y EQUIPOS,0
1112500,OTROS ACTIVOS NO FINANCIEROS NO CORRIENTES,0
1110200,ACTIVOS INTANGIBLES,0
1119999,ACTIVO NO CORRIENTE,0
1999999,TOTAL DEL ACTIVO,1.673.174.671
2210999,CAPITAL,858.800
2210300,AJUSTE DE CAPITAL,4.836.019.091
2210500,APORTES NO CAPITALIZADOS O CONTRIBUCIONES DE CAPITAL,0
2210900,OTROS CONCEPTOS DEL CAPITAL,0
2211100,RESERVA LEGAL,0
2211200,OTRAS RESERVAS,0
2211999,GANANCIAS RESERVADAS,0
2211300,INTERESES NO CONTROLANTES,0
2212999,RESULTADOS NO ASIGNADOS,(2.347.056.379)
2213999,RESULTADOS INTEGRALES,(1.376.925.899)
2299999,TOTAL PATRIMONIO NETO,1.112.895.613
2322200,PASIVOS FINANCIEROS CORRIENTES,0
2321999,CUENTAS POR PAGAR CORRIENTES,102.750.042
2322100,PASIVOS POR IMPUESTOS CORRIENTES,445.891.195
2322300,OTROS PASIVOS NO FINANCIEROS CORRIENTES,11.637.821
2339999,PASIVO CORRIENTE,560.279.058
2312300,PASIVOS FINANCIEROS NO CORRIENTES,0
2311999,CUENTAS POR PAGAR NO CORRIENTES,0
2312200,PASIVOS POR IMPUESTOS NO CORRIENTES,0
2312400,OTROS PASIVOS NO FINANCIEROS NO CORRIENTES,0
2319999,PASIVO NO CORRIENTE,0
2399999,TOTAL DEL PASIVO,560.279.058
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,1.673.174.671
3000100,INGRESOS DE ACTIVIDADES ORDINARIAS,0
3000200,COSTO DE VENTAS Y/O SERVICIOS,0
3009999,GANANCIA (PERDIDA) BRUTA,0
3011301,HONORARIOS A DIRECTORES Y SINDICOS,0
3011300,OTROS GASTOS DE ADMINISTRACION,(246.678.956)
3011200,GASTOS DE COMERCIALIZACION Y/O DISTRIBUCION,0
3011400,OTROS GASTOS OPERATIVOS,0
3011100,OTROS INGRESOS,(627.560.350)
3011600,DEPRECIACIONES Y AMORTIZACIONES,0
3019999,GANANCIA (PERDIDA) DE ACTIVIDADES OPERATIVAS,(874.239.306)
3021400,INGRESOS FINANCIEROS,5.606.589
3021500,COSTOS FINANCIEROS,(2.587.649)
3021800,RECPAM,0
3021900,OTROS RESULTADOS,0
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,(871.220.366)
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,(505.705.533)
3032000,GANANCIA (PERDIDA) DEL PERIODO / EJERCICIO OPERACIONES CONTINUADAS,(1.376.925.899)
3041000,GANANCIA (PERDIDA) DEL PERIODO / EJERCICIO OPERACIONES DISCONTINUADAS,0
3049999,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO,(1.376.925.899)
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,0
3099999,RESULTADO INTEGRAL TOTAL  DEL EJERCICIO / PERIODO,(1.376.925.899)
3241100,TOTAL CAMBIOS EN ACTIVOS Y PASIVOS OPERATIVOS,1.558.092.540
3241200,TOTAL DE ACTIVIDADES DE INVERSION,0
3241300,TOTAL DE ACTIVIDADES DE FINANCIACION,0
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,1.558.092.540
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,(160)
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,(160)
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR,0
8000003,EBIT,0
8000004,EBITDA,0
8000005,CAPITAL DE TRABAJO,1.112.895.613
8000006,LIQUIDEZ,2.99
8000007,SOLVENCIA,1.99
8000008,INMOVILIZACION DEL CAPITAL,0
8000009,RENTABILIDAD PATRIMONIO NETO,"(2,47)"
8000010,RENTABILIDAD DEL ACTIVO,"(0,82)"
8000011,ENDEUDAMIENTO,0.50
8000012,ENDEUDAMIENTO A CORTO PLAZO,0.50
8000013,APALANCAMIENTO,0
8000014,MARGEN NETO / VENTAS,0
8000015,DEUDA FINANCIERA / EBITDA,0
8000016,EBITDA / COSTOS FINANCIEROS,0
8000017,ANALISIS DU-PONT,0
8000027,PRUEBAACIDA,2.99
8000028,COBERTURA DE GASTOS FINANCIEROS,533.28
8000029,ROTACION DE ACTIVOS,0
