Nro,Rubro,Monto
1122500,EFECTIVO Y EQUIVALENTES A EFECTIVO,25.377.19500
1122300,ACTIVOS FINANCIEROS CORRIENTES,24.455.82300
1121999,CUENTAS POR COBRAR CORRIENTES,1.884.992.55100
1122400,OTROS ACTIVOS NO FINANCIEROS CORRIENTES,2.875.243.52500
1120100,INVENTARIOS CORRIENTES,1.086.125.01400
1139999,ACTIVO CORRIENTE,5.896.194.10800
1112400,ACTIVOS FINANCIEROS NO CORRIENTES,2.777.764.43400
1111999,CUENTAS POR COBRAR NO CORRIENTES,1.435.756.02100
1110100,PROPIEDADES PLANTAS Y EQUIPOS,3.637.539.62100
1112500,OTROS ACTIVOS NO FINANCIEROS NO CORRIENTES,8.563.555.51700
1110200,ACTIVOS INTANGIBLES,0
1119999,ACTIVO NO CORRIENTE,16.414.615.59300
1999999,TOTAL DEL ACTIVO,22.310.809.70100
2210999,CAPITAL,30.000.00000
2210300,AJUSTE DE CAPITAL,134.331.41700
2210500,APORTES NO CAPITALIZADOS O CONTRIBUCIONES DE CAPITAL,24.195.143.64700
2210900,OTROS CONCEPTOS DEL CAPITAL,0
2211100,RESERVA LEGAL,0
2211200,OTRAS RESERVAS,200.801.83600
2211999,GANANCIAS RESERVADAS,200.801.83600
2211300,INTERESES NO CONTROLANTES,0
2212999,RESULTADOS NO ASIGNADOS,-11.179.519.76900
2213999,RESULTADOS INTEGRALES,0
2299999,TOTAL PATRIMONIO NETO,13.380.757.13100
2322200,PASIVOS FINANCIEROS CORRIENTES,3.745.128.00000
2321999,CUENTAS POR PAGAR CORRIENTES,1.658.840.57000
2322100,PASIVOS POR IMPUESTOS CORRIENTES,1.900.83300
2322300,OTROS PASIVOS NO FINANCIEROS CORRIENTES,273.612.20400
2339999,PASIVO CORRIENTE,5.679.481.60700
2312300,PASIVOS FINANCIEROS NO CORRIENTES,0
2311999,CUENTAS POR PAGAR NO CORRIENTES,1.937.887.01200
2312200,PASIVOS POR IMPUESTOS NO CORRIENTES,1.312.674.95100
2312400,OTROS PASIVOS NO FINANCIEROS NO CORRIENTES,9.00000
2319999,PASIVO NO CORRIENTE,3.250.570.96300
2399999,TOTAL DEL PASIVO,8.930.052.57000
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,22.310.809.70100
3000100,INGRESOS DE ACTIVIDADES ORDINARIAS,1.083.642.67900
3000200,COSTO DE VENTAS Y/O SERVICIOS,-10.784.549.67500
3009999,GANANCIA (PERDIDA) BRUTA,-9.700.906.99600
3011301,HONORARIOS A DIRECTORES Y SINDICOS,0
3011300,OTROS GASTOS DE ADMINISTRACION,-2.199.141.99600
3011200,GASTOS DE COMERCIALIZACION Y/O DISTRIBUCION,-105.060.11500
3011400,OTROS GASTOS OPERATIVOS,193.316.46900
3011100,OTROS INGRESOS,-850.199.80000
3011600,DEPRECIACIONES Y AMORTIZACIONES,0
3019999,GANANCIA (PERDIDA) DE ACTIVIDADES OPERATIVAS,-12.661.992.43800
3021400,INGRESOS FINANCIEROS,537.719.13300
3021500,COSTOS FINANCIEROS,-11.988.532.50400
3021800,RECPAM,10.703.566.13900
3021900,OTROS RESULTADOS,0
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,-13.409.239.67000
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,2.217.588.45100
3049999,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO,-11.191.651.21900
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,-2.541.251.25000
3099999,RESULTADO INTEGRAL TOTAL  DEL EJERCICIO / PERIODO,-13.732.902.46900
3241100,TOTAL CAMBIOS EN ACTIVOS Y PASIVOS OPERATIVOS,-8.916.701.07700
3241200,TOTAL DE ACTIVIDADES DE INVERSION,449.704.36700
3241300,TOTAL DE ACTIVIDADES DE FINANCIACION,8.053.849.94400
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,-413.146.76600
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,-373.05500
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,-373.05500
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR,2.906.384.50300
8000003,EBIT,-12.661.992.43800
8000004,EBITDA,-12.308.581.00200
8000005,CAPITAL DE TRABAJO,216.712.50100
8000006,LIQUIDEZ,1.04
8000007,SOLVENCIA,1.50
8000008,INMOVILIZACION DEL CAPITAL,0.74
8000009,RENTABILIDAD PATRIMONIO NETO,-1.65
8000010,RENTABILIDAD DEL ACTIVO,-0.60
8000011,ENDEUDAMIENTO,0.67
8000012,ENDEUDAMIENTO A CORTO PLAZO,0.42
8000013,APALANCAMIENTO,1.67
8000014,MARGEN NETO / VENTAS,-12.67
8000015,DEUDA FINANCIERA / EBITDA,-0.30
8000016,EBITDA / COSTOS FINANCIEROS,1.03
8000017,ANALISIS DU-PONT,-1.00
