Nro,Rubro,Monto
1122500,EFECTIVO Y EQUIVALENTES A EFECTIVO,675979.00
1122300,ACTIVOS FINANCIEROS CORRIENTES,0
1121999,CUENTAS POR COBRAR CORRIENTES,5133655.00
1122400,OTROS ACTIVOS NO FINANCIEROS CORRIENTES,1173726.00
1120100,INVENTARIOS CORRIENTES,2396580.00
1139999,ACTIVO CORRIENTE,9379940.00
1112400,ACTIVOS FINANCIEROS NO CORRIENTES,0
1111999,CUENTAS POR COBRAR NO CORRIENTES,7119683.00
1110100,PROPIEDADES PLANTAS Y EQUIPOS,26469735.00
1112500,OTROS ACTIVOS NO FINANCIEROS NO CORRIENTES,29067.00
1110200,ACTIVOS INTANGIBLES,245.00
1119999,ACTIVO NO CORRIENTE,33618730.00
1999999,TOTAL DEL ACTIVO,42998670.00
2210999,CAPITAL,2138900.00
2210300,AJUSTE DE CAPITAL,11193.00
2210500,APORTES NO CAPITALIZADOS O CONTRIBUCIONES DE CAPITAL,0
2210900,OTROS CONCEPTOS DEL CAPITAL,0
2211100,RESERVA LEGAL,66579.00
2211200,OTRAS RESERVAS,6567445.00
2211999,GANANCIAS RESERVADAS,6634024.00
2211300,INTERESES NO CONTROLANTES,-141.00
2212999,RESULTADOS NO ASIGNADOS,-6168633.00
2213999,RESULTADOS INTEGRALES,4691987.00
2299999,TOTAL PATRIMONIO NETO,7307330.00
2322200,PASIVOS FINANCIEROS CORRIENTES,3111.00
2321999,CUENTAS POR PAGAR CORRIENTES,4330798.00
2322100,PASIVOS POR IMPUESTOS CORRIENTES,248601.00
2322300,OTROS PASIVOS NO FINANCIEROS CORRIENTES,254113.00
2339999,PASIVO CORRIENTE,4836623.00
2312300,PASIVOS FINANCIEROS NO CORRIENTES,10529345.00
2311999,CUENTAS POR PAGAR NO CORRIENTES,452699.00
2312200,PASIVOS POR IMPUESTOS NO CORRIENTES,19488139.00
2312400,OTROS PASIVOS NO FINANCIEROS NO CORRIENTES,384534.00
2319999,PASIVO NO CORRIENTE,30854717.00
2399999,TOTAL DEL PASIVO,35691340.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,42998670.00
3000100,INGRESOS DE ACTIVIDADES ORDINARIAS,594802.00
3000200,COSTO DE VENTAS Y/O SERVICIOS,-735548.00
3009999,GANANCIA (PERDIDA) BRUTA,-140746.00
3011301,HONORARIOS A DIRECTORES Y SINDICOS,-4232.00
3011300,OTROS GASTOS DE ADMINISTRACION,-173803.00
3011200,GASTOS DE COMERCIALIZACION Y/O DISTRIBUCION,-42196.00
3011400,OTROS GASTOS OPERATIVOS,0
3011100,OTROS INGRESOS,0
3011600,DEPRECIACIONES Y AMORTIZACIONES,-172370.00
3019999,GANANCIA (PERDIDA) DE ACTIVIDADES OPERATIVAS,-533347.00
3021400,INGRESOS FINANCIEROS,2069191.00
3021500,COSTOS FINANCIEROS,-583017.00
3021800,RECPAM,0
3021900,OTROS RESULTADOS,-421038.00
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,531789.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,-2620743.00
3049999,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO,-2088954.00
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,750417.00
3099999,RESULTADO INTEGRAL TOTAL  DEL EJERCICIO / PERIODO,-1338537.00
3241100,TOTAL CAMBIOS EN ACTIVOS Y PASIVOS OPERATIVOS,-227981.00
3241200,TOTAL DE ACTIVIDADES DE INVERSION,-3353.00
3241300,TOTAL DE ACTIVIDADES DE FINANCIACION,-1401.00
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,-232735.00
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,-0.98
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,-0.98
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR,8645867.00
8000003,EBIT,-533347.00
8000004,EBITDA,-360977.00
8000005,CAPITAL DE TRABAJO,4543317.00
8000006,LIQUIDEZ,1.94
8000007,SOLVENCIA,0.20
8000008,INMOVILIZACION DEL CAPITAL,0.78
8000009,RENTABILIDAD PATRIMONIO NETO,0.07
8000010,RENTABILIDAD DEL ACTIVO,0.01
8000011,ENDEUDAMIENTO,4.88
8000012,ENDEUDAMIENTO A CORTO PLAZO,0.66
8000013,APALANCAMIENTO,5.88
8000014,MARGEN NETO / VENTAS,-2.25
8000015,DEUDA FINANCIERA / EBITDA,-29.18
8000016,EBITDA / COSTOS FINANCIEROS,0.62
8000017,ANALISIS DU-PONT,0.07
