Nro,Rubro,Monto
1122500,EFECTIVO Y DEPOSITOS EN BANCOS,160736430.00
1122600,TITULOS DE DEUDA A VALOR RAZONABLE CON CAMBIOS EN RESULTADOS,142085961.00
1122700,PRESTAMOS Y OTRAS FINANCIACIONES,346843363.00
1122800,"OPERACIONES DE PASE, INSTRUMENTOS DERIVADOS Y OTROS TITULOS DE DEUDA",471203100.00
1122900,ACTIVO POR IMPUESTO A LAS GANACIAS DIFERIDO,0
1123100,INVERSIONES EN INSTRUMENTOS DE PATRIMONIO,1143552.00
1123200,ACTIVOS FINANCIEROS ENTREGADOS EN GARANTIA,23238677.00
1110100,PROPIEDAD PLANTA Y EQUIPO,84528277.00
1123300,"INVERSIONES EN SUBSIDIARIAS, ASOCIADAS Y NEGOCIOS CONJUNTOS",1145946.00
1110200,ACTIVOS INTANGIBLES,16478056.00
1122300,OTROS ACTIVOS FINANCIEROS,32675572.00
1122400,OTROS ACTIVOS NO FINANCIEROS,2637267.00
1999999,TOTAL DEL ACTIVO,1282716201.00
2210999,CAPITAL,1344619.00
2210300,AJUSTE DE CAPITAL,67403905.00
2210500,APORTES NO CAPITALIZADOS,0
2210900,OTROS CONCEPTOS DEL CAPITAL,0
2211100,RESERVA LEGAL,43061850.00
2211200,OTRAS RESERVAS,91269758.00
2211999,GANANCIAS RESERVADAS,134331608.00
2211300,INTERESES NO CONTROLANTES,0
2212999,RESULTADOS NO ASIGNADOS,19627233.00
2213999,RESULTADOS INTEGRALES,4074657.00
2299999,TOTAL PATRIMONIO NETO,226782022.00
2311000,DEPOSITOS,869042258.00
2311100,PASIVOS A VALOR DE REALIZACION CON CAMBIOS EN RESULTADOS,218960.00
2311200,"INSTRUMENTOS DERIVADOS, OPERACIONES DE PASE Y OTROS PASIVOS FINANCIEROS",70656478.00
2311300,PROVISIONES,8515933.00
2311400,FINANCIACIONES RECIBIDAS DEL BCRA Y OTRAS INSTITUCIONES FINANCIERAS,49884155.00
2311500,OBLIGACIONES NEGOCIABLES SUBORDINADAS,0
2311600,OBLIGACIONES NEGOCIABLES EMITIDAS,0
2322100,PASIVOS POR IMPUESTO A LAS GANANCIAS CORRIENTE,15668173.00
2312200,PASIVOS POR IMPUESTO A LAS GANANCIAS DIFERIDO,0
2322300,OTROS PASIVOS NO FINANCIEROS,41948222.00
2399999,TOTAL DEL PASIVO,1055934179.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,1282716201.00
3000100,INGRESOS POR INTERESES,122449130.00
3000200,EGRESOS POR INTERESES,-87167042.00
3000102,INGRESOS POR COMISIONES,6481973.00
3000201,EGRESOS POR COMISIONES,-3314519.00
3000101,CARGO POR INCOBRABILIDAD,-5919281.00
3000301,RESULTADO NETO POR MEDICI�N DE INSTRUMENTOS FINANCIEROS A VALOR RAZONABLE CON CAMBIOS EN RESULTADOS,27256513.00
3000302,DIFERENCIA DE COTIZACI�N DE ORO Y MONEDA EXTRANJERA,4742819.00
3000303,OTROS INGRESOS OPERATIVOS,10086998.00
3000304,RESULTADO POR BAJA DE ACTIVOS MEDIDOS A COSTO AMORTIZADO,-635265.00
3009999,INGRESO OPERATIVO NETO,73981326.00
3011301,HONORARIOS A DIRECTORES Y SINDICOS,0
3011300,OTROS GASTOS DE ADMINISTRACION,-9390285.00
3011400,BENEFICIOS AL PERSONAL,-14040272.00
3011500,OTROS GASTOS OPERATIVOS,-11658665.00
3011600,DEPRECIACIONES Y AMORTIZACIONES,-2715301.00
3011700,RESULTADOS POR ASOCIADAS Y NEGOCIOS CONJUNTOS,142473.00
3021800,RECPAM,-25731762.00
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,10587514.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,-4615119.00
3049999,GANANCIA (PERDIDA) DEL PERIODO / EJERCICIO,5972395.00
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,-1217939.00
3099999,RESULTADO INTEGRAL TOTAL DEL EJERCICIO / PERIODO,4754456.00
3241100,FLUJOS DE EFECTIVO PROCEDENTES DE (UTILIZADOS EN) ACTIVIDADES DE OPERACION,-15869900.00
3241200,FLUJOS DE EFECTIVO PROCEDENTES DE (UTILIZADOS EN) ACTIVIDADES DE INVERSION,-2388128.00
3241300,FLUJOS DE EFECTIVO PROCEDENTES DE (UTILIZADOS EN) ACTIVIDADES DE FINANCIACION,468940.00
3241400,EFECTO DE LAS VARIACIONES DEL TIPO DE CAMBIO,23681409.00
3241500,EFECTO DEL RESULTADO MONETARIO DE EFECTIVO Y SUS EQUIVALENTES,-32661529.00
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,-26769208.00
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,0
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,0
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR (MISMO PERIODO),211690364.00
8000003,EBIT,0
8000004,EBITDA,0
8000018,C1 - APALANCAMIENTO (EN VECES),0
8000019,R1 - RENDIMIENTO ANUAL DEL PATRIMONIO (RETURN ON EQUITY - ROE) (%),10.71
8000020,RG1 - RETORNO SOBRE ACTIVOS (RETURN ON ASSETS - ROA) (%),1.94
8000021,L8_II-LIQUIDEZ CON TITULOS CON COTIZ (%),0
