Nro,Rubro,Monto
1122500,EFECTIVO Y EQUIVALENTES A EFECTIVO,47903380.00
1122300,ACTIVOS FINANCIEROS CORRIENTES,0
1121999,CUENTAS POR COBRAR CORRIENTES,130070236.00
1122400,OTROS ACTIVOS NO FINANCIEROS CORRIENTES,50626250.00
1120100,INVENTARIOS CORRIENTES,300327038.00
1139999,ACTIVO CORRIENTE,528926904.00
1112400,ACTIVOS FINANCIEROS NO CORRIENTES,0
1111999,CUENTAS POR COBRAR NO CORRIENTES,0
1110100,PROPIEDADES PLANTAS Y EQUIPOS,143283164.00
1112500,OTROS ACTIVOS NO FINANCIEROS NO CORRIENTES,3366143.00
1110200,ACTIVOS INTANGIBLES,64175.00
1119999,ACTIVO NO CORRIENTE,146713482.00
1999999,TOTAL DEL ACTIVO,675640386.00
2210999,CAPITAL,42589465.00
2210300,AJUSTE DE CAPITAL,208718780.00
2210500,APORTES NO CAPITALIZADOS O CONTRIBUCIONES DE CAPITAL,0
2210900,OTROS CONCEPTOS DEL CAPITAL,0
2211100,RESERVA LEGAL,0
2211200,OTRAS RESERVAS,12831362.00
2211999,GANANCIAS RESERVADAS,12831362.00
2211300,INTERESES NO CONTROLANTES,14568044.00
2212999,RESULTADOS NO ASIGNADOS,-121443117.00
2213999,RESULTADOS INTEGRALES,-9570294.00
2299999,TOTAL PATRIMONIO NETO,147694240.00
2322200,PASIVOS FINANCIEROS CORRIENTES,152597412.00
2321999,CUENTAS POR PAGAR CORRIENTES,108296653.00
2322100,PASIVOS POR IMPUESTOS CORRIENTES,71851794.00
2322300,OTROS PASIVOS NO FINANCIEROS CORRIENTES,176681445.00
2339999,PASIVO CORRIENTE,509427304.00
2312300,PASIVOS FINANCIEROS NO CORRIENTES,2527374.00
2311999,CUENTAS POR PAGAR NO CORRIENTES,1928866.00
2312200,PASIVOS POR IMPUESTOS NO CORRIENTES,13273222.00
2312400,OTROS PASIVOS NO FINANCIEROS NO CORRIENTES,789380.00
2319999,PASIVO NO CORRIENTE,18518842.00
2399999,TOTAL DEL PASIVO,527946146.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,675640386.00
3000100,INGRESOS DE ACTIVIDADES ORDINARIAS,558625701.00
3000200,COSTO DE VENTAS Y/O SERVICIOS,-370216690.00
3009999,GANANCIA (PERDIDA) BRUTA,188409011.00
3011301,HONORARIOS A DIRECTORES Y SINDICOS,0
3011300,OTROS GASTOS DE ADMINISTRACION,-76147540.00
3011200,GASTOS DE COMERCIALIZACION Y/O DISTRIBUCION,-60508218.00
3011400,OTROS GASTOS OPERATIVOS,0
3011100,OTROS INGRESOS,11893463.00
3011600,DEPRECIACIONES Y AMORTIZACIONES,0
3019999,GANANCIA (PERDIDA) DE ACTIVIDADES OPERATIVAS,63646716.00
3021400,INGRESOS FINANCIEROS,0
3021500,COSTOS FINANCIEROS,-58620120.00
3021800,RECPAM,0
3021900,OTROS RESULTADOS,0
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,5026596.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,-19049666.00
3049999,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO,-14023070.00
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,4452776.00
3099999,RESULTADO INTEGRAL TOTAL  DEL EJERCICIO / PERIODO,-9570294.00
3241100,TOTAL CAMBIOS EN ACTIVOS Y PASIVOS OPERATIVOS,43579569.00
3241200,TOTAL DE ACTIVIDADES DE INVERSION,-1981999.00
3241300,TOTAL DE ACTIVIDADES DE FINANCIACION,-15143423.00
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,26454147.00
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,-0.22
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,-0.22
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR,0
8000003,EBIT,-0.33
8000004,EBITDA,-0.33
8000005,CAPITAL DE TRABAJO,19499600.00
8000006,LIQUIDEZ,1.04
8000007,SOLVENCIA,0.28
8000008,INMOVILIZACION DEL CAPITAL,0.22
8000009,RENTABILIDAD PATRIMONIO NETO,0.07
8000010,RENTABILIDAD DEL ACTIVO,0.01
8000011,ENDEUDAMIENTO,3.57
8000012,ENDEUDAMIENTO A CORTO PLAZO,3.45
8000013,APALANCAMIENTO,4.57
8000014,MARGEN NETO / VENTAS,-0.02
8000015,DEUDA FINANCIERA / EBITDA,-471131585.98
8000016,EBITDA / COSTOS FINANCIEROS,0.00
8000017,ANALISIS DU-PONT,0.03
