Nro,Rubro,Monto
1122500,EFECTIVO Y EQUIVALENTES A EFECTIVO,1539688210.00
1122300,ACTIVOS FINANCIEROS CORRIENTES,0
1121999,CUENTAS POR COBRAR CORRIENTES,2714255242.00
1122400,OTROS ACTIVOS NO FINANCIEROS CORRIENTES,2016567395.00
1120100,INVENTARIOS CORRIENTES,1696654040.00
1139999,ACTIVO CORRIENTE,7967164887.00
1112400,ACTIVOS FINANCIEROS NO CORRIENTES,42472586.00
1111999,CUENTAS POR COBRAR NO CORRIENTES,0
1110100,PROPIEDADES PLANTAS Y EQUIPOS,2921876764.00
1112500,OTROS ACTIVOS NO FINANCIEROS NO CORRIENTES,0
1110200,ACTIVOS INTANGIBLES,644072400.00
1119999,ACTIVO NO CORRIENTE,3608421750.00
1999999,TOTAL DEL ACTIVO,11575586637.00
2210999,CAPITAL,350000000.00
2210300,AJUSTE DE CAPITAL,1013235419.00
2210500,APORTES NO CAPITALIZADOS O CONTRIBUCIONES DE CAPITAL,0
2210900,OTROS CONCEPTOS DEL CAPITAL,0
2211100,RESERVA LEGAL,35328964.00
2211200,OTRAS RESERVAS,546144122.00
2211999,GANANCIAS RESERVADAS,581473086.00
2211300,INTERESES NO CONTROLANTES,16642782.00
2212999,RESULTADOS NO ASIGNADOS,688770520.00
2213999,RESULTADOS INTEGRALES,559762916.00
2299999,TOTAL PATRIMONIO NETO,3209884723.00
2322200,PASIVOS FINANCIEROS CORRIENTES,1429694728.00
2321999,CUENTAS POR PAGAR CORRIENTES,5048820606.00
2322100,PASIVOS POR IMPUESTOS CORRIENTES,351012709.00
2322300,OTROS PASIVOS NO FINANCIEROS CORRIENTES,635422051.00
2339999,PASIVO CORRIENTE,7464950094.00
2312300,PASIVOS FINANCIEROS NO CORRIENTES,22500000.00
2311999,CUENTAS POR PAGAR NO CORRIENTES,0
2312200,PASIVOS POR IMPUESTOS NO CORRIENTES,815443704.00
2312400,OTROS PASIVOS NO FINANCIEROS NO CORRIENTES,62808116.00
2319999,PASIVO NO CORRIENTE,900751820.00
2399999,TOTAL DEL PASIVO,8365701914.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,11575586637.00
3000100,INGRESOS DE ACTIVIDADES ORDINARIAS,3010407388.00
3000200,COSTO DE VENTAS Y/O SERVICIOS,-2165602698.00
3009999,GANANCIA (PERDIDA) BRUTA,844804690.00
3011301,HONORARIOS A DIRECTORES Y SINDICOS,-788281.50
3011300,OTROS GASTOS DE ADMINISTRACION,-171469027.50
3011200,GASTOS DE COMERCIALIZACION Y/O DISTRIBUCION,-28272903.00
3011400,OTROS GASTOS OPERATIVOS,-15227251.00
3011100,OTROS INGRESOS,7038603.00
3011600,DEPRECIACIONES Y AMORTIZACIONES,-10396967.00
3019999,GANANCIA (PERDIDA) DE ACTIVIDADES OPERATIVAS,625688863.00
3021400,INGRESOS FINANCIEROS,77498818.00
3021500,COSTOS FINANCIEROS,0
3021800,RECPAM,-329750783.00
3021900,OTROS RESULTADOS,13695589.00
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,387132487.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,-309733246.00
3049999,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO,77399241.00
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,303428253.00
3099999,RESULTADO INTEGRAL TOTAL  DEL EJERCICIO / PERIODO,380827494.00
3241100,TOTAL CAMBIOS EN ACTIVOS Y PASIVOS OPERATIVOS,357364338.00
3241200,TOTAL DE ACTIVIDADES DE INVERSION,-19730828.00
3241300,TOTAL DE ACTIVIDADES DE FINANCIACION,-340827774.00
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,-3194264.00
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,2252.00
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,2252.00
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR,2514905117.00
8000003,EBIT,625688863.00
8000004,EBITDA,636085830.00
8000005,CAPITAL DE TRABAJO,502214793.00
8000006,LIQUIDEZ,1.07
8000007,SOLVENCIA,0.38
8000008,INMOVILIZACION DEL CAPITAL,0.31
8000009,RENTABILIDAD PATRIMONIO NETO,0.14
8000010,RENTABILIDAD DEL ACTIVO,0.03
8000011,ENDEUDAMIENTO,2.61
8000012,ENDEUDAMIENTO A CORTO PLAZO,2.33
8000013,APALANCAMIENTO,3.61
8000014,MARGEN NETO / VENTAS,0.13
8000015,DEUDA FINANCIERA / EBITDA,2.28
8000016,EBITDA / COSTOS FINANCIEROS,0
8000017,ANALISIS DU-PONT,0.12
