Moneda,ActivoInversiones,ActivoExistencias,PasivoDeudasComerciales,PasivoOtrasDeudas,ActivoCreditosComerciales,PasivoPrestamosBancarios
Euro (U.E.),26307464807,7288654734,23523359190.00,13092973380,39432723013,0
Boliviano (Bolivia),2632085604,0,2429273037,147543550,1075934237,0
Dólar (E.U.A.),945587330,8386101622.00,73613346804,1738528800,32853330629,23752928127
Dólar (Australia),799654426,0,12599241,18111984,0,0
Libra (Egipto),42128307,0,3787193,106099603,331118740,0
Riyal (Arabia Saudita),17533054,0,62230040,17566550,42177842,0
Real (Brasil),9567861,0,16353096095,0,16687704750,0
Otras monedas (los demás países),4189760,0,287924707,2552348825,1415026,0
Rupia (India),1742218,0,8314687,4332925,423479,0
Dinar (argelia),70402904,0,3709456966,155877174,66234746,0
