Nro,Rubro,Monto
1122500,EFECTIVO Y EQUIVALENTES A EFECTIVO,2153.00
1122300,ACTIVOS FINANCIEROS CORRIENTES,3499.00
1121999,CUENTAS POR COBRAR CORRIENTES,9302.00
1122400,OTROS ACTIVOS NO FINANCIEROS CORRIENTES,278.00
1120100,INVENTARIOS CORRIENTES,76.00
1139999,ACTIVO CORRIENTE,15308.00
1112400,ACTIVOS FINANCIEROS NO CORRIENTES,1554.00
1111999,CUENTAS POR COBRAR NO CORRIENTES,3339.00
1110100,PROPIEDADES PLANTAS Y EQUIPOS,4521.00
1112500,OTROS ACTIVOS NO FINANCIEROS NO CORRIENTES,209902.00
1110200,ACTIVOS INTANGIBLES,2480.00
1119999,ACTIVO NO CORRIENTE,221796.00
1999999,TOTAL DEL ACTIVO,237104.00
2210999,CAPITAL,657.00
2210300,AJUSTE DE CAPITAL,22596.00
2210500,APORTES NO CAPITALIZADOS O CONTRIBUCIONES DE CAPITAL,0
2210900,OTROS CONCEPTOS DEL CAPITAL,28457.00
2211100,RESERVA LEGAL,1752.00
2211200,OTRAS RESERVAS,43475.00
2211999,GANANCIAS RESERVADAS,45227.00
2211300,INTERESES NO CONTROLANTES,22423.00
2212999,RESULTADOS NO ASIGNADOS,-31747.00
2213999,RESULTADOS INTEGRALES,1611.00
2299999,TOTAL PATRIMONIO NETO,89224.00
2322200,PASIVOS FINANCIEROS CORRIENTES,14011.00
2321999,CUENTAS POR PAGAR CORRIENTES,5752.00
2322100,PASIVOS POR IMPUESTOS CORRIENTES,941.00
2322300,OTROS PASIVOS NO FINANCIEROS CORRIENTES,547.00
2339999,PASIVO CORRIENTE,21251.00
2312300,PASIVOS FINANCIEROS NO CORRIENTES,52060.00
2311999,CUENTAS POR PAGAR NO CORRIENTES,1702.00
2312200,PASIVOS POR IMPUESTOS NO CORRIENTES,72678.00
2312400,OTROS PASIVOS NO FINANCIEROS NO CORRIENTES,189.00
2319999,PASIVO NO CORRIENTE,126629.00
2399999,TOTAL DEL PASIVO,147880.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,237104.00
3000100,INGRESOS DE ACTIVIDADES ORDINARIAS,4382.00
3000200,COSTO DE VENTAS Y/O SERVICIOS,-1754.00
3009999,GANANCIA (PERDIDA) BRUTA,2628.00
3011301,HONORARIOS A DIRECTORES Y SINDICOS,-142.00
3011300,OTROS GASTOS DE ADMINISTRACION,-446.00
3011200,GASTOS DE COMERCIALIZACION Y/O DISTRIBUCION,-338.00
3011400,OTROS GASTOS OPERATIVOS,-6242.00
3011100,OTROS INGRESOS,0
3011600,DEPRECIACIONES Y AMORTIZACIONES,-149.00
3019999,GANANCIA (PERDIDA) DE ACTIVIDADES OPERATIVAS,-4689.00
3021400,INGRESOS FINANCIEROS,62.00
3021500,COSTOS FINANCIEROS,-2004.00
3021800,RECPAM,340.00
3021900,OTROS RESULTADOS,2811.00
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,-3480.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,2466.00
3049999,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO,-1014.00
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,-164.00
3099999,RESULTADO INTEGRAL TOTAL  DEL EJERCICIO / PERIODO,-1178.00
3241100,TOTAL CAMBIOS EN ACTIVOS Y PASIVOS OPERATIVOS,1653.00
3241200,TOTAL DE ACTIVIDADES DE INVERSION,0
3241300,TOTAL DE ACTIVIDADES DE FINANCIACION,400.00
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,2053.00
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,-0.91
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,-0.91
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR,90403.00
8000003,EBIT,-4689.00
8000004,EBITDA,-4540.00
8000005,CAPITAL DE TRABAJO,-5943.00
8000006,LIQUIDEZ,0.72
8000007,SOLVENCIA,0.60
8000008,INMOVILIZACION DEL CAPITAL,0.94
8000009,RENTABILIDAD PATRIMONIO NETO,-0.04
8000010,RENTABILIDAD DEL ACTIVO,-0.01
8000011,ENDEUDAMIENTO,1.66
8000012,ENDEUDAMIENTO A CORTO PLAZO,0.24
8000013,APALANCAMIENTO,2.66
8000014,MARGEN NETO / VENTAS,-0.27
8000015,DEUDA FINANCIERA / EBITDA,-14.55
8000016,EBITDA / COSTOS FINANCIEROS,2.27
8000017,ANALISIS DU-PONT,-0.04
