Nro,Rubro,Monto
1122500,EFECTIVO Y EQUIVALENTES A EFECTIVO,4.60200
1122300,ACTIVOS FINANCIEROS CORRIENTES,424.82600
1121999,CUENTAS POR COBRAR CORRIENTES,0
1122400,OTROS ACTIVOS NO FINANCIEROS CORRIENTES,2.73200
1120100,INVENTARIOS CORRIENTES,0
1139999,ACTIVO CORRIENTE,432.16000
1112400,ACTIVOS FINANCIEROS NO CORRIENTES,1.00
1111999,CUENTAS POR COBRAR NO CORRIENTES,0
1110100,PROPIEDADES PLANTAS Y EQUIPOS,0
1112500,OTROS ACTIVOS NO FINANCIEROS NO CORRIENTES,16.089.16200
1110200,ACTIVOS INTANGIBLES,0
1119999,ACTIVO NO CORRIENTE,16.089.16300
1999999,TOTAL DEL ACTIVO,16.521.32300
2210999,CAPITAL,30.88100
2210300,AJUSTE DE CAPITAL,1.466.97100
2210500,APORTES NO CAPITALIZADOS O CONTRIBUCIONES DE CAPITAL,0
2210900,OTROS CONCEPTOS DEL CAPITAL,0
2211100,RESERVA LEGAL,299.57000
2211200,OTRAS RESERVAS,10.435.11700
2211999,GANANCIAS RESERVADAS,10.734.68700
2211300,INTERESES NO CONTROLANTES,0
2212999,RESULTADOS NO ASIGNADOS,-2.044.41600
2213999,RESULTADOS INTEGRALES,1.098.91300
2299999,TOTAL PATRIMONIO NETO,11.287.03600
2322200,PASIVOS FINANCIEROS CORRIENTES,5.71300
2321999,CUENTAS POR PAGAR CORRIENTES,2.18400
2322100,PASIVOS POR IMPUESTOS CORRIENTES,0
2322300,OTROS PASIVOS NO FINANCIEROS CORRIENTES,13.00
2339999,PASIVO CORRIENTE,7.91000
2312300,PASIVOS FINANCIEROS NO CORRIENTES,5.226.37700
2311999,CUENTAS POR PAGAR NO CORRIENTES,0
2312200,PASIVOS POR IMPUESTOS NO CORRIENTES,0
2312400,OTROS PASIVOS NO FINANCIEROS NO CORRIENTES,0
2319999,PASIVO NO CORRIENTE,5.226.37700
2399999,TOTAL DEL PASIVO,5.234.28700
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,16.521.32300
3000100,INGRESOS DE ACTIVIDADES ORDINARIAS,-1.741.78000
3000200,COSTO DE VENTAS Y/O SERVICIOS,0
3009999,GANANCIA (PERDIDA) BRUTA,-1.741.78000
3011301,HONORARIOS A DIRECTORES Y SINDICOS,-2.38700
3011300,OTROS GASTOS DE ADMINISTRACION,-279.82200
3011200,GASTOS DE COMERCIALIZACION Y/O DISTRIBUCION,0
3011400,OTROS GASTOS OPERATIVOS,-6.38800
3011100,OTROS INGRESOS,0
3011600,DEPRECIACIONES Y AMORTIZACIONES,0
3019999,GANANCIA (PERDIDA) DE ACTIVIDADES OPERATIVAS,-2.030.37700
3021400,INGRESOS FINANCIEROS,968.31900
3021500,COSTOS FINANCIEROS,-41.58700
3021800,RECPAM,-308.68700
3021900,OTROS RESULTADOS,0
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,-1.412.33200
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,0
3049999,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO,-1.412.33200
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,-2.354.94300
3099999,RESULTADO INTEGRAL TOTAL  DEL EJERCICIO / PERIODO,-3.767.27500
3241100,TOTAL CAMBIOS EN ACTIVOS Y PASIVOS OPERATIVOS,-243.69500
3241200,TOTAL DE ACTIVIDADES DE INVERSION,1.245.64500
3241300,TOTAL DE ACTIVIDADES DE FINANCIACION,-1.001.02300
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,927.00
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,-45.73
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,-45.73
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR,15.054.31100
8000003,EBIT,0
8000004,EBITDA,0
8000005,CAPITAL DE TRABAJO,424.25000
8000006,LIQUIDEZ,54.63
8000007,SOLVENCIA,2.16
8000008,INMOVILIZACION DEL CAPITAL,0.97
8000009,RENTABILIDAD PATRIMONIO NETO,-0.11
8000010,RENTABILIDAD DEL ACTIVO,-0.09
8000011,ENDEUDAMIENTO,0.46
8000012,ENDEUDAMIENTO A CORTO PLAZO,0.00
8000013,APALANCAMIENTO,1.46
8000014,MARGEN NETO / VENTAS,2.16
8000015,DEUDA FINANCIERA / EBITDA,0
8000016,EBITDA / COSTOS FINANCIEROS,0
8000017,ANALISIS DU-PONT,-0.13
