Nro,Rubro,Monto
1122500,EFECTIVO Y EQUIVALENTES A EFECTIVO,8916713.08
1122300,ACTIVOS FINANCIEROS CORRIENTES,5295087.58
1121999,CUENTAS POR COBRAR CORRIENTES,20263565.90
1122400,OTROS ACTIVOS NO FINANCIEROS CORRIENTES,34316106.40
1120100,INVENTARIOS CORRIENTES,9530603.02
1139999,ACTIVO CORRIENTE,78322075.98
1112400,ACTIVOS FINANCIEROS NO CORRIENTES,2534061.10
1111999,CUENTAS POR COBRAR NO CORRIENTES,0
1110100,PROPIEDADES PLANTAS Y EQUIPOS,270784033.62
1112500,OTROS ACTIVOS NO FINANCIEROS NO CORRIENTES,15837935.07
1110200,ACTIVOS INTANGIBLES,303143.21
1119999,ACTIVO NO CORRIENTE,289459173.01
1999999,TOTAL DEL ACTIVO,367781248.99
2210999,CAPITAL,707800.90
2210300,AJUSTE DE CAPITAL,105913724.16
2210500,APORTES NO CAPITALIZADOS O CONTRIBUCIONES DE CAPITAL,0
2210900,OTROS CONCEPTOS DEL CAPITAL,97551005.00
2211100,RESERVA LEGAL,695624.54
2211200,OTRAS RESERVAS,13671105.73
2211999,GANANCIAS RESERVADAS,14366730.27
2211300,INTERESES NO CONTROLANTES,51299.48
2212999,RESULTADOS NO ASIGNADOS,-61298835.47
2213999,RESULTADOS INTEGRALES,64361422.02
2299999,TOTAL PATRIMONIO NETO,221653146.35
2322200,PASIVOS FINANCIEROS CORRIENTES,24929147.82
2321999,CUENTAS POR PAGAR CORRIENTES,30650541.14
2322100,PASIVOS POR IMPUESTOS CORRIENTES,3201723.67
2322300,OTROS PASIVOS NO FINANCIEROS CORRIENTES,648305.33
2339999,PASIVO CORRIENTE,59429717.96
2312300,PASIVOS FINANCIEROS NO CORRIENTES,1426764.90
2311999,CUENTAS POR PAGAR NO CORRIENTES,0
2312200,PASIVOS POR IMPUESTOS NO CORRIENTES,85254716.84
2312400,OTROS PASIVOS NO FINANCIEROS NO CORRIENTES,16902.94
2319999,PASIVO NO CORRIENTE,86698384.68
2399999,TOTAL DEL PASIVO,146128102.64
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,367781248.99
3000100,INGRESOS DE ACTIVIDADES ORDINARIAS,78056665.47
3000200,COSTO DE VENTAS Y/O SERVICIOS,-65561137.88
3009999,GANANCIA (PERDIDA) BRUTA,12495527.59
3011301,HONORARIOS A DIRECTORES Y SINDICOS,-268.39
3011300,OTROS GASTOS DE ADMINISTRACION,-3278451.16
3011200,GASTOS DE COMERCIALIZACION Y/O DISTRIBUCION,-4579588.58
3011400,OTROS GASTOS OPERATIVOS,0
3011100,OTROS INGRESOS,346655.29
3011600,DEPRECIACIONES Y AMORTIZACIONES,-2390747.88
3019999,GANANCIA (PERDIDA) DE ACTIVIDADES OPERATIVAS,2593126.87
3021400,INGRESOS FINANCIEROS,5274554.53
3021500,COSTOS FINANCIEROS,7162050.82
3021800,RECPAM,-16739915.54
3021900,OTROS RESULTADOS,0
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,-1710183.32
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,-2439170.33
3032000,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO OPERACIONES CONTINUADAS,-4149353.65
3041000,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO OPERACIONES DISCONTINUADAS,0
3049999,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO,-4149353.65
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,0
3099999,RESULTADO INTEGRAL TOTAL  DEL EJERCICIO / PERIODO,-4149353.65
3241100,TOTAL CAMBIOS EN ACTIVOS Y PASIVOS OPERATIVOS,-600219.88
3241200,TOTAL DE ACTIVIDADES DE INVERSION,-4674571.10
3241300,TOTAL DE ACTIVIDADES DE FINANCIACION,5873047.32
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,598256.34
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,-5.86
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,-5.86
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR,225802500.00
8000003,EBIT,2593126.87
8000004,EBITDA,4983874.75
8000005,CAPITAL DE TRABAJO,18892358.03
8000006,LIQUIDEZ,1.32
8000007,SOLVENCIA,1.52
8000008,INMOVILIZACION DEL CAPITAL,0.79
8000009,RENTABILIDAD PATRIMONIO NETO,-0.02
8000010,RENTABILIDAD DEL ACTIVO,-0.01
8000011,ENDEUDAMIENTO,0.66
8000012,ENDEUDAMIENTO A CORTO PLAZO,0.27
8000013,APALANCAMIENTO,1.66
8000014,MARGEN NETO / VENTAS,-0.05
8000015,DEUDA FINANCIERA / EBITDA,5.29
8000016,EBITDA / COSTOS FINANCIEROS,0.70
8000017,ANALISIS DU-PONT,-0.02
8000027,PRUEBA ACIDA,1.16
8000028,COBERTURA DE GASTOS FINANCIEROS,0.36
8000029,ROTACION DE ACTIVOS,0.21
