Nro,Rubro,Monto
1122500,EFECTIVO Y DEPOSITOS EN BANCOS,5.165.232
1122600,TITULOS DE DEUDA A VALOR RAZONABLE CON CAMBIOS EN RESULTADOS,0
1122700,PRESTAMOS Y OTRAS FINANCIACIONES,43.067.516
1122800,"OPERACIONES DE PASE, INSTRUMENTOS DERIVADOS Y OTROS TITULOS DE DEUDA",869.576
1122900,ACTIVO POR IMPUESTO A LAS GANACIAS DIFERIDO,1.392.275
1123100,INVERSIONES EN INSTRUMENTOS DE PATRIMONIO,0
1123200,ACTIVOS FINANCIEROS ENTREGADOS EN GARANTIA,0
1110100,PROPIEDAD PLANTA Y EQUIPO,21.240
1123300,"INVERSIONES EN SUBSIDIARIAS, ASOCIADAS Y NEGOCIOS CONJUNTOS",0
1110200,ACTIVOS INTANGIBLES,52.827
1122300,OTROS ACTIVOS FINANCIEROS,622.471
1122400,OTROS ACTIVOS NO FINANCIEROS,644.075
1999999,TOTAL DEL ACTIVO,51.835.212
2210999,CAPITAL,1.327.345
2210300,AJUSTE DE CAPITAL,5.242.444
2210500,APORTES NO CAPITALIZADOS,0
2210900,OTROS CONCEPTOS DEL CAPITAL,0
2211100,RESERVA LEGAL,724.755
2211200,OTRAS RESERVAS,93.035
2211999,GANANCIAS RESERVADAS,817.790
2211300,INTERESES NO CONTROLANTES,0
2212999,RESULTADOS NO ASIGNADOS,-1.021.596
2213999,RESULTADOS INTEGRALES,0
2299999,TOTAL PATRIMONIO NETO,6.365.983
2311000,DEPOSITOS,0
2311100,PASIVOS A VALOR DE REALIZACION CON CAMBIOS EN RESULTADOS,0
2311200,"INSTRUMENTOS DERIVADOS, OPERACIONES DE PASE Y OTROS PASIVOS FINANCIEROS",27.869.967
2311300,PROVISIONES,0
2311400,FINANCIACIONES RECIBIDAS DEL BCRA Y OTRAS INSTITUCIONES FINANCIERAS,4.772.222
2311500,OBLIGACIONES NEGOCIABLES SUBORDINADAS,1.486.165
2311600,OBLIGACIONES NEGOCIABLES EMITIDAS,9.747.021
2322100,PASIVOS POR IMPUESTO A LAS GANANCIAS CORRIENTE,0
2312200,PASIVOS POR IMPUESTO A LAS GANANCIAS DIFERIDO,0
2322300,OTROS PASIVOS NO FINANCIEROS,1.593.854
2399999,TOTAL DEL PASIVO,45.469.229
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,51.835.212
3000100,INGRESOS POR INTERESES,9.364.745
3000200,EGRESOS POR INTERESES,-7.037.100
3000102,INGRESOS POR COMISIONES,461.276
3000201,EGRESOS POR COMISIONES,-90.572
3000101,CARGO POR INCOBRABILIDAD,-182.109
3009999,INGRESO OPERATIVO NETO,2.516.240
3011301,HONORARIOS A DIRECTORES Y SINDICOS,0
3011300,OTROS GASTOS DE ADMINISTRACION,-1.627.674
3011600,DEPRECIACIONES Y AMORTIZACIONES,-33.049
3021800,RECPAM,-3.506.577
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,-2.651.060
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,494.316
3049999,GANANCIA (PERDIDA) DEL PERIODO / EJERCICIO,-2.156.744
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,1.135.148
3099999,RESULTADO INTEGRAL TOTAL DEL EJERCICIO / PERIODO,-1.021.596
3241100,FLUJOS DE EFECTIVO PROCEDENTES DE (UTILIZADOS EN) ACTIVIDADES DE OPERACION,-35.842.084
3241200,FLUJOS DE EFECTIVO PROCEDENTES DE (UTILIZADOS EN) ACTIVIDADES DE INVERSION,-36.896
3241300,FLUJOS DE EFECTIVO PROCEDENTES DE (UTILIZADOS EN) ACTIVIDADES DE FINANCIACION,37.934.887
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,2.055.907
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,0
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,0
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR (MISMO PERIODO),7.387.577
8000003,EBIT,0
8000004,EBITDA,0
8000005,CAPITAL DE TRABAJO,9.391.736
8000006,LIQUIDEZ,1.46
8000007,SOLVENCIA,0.14
8000008,INMOVILIZACION DEL CAPITAL,0
8000009,RENTABILIDAD PATRIMONIO NETO,5.19
8000010,RENTABILIDAD DEL ACTIVO,-0.05
8000011,ENDEUDAMIENTO,7.14
8000013,APALANCAMIENTO,8.14
8000014,MARGEN NETO / INGRESOS,5.37
8000015,DEUDA FINANCIERA / EBITDA,0
8000017,ANALISIS DUPONT,-0.42
