Nro,Rubro,Monto
1122500,EFECTIVO Y EQUIVALENTES A EFECTIVO,331634101.00
1122300,ACTIVOS FINANCIEROS CORRIENTES,798942.00
1121999,CUENTAS POR COBRAR CORRIENTES,636118674.00
1122400,OTROS ACTIVOS NO FINANCIEROS CORRIENTES,252638223.00
1120100,INVENTARIOS CORRIENTES,469870560.00
1139999,ACTIVO CORRIENTE,1691060500.00
1112400,ACTIVOS FINANCIEROS NO CORRIENTES,0
1111999,CUENTAS POR COBRAR NO CORRIENTES,0
1110100,PROPIEDADES PLANTAS Y EQUIPOS,378877446.00
1112500,OTROS ACTIVOS NO FINANCIEROS NO CORRIENTES,260224080.00
1110200,ACTIVOS INTANGIBLES,329692962.00
1119999,ACTIVO NO CORRIENTE,968794488.00
1999999,TOTAL DEL ACTIVO,2659854988.00
2210999,CAPITAL,412972615.00
2210300,AJUSTE DE CAPITAL,0
2210500,APORTES NO CAPITALIZADOS O CONTRIBUCIONES DE CAPITAL,0
2210900,OTROS CONCEPTOS DEL CAPITAL,811425822.00
2211100,RESERVA LEGAL,15811774.00
2211200,OTRAS RESERVAS,203460484.00
2211999,GANANCIAS RESERVADAS,219272258.00
2211300,INTERESES NO CONTROLANTES,0
2212999,RESULTADOS NO ASIGNADOS,-269855787.00
2213999,RESULTADOS INTEGRALES,-68410593.00
2299999,TOTAL PATRIMONIO NETO,1105404315.00
2322200,PASIVOS FINANCIEROS CORRIENTES,332678395.00
2321999,CUENTAS POR PAGAR CORRIENTES,803978988.00
2322100,PASIVOS POR IMPUESTOS CORRIENTES,9399379.00
2322300,OTROS PASIVOS NO FINANCIEROS CORRIENTES,40389334.00
2339999,PASIVO CORRIENTE,1186446096.00
2312300,PASIVOS FINANCIEROS NO CORRIENTES,78335172.00
2311999,CUENTAS POR PAGAR NO CORRIENTES,109492823.00
2312200,PASIVOS POR IMPUESTOS NO CORRIENTES,110769075.00
2312400,OTROS PASIVOS NO FINANCIEROS NO CORRIENTES,69407507.00
