Moneda,ActivoInversiones,ActivoExistencias,PasivoDeudasComerciales,PasivoOtrasDeudas,ActivoCreditosComerciales,PasivoPrestamosBancarios,TieneActivosMonedaExtranjera
Dólar (E.U.A.),1181263,0,21342018,10296425,1897761,3908823,0
Euro (U.E.),367,0,711619,0,398666,0,0
Peso (Colombia),205000,0,0,0,0,0,0
Peso (Uruguay),1020.00,0,0,0,0,0,0
N. Sol (Perú),17,0,0,0,0,0,0
Peso (Chile),61610,0,0,0,0,0,1
Peso (México),3339,0,0,0,0,0,1
Rupia (India),4700,0,0,0,0,0,0
Libra esterlina (Gran Bretaña),0,0,0,0,68908,0,1
Franco (Suiza),0,0,0,0,54755,0,0
