Moneda,ActivoInversiones,ActivoExistencias,PasivoDeudasComerciales,PasivoOtrasDeudas,ActivoCreditosComerciales,PasivoPrestamosBancarios
Dólar (E.U.A.),1781293,0,24956240,23278569,1388482,4968572
Euro (U.E.),64,0,535223,0,614795,0
Peso (Colombia),1477000,0,0,0,0,0
Peso (Uruguay),1020,0,0,0,0,0
Peso (México),5738,0,0,0,0,0
N. Sol (Perú),579,0,0,0,0,0
Rupia (India),7010,0,0,0,0,0
Real (Brasil),642,0,0,0,0,0
Libra esterlina (Gran Bretaña),0,0,3847,0,0,0
Peso (Chile),70610,0,0,0,0,0
Yuan continental (China),122,0,0,0,0,0
Baht (Tailandia),1500,0,0,0,0,0
