Nro,Rubro,Monto
1122500,EFECTIVO Y EQUIVALENTES A EFECTIVO,8110272.00
1122300,ACTIVOS FINANCIEROS CORRIENTES,2796729.00
1121999,CUENTAS POR COBRAR CORRIENTES,56549229.00
1122400,OTROS ACTIVOS NO FINANCIEROS CORRIENTES,0
1120100,INVENTARIOS CORRIENTES,99423016.00
1139999,ACTIVO CORRIENTE,166879246.00
1112400,ACTIVOS FINANCIEROS NO CORRIENTES,0
1111999,CUENTAS POR COBRAR NO CORRIENTES,45530776.00
1110100,PROPIEDADES PLANTAS Y EQUIPOS,56805413.00
1112500,OTROS ACTIVOS NO FINANCIEROS NO CORRIENTES,12677492.00
1110200,ACTIVOS INTANGIBLES,3362305.00
1119999,ACTIVO NO CORRIENTE,118375986.00
1999999,TOTAL DEL ACTIVO,285255232.00
2210999,CAPITAL,2913046.00
2210300,AJUSTE DE CAPITAL,0
2210500,APORTES NO CAPITALIZADOS O CONTRIBUCIONES DE CAPITAL,0
2210900,OTROS CONCEPTOS DEL CAPITAL,32786754.00
2211100,RESERVA LEGAL,0
2211200,OTRAS RESERVAS,9326401.00
2211999,GANANCIAS RESERVADAS,9326401.00
2211300,INTERESES NO CONTROLANTES,0
2212999,RESULTADOS NO ASIGNADOS,-65809710.00
2213999,RESULTADOS INTEGRALES,35143866.00
2299999,TOTAL PATRIMONIO NETO,14360357.00
2322200,PASIVOS FINANCIEROS CORRIENTES,49919908.00
2321999,CUENTAS POR PAGAR CORRIENTES,180493169.00
2322100,PASIVOS POR IMPUESTOS CORRIENTES,0
2322300,OTROS PASIVOS NO FINANCIEROS CORRIENTES,0
2339999,PASIVO CORRIENTE,230413077.00
2312300,PASIVOS FINANCIEROS NO CORRIENTES,30591296.00
2311999,CUENTAS POR PAGAR NO CORRIENTES,932783.00
2312200,PASIVOS POR IMPUESTOS NO CORRIENTES,7879584.00
2312400,OTROS PASIVOS NO FINANCIEROS NO CORRIENTES,1078135.00
2319999,PASIVO NO CORRIENTE,40481798.00
2399999,TOTAL DEL PASIVO,270894875.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,285255232.00
3000100,INGRESOS DE ACTIVIDADES ORDINARIAS,202258179.00
3000200,COSTO DE VENTAS Y/O SERVICIOS,-187853201.00
3009999,GANANCIA (PERDIDA) BRUTA,14404978.00
3011301,HONORARIOS A DIRECTORES Y SINDICOS,0
3011300,OTROS GASTOS DE ADMINISTRACION,-3937137.00
3011200,GASTOS DE COMERCIALIZACION Y/O DISTRIBUCION,-8438343.00
3011400,OTROS GASTOS OPERATIVOS,0
3011100,OTROS INGRESOS,14767.00
3011600,DEPRECIACIONES Y AMORTIZACIONES,-2612843.00
3019999,GANANCIA (PERDIDA) DE ACTIVIDADES OPERATIVAS,-568578.00
3021400,INGRESOS FINANCIEROS,5172429.00
3021500,COSTOS FINANCIEROS,-12976393.00
3021800,RECPAM,0
3021900,OTROS RESULTADOS,-3750787.00
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,-12123329.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,-4190473.00
3032000,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO OPERACIONES CONTINUADAS,-16313802.00
3041000,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO OPERACIONES DISCONTINUADAS,0
3049999,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO,-16313802.00
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,-2659521.00
3099999,RESULTADO INTEGRAL TOTAL  DEL EJERCICIO / PERIODO,-18973323.00
3241100,TOTAL CAMBIOS EN ACTIVOS Y PASIVOS OPERATIVOS,-7824378.00
3241200,TOTAL DE ACTIVIDADES DE INVERSION,-1772851.00
3241300,TOTAL DE ACTIVIDADES DE FINANCIACION,-6200595.00
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,-15797824.00
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,-0.36
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,-0.36
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR,1014680.00
8000003,EBIT,-568578.00
8000004,EBITDA,2044265.00
8000005,CAPITAL DE TRABAJO,-63533831.00
8000006,LIQUIDEZ,0.72
8000007,SOLVENCIA,0.05
8000008,INMOVILIZACION DEL CAPITAL,0.41
8000009,RENTABILIDAD PATRIMONIO NETO,-2.12
8000010,RENTABILIDAD DEL ACTIVO,-0.06
8000011,ENDEUDAMIENTO,18.86
8000012,ENDEUDAMIENTO A CORTO PLAZO,16.05
8000013,APALANCAMIENTO,19.86
8000014,MARGEN NETO / VENTAS,-0.09
8000015,DEUDA FINANCIERA / EBITDA,39.38
8000016,EBITDA / COSTOS FINANCIEROS,-0.16
8000017,ANALISIS DU-PONT,-1.14
8000027,PRUEBA ACIDA,0.29
8000028,COBERTURA DE GASTOS FINANCIEROS,0.04
8000029,ROTACION DE ACTIVOS,0.71
