Nro,Rubro,Monto
1122500,EFECTIVO Y EQUIVALENTES A EFECTIVO,554.00
1122300,ACTIVOS FINANCIEROS CORRIENTES,0
1121999,CUENTAS POR COBRAR CORRIENTES,908646.00
1122400,OTROS ACTIVOS NO FINANCIEROS CORRIENTES,1014120.00
1120100,INVENTARIOS CORRIENTES,0
1139999,ACTIVO CORRIENTE,1923320.00
1112400,ACTIVOS FINANCIEROS NO CORRIENTES,33660.00
1111999,CUENTAS POR COBRAR NO CORRIENTES,0
1110100,PROPIEDADES PLANTAS Y EQUIPOS,20998919.00
1112500,OTROS ACTIVOS NO FINANCIEROS NO CORRIENTES,1096333.00
1110200,ACTIVOS INTANGIBLES,0
1119999,ACTIVO NO CORRIENTE,22128912.00
1999999,TOTAL DEL ACTIVO,24052232.00
2210999,CAPITAL,1192.00
2210300,AJUSTE DE CAPITAL,0
2210500,APORTES NO CAPITALIZADOS O CONTRIBUCIONES DE CAPITAL,0
2210900,OTROS CONCEPTOS DEL CAPITAL,1525833.00
2211100,RESERVA LEGAL,0
2211200,OTRAS RESERVAS,0
2211999,GANANCIAS RESERVADAS,0
2211300,INTERESES NO CONTROLANTES,0
2212999,RESULTADOS NO ASIGNADOS,403362.00
2213999,RESULTADOS INTEGRALES,1018888.00
2299999,TOTAL PATRIMONIO NETO,2949275.00
2322200,PASIVOS FINANCIEROS CORRIENTES,106489.00
2321999,CUENTAS POR PAGAR CORRIENTES,1030886.00
2322100,PASIVOS POR IMPUESTOS CORRIENTES,776.00
2322300,OTROS PASIVOS NO FINANCIEROS CORRIENTES,0
2339999,PASIVO CORRIENTE,1138151.00
2312300,PASIVOS FINANCIEROS NO CORRIENTES,18818736.00
2311999,CUENTAS POR PAGAR NO CORRIENTES,0
2312200,PASIVOS POR IMPUESTOS NO CORRIENTES,1120986.00
2312400,OTROS PASIVOS NO FINANCIEROS NO CORRIENTES,25084.00
2319999,PASIVO NO CORRIENTE,19964806.00
2399999,TOTAL DEL PASIVO,21102957.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,24052232.00
3000100,INGRESOS DE ACTIVIDADES ORDINARIAS,2213799.00
3000200,COSTO DE VENTAS Y/O SERVICIOS,-589940.00
3009999,GANANCIA (PERDIDA) BRUTA,1623859.00
3011301,HONORARIOS A DIRECTORES Y SINDICOS,0
3011300,OTROS GASTOS DE ADMINISTRACION,-6664.00
3011200,GASTOS DE COMERCIALIZACION Y/O DISTRIBUCION,0
3011400,OTROS GASTOS OPERATIVOS,-26382.00
3011100,OTROS INGRESOS,0
3011600,DEPRECIACIONES Y AMORTIZACIONES,0
3019999,GANANCIA (PERDIDA) DE ACTIVIDADES OPERATIVAS,1590813.00
3021400,INGRESOS FINANCIEROS,271997.00
3021500,COSTOS FINANCIEROS,-524644.00
3021800,RECPAM,0
3021900,OTROS RESULTADOS,0
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,1338166.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,-601393.00
3049999,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO,736773.00
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,623167.00
3099999,RESULTADO INTEGRAL TOTAL  DEL EJERCICIO / PERIODO,1359940.00
3241100,TOTAL CAMBIOS EN ACTIVOS Y PASIVOS OPERATIVOS,708069.00
3241200,TOTAL DE ACTIVIDADES DE INVERSION,-2894688.00
3241300,TOTAL DE ACTIVIDADES DE FINANCIACION,2511313.00
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,324694.00
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,618.10
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,618.10
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR,1589335.00
8000003,EBIT,1549444.00
8000004,EBITDA,2026854.00
8000005,CAPITAL DE TRABAJO,785169.00
8000006,LIQUIDEZ,1.69
8000007,SOLVENCIA,0.14
8000008,INMOVILIZACION DEL CAPITAL,0.92
8000009,RENTABILIDAD PATRIMONIO NETO,0.59
8000010,RENTABILIDAD DEL ACTIVO,0.06
8000011,ENDEUDAMIENTO,7.16
8000012,ENDEUDAMIENTO A CORTO PLAZO,0.39
8000013,APALANCAMIENTO,8.16
8000014,MARGEN NETO / VENTAS,0.61
8000015,DEUDA FINANCIERA / EBITDA,9.34
8000016,EBITDA / COSTOS FINANCIEROS,-3.86
8000017,ANALISIS DU-PONT,0.45
