Nro,Rubro,Monto
1122500,EFECTIVO Y EQUIVALENTES A EFECTIVO,1310926.00
1122300,ACTIVOS FINANCIEROS CORRIENTES,628881.00
1121999,CUENTAS POR COBRAR CORRIENTES,5431381.00
1122400,OTROS ACTIVOS NO FINANCIEROS CORRIENTES,510094.00
1120100,INVENTARIOS CORRIENTES,13395299.00
1139999,ACTIVO CORRIENTE,21276581.00
1112400,ACTIVOS FINANCIEROS NO CORRIENTES,661978.00
1111999,CUENTAS POR COBRAR NO CORRIENTES,0
1110100,PROPIEDADES PLANTAS Y EQUIPOS,14310834.00
1112500,OTROS ACTIVOS NO FINANCIEROS NO CORRIENTES,1144569.00
1110200,ACTIVOS INTANGIBLES,46152.00
1119999,ACTIVO NO CORRIENTE,16163533.00
1999999,TOTAL DEL ACTIVO,37440114.00
2210999,CAPITAL,439714.00
2210300,AJUSTE DE CAPITAL,9947519.00
2210500,APORTES NO CAPITALIZADOS O CONTRIBUCIONES DE CAPITAL,0
2210900,OTROS CONCEPTOS DEL CAPITAL,0
2211100,RESERVA LEGAL,640021.00
2211200,OTRAS RESERVAS,200178.00
2211999,GANANCIAS RESERVADAS,840199.00
2211300,INTERESES NO CONTROLANTES,0
2212999,RESULTADOS NO ASIGNADOS,4679747.00
2213999,RESULTADOS INTEGRALES,156396.00
2299999,TOTAL PATRIMONIO NETO,16063575.00
2322200,PASIVOS FINANCIEROS CORRIENTES,5788100.00
2321999,CUENTAS POR PAGAR CORRIENTES,2858430.00
2322100,PASIVOS POR IMPUESTOS CORRIENTES,0
2322300,OTROS PASIVOS NO FINANCIEROS CORRIENTES,3895557.00
2339999,PASIVO CORRIENTE,12542087.00
2312300,PASIVOS FINANCIEROS NO CORRIENTES,6724589.00
2311999,CUENTAS POR PAGAR NO CORRIENTES,0
2312200,PASIVOS POR IMPUESTOS NO CORRIENTES,1947320.00
2312400,OTROS PASIVOS NO FINANCIEROS NO CORRIENTES,162543.00
2319999,PASIVO NO CORRIENTE,8834452.00
2399999,TOTAL DEL PASIVO,21376539.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,37440114.00
3000100,INGRESOS DE ACTIVIDADES ORDINARIAS,29803891.00
3000200,COSTO DE VENTAS Y/O SERVICIOS,-18818502.00
3009999,GANANCIA (PERDIDA) BRUTA,10985389.00
3011301,HONORARIOS A DIRECTORES Y SINDICOS,-194455.00
3011300,OTROS GASTOS DE ADMINISTRACION,-2376472.00
3011200,GASTOS DE COMERCIALIZACION Y/O DISTRIBUCION,-5510273.00
3011400,OTROS GASTOS OPERATIVOS,370297.00
3011100,OTROS INGRESOS,158757.00
3011600,DEPRECIACIONES Y AMORTIZACIONES,-136559.00
3019999,GANANCIA (PERDIDA) DE ACTIVIDADES OPERATIVAS,3296684.00
3021400,INGRESOS FINANCIEROS,3423110.00
3021500,COSTOS FINANCIEROS,-1944591.00
3021800,RECPAM,822771.00
3021900,OTROS RESULTADOS,758920.00
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,6356894.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,-1677147.00
3049999,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO,4679747.00
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,8386.00
3099999,RESULTADO INTEGRAL TOTAL  DEL EJERCICIO / PERIODO,4688133.00
3241100,TOTAL CAMBIOS EN ACTIVOS Y PASIVOS OPERATIVOS,274014.00
3241200,TOTAL DE ACTIVIDADES DE INVERSION,862801.00
3241300,TOTAL DE ACTIVIDADES DE FINANCIACION,-257236.00
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,879579.00
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,10.64
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,10.64
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR,11375442.00
8000003,EBIT,3296684.00
8000004,EBITDA,4605218.00
8000005,CAPITAL DE TRABAJO,8734494.00
8000006,LIQUIDEZ,1.70
8000007,SOLVENCIA,0.75
8000008,INMOVILIZACION DEL CAPITAL,0.43
8000009,RENTABILIDAD PATRIMONIO NETO,0.46
8000010,RENTABILIDAD DEL ACTIVO,0.17
8000011,ENDEUDAMIENTO,1.33
8000012,ENDEUDAMIENTO A CORTO PLAZO,0.78
8000013,APALANCAMIENTO,2.33
8000014,MARGEN NETO / VENTAS,0.16
8000015,DEUDA FINANCIERA / EBITDA,2.72
8000016,EBITDA / COSTOS FINANCIEROS,-2.37
8000017,ANALISIS DU-PONT,0.40
