Nro,Rubro,Monto
1122500,EFECTIVO Y EQUIVALENTES A EFECTIVO,18249892068.00
1122300,ACTIVOS FINANCIEROS CORRIENTES,57025500.00
1121999,CUENTAS POR COBRAR CORRIENTES,1622731667.00
1122400,OTROS ACTIVOS NO FINANCIEROS CORRIENTES,70364264247.00
1120100,INVENTARIOS CORRIENTES,14888871037.00
1139999,ACTIVO CORRIENTE,105182784519.00
1112400,ACTIVOS FINANCIEROS NO CORRIENTES,0
1111999,CUENTAS POR COBRAR NO CORRIENTES,0
1110100,PROPIEDADES PLANTAS Y EQUIPOS,47006790789.00
1112500,OTROS ACTIVOS NO FINANCIEROS NO CORRIENTES,64795654833.00
1110200,ACTIVOS INTANGIBLES,13122859.00
1119999,ACTIVO NO CORRIENTE,111815568481.00
1999999,TOTAL DEL ACTIVO,216998353000.00
2210999,CAPITAL,1120000.00
2210300,AJUSTE DE CAPITAL,96375285.00
2210500,APORTES NO CAPITALIZADOS O CONTRIBUCIONES DE CAPITAL,0
2210900,OTROS CONCEPTOS DEL CAPITAL,0
2211100,RESERVA LEGAL,19499061.00
2211200,OTRAS RESERVAS,42020077365.00
2211999,GANANCIAS RESERVADAS,42039576426.00
2211300,INTERESES NO CONTROLANTES,0
2212999,RESULTADOS NO ASIGNADOS,24553355114.00
2213999,RESULTADOS INTEGRALES,0
2299999,TOTAL PATRIMONIO NETO,66690426825.00
2322200,PASIVOS FINANCIEROS CORRIENTES,53637303534.00
2321999,CUENTAS POR PAGAR CORRIENTES,23287823090.00
2322100,PASIVOS POR IMPUESTOS CORRIENTES,0
2322300,OTROS PASIVOS NO FINANCIEROS CORRIENTES,3087224709.00
2339999,PASIVO CORRIENTE,80012351333.00
2312300,PASIVOS FINANCIEROS NO CORRIENTES,40002274937.00
2311999,CUENTAS POR PAGAR NO CORRIENTES,30293299905.00
2312200,PASIVOS POR IMPUESTOS NO CORRIENTES,0
2312400,OTROS PASIVOS NO FINANCIEROS NO CORRIENTES,0
2319999,PASIVO NO CORRIENTE,70295574842.00
2399999,TOTAL DEL PASIVO,150307926175.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,216998353000.00
3000100,INGRESOS DE ACTIVIDADES ORDINARIAS,6753693253.00
3000200,COSTO DE VENTAS Y/O SERVICIOS,0
3009999,GANANCIA (PERDIDA) BRUTA,6753693253.00
3011301,HONORARIOS A DIRECTORES Y SINDICOS,0
3011300,OTROS GASTOS DE ADMINISTRACION,-490123882.00
3011200,GASTOS DE COMERCIALIZACION Y/O DISTRIBUCION,0
3011400,OTROS GASTOS OPERATIVOS,49749773.00
3011100,OTROS INGRESOS,0
3011600,DEPRECIACIONES Y AMORTIZACIONES,0
3019999,GANANCIA (PERDIDA) DE ACTIVIDADES OPERATIVAS,6313319144.00
3021400,INGRESOS FINANCIEROS,3955973549.00
3021500,COSTOS FINANCIEROS,-5671434975.00
3021800,RECPAM,33746420873.00
3021900,OTROS RESULTADOS,-46843612.00
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,38297434979.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,-15215833179.00
3049999,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO,23081601800.00
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,0
3099999,RESULTADO INTEGRAL TOTAL  DEL EJERCICIO / PERIODO,23081601800.00
3241100,TOTAL CAMBIOS EN ACTIVOS Y PASIVOS OPERATIVOS,-1309025586.00
3241200,TOTAL DE ACTIVIDADES DE INVERSION,-11379162146.00
3241300,TOTAL DE ACTIVIDADES DE FINANCIACION,15441631577.00
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,2753443845.00
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,206086.00
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,206086.00
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR,28761562636.00
8000003,EBIT,6333823263.00
8000004,EBITDA,13793377014.00
8000005,CAPITAL DE TRABAJO,25170433186.00
8000006,LIQUIDEZ,1.31
8000007,SOLVENCIA,0.44
8000008,INMOVILIZACION DEL CAPITAL,0.52
8000009,RENTABILIDAD PATRIMONIO NETO,0.80
8000010,RENTABILIDAD DEL ACTIVO,0.18
8000011,ENDEUDAMIENTO,2.25
8000012,ENDEUDAMIENTO A CORTO PLAZO,1.20
8000013,APALANCAMIENTO,3.25
8000014,MARGEN NETO / VENTAS,3.42
8000015,DEUDA FINANCIERA / EBITDA,6.79
8000016,EBITDA / COSTOS FINANCIEROS,-2.43
8000017,ANALISIS DU-PONT,0.57
