Nro,Rubro,Monto
1122500,EFECTIVO Y EQUIVALENTES A EFECTIVO,113032237.00
1122300,ACTIVOS FINANCIEROS CORRIENTES,0
1121999,CUENTAS POR COBRAR CORRIENTES,65213226.00
1122400,OTROS ACTIVOS NO FINANCIEROS CORRIENTES,43931097.00
1120100,INVENTARIOS CORRIENTES,225045693.00
1139999,ACTIVO CORRIENTE,447222253.00
1112400,ACTIVOS FINANCIEROS NO CORRIENTES,8690219.00
1111999,CUENTAS POR COBRAR NO CORRIENTES,0
1110100,PROPIEDADES PLANTAS Y EQUIPOS,1262225065.00
1112500,OTROS ACTIVOS NO FINANCIEROS NO CORRIENTES,95521309.00
1110200,ACTIVOS INTANGIBLES,6332429.00
1119999,ACTIVO NO CORRIENTE,1372769022.00
1999999,TOTAL DEL ACTIVO,1819991275.00
2210999,CAPITAL,58348.00
2210300,AJUSTE DE CAPITAL,114336615.00
2210500,APORTES NO CAPITALIZADOS O CONTRIBUCIONES DE CAPITAL,0
2210900,OTROS CONCEPTOS DEL CAPITAL,208092084.00
2211100,RESERVA LEGAL,23370830.00
2211200,OTRAS RESERVAS,621753878.00
2211999,GANANCIAS RESERVADAS,645124708.00
2211300,INTERESES NO CONTROLANTES,0
2212999,RESULTADOS NO ASIGNADOS,16076455.00
2213999,RESULTADOS INTEGRALES,0
2299999,TOTAL PATRIMONIO NETO,983688210.00
2322200,PASIVOS FINANCIEROS CORRIENTES,227620052.00
2321999,CUENTAS POR PAGAR CORRIENTES,85552465.00
2322100,PASIVOS POR IMPUESTOS CORRIENTES,11453484.00
2322300,OTROS PASIVOS NO FINANCIEROS CORRIENTES,24185536.00
2339999,PASIVO CORRIENTE,348811537.00
2312300,PASIVOS FINANCIEROS NO CORRIENTES,155375972.00
2311999,CUENTAS POR PAGAR NO CORRIENTES,0
2312200,PASIVOS POR IMPUESTOS NO CORRIENTES,314811209.00
2312400,OTROS PASIVOS NO FINANCIEROS NO CORRIENTES,17304347.00
2319999,PASIVO NO CORRIENTE,487491528.00
2399999,TOTAL DEL PASIVO,836303065.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,1819991275.00
3000100,INGRESOS DE ACTIVIDADES ORDINARIAS,548196991.00
3000200,COSTO DE VENTAS Y/O SERVICIOS,-372313134.00
3009999,GANANCIA (PERDIDA) BRUTA,175883857.00
3011301,HONORARIOS A DIRECTORES Y SINDICOS,-4114081.00
3011300,OTROS GASTOS DE ADMINISTRACION,-43224360.00
3011200,GASTOS DE COMERCIALIZACION Y/O DISTRIBUCION,-8453906.00
3011400,OTROS GASTOS OPERATIVOS,-3472576.00
3011100,OTROS INGRESOS,0
3011600,DEPRECIACIONES Y AMORTIZACIONES,-58462896.00
3019999,GANANCIA (PERDIDA) DE ACTIVIDADES OPERATIVAS,58156038.00
3021400,INGRESOS FINANCIEROS,1794007.00
3021500,COSTOS FINANCIEROS,-34030795.00
3021800,RECPAM,62283252.00
3021900,OTROS RESULTADOS,-64535581.00
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,23666921.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,-7590466.00
3032000,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO OPERACIONES CONTINUADAS,16076455.00
3041000,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO OPERACIONES DISCONTINUADAS,0
3049999,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO,16076455.00
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,0
3099999,RESULTADO INTEGRAL TOTAL  DEL EJERCICIO / PERIODO,16076455.00
3241100,TOTAL CAMBIOS EN ACTIVOS Y PASIVOS OPERATIVOS,4326648.00
3241200,TOTAL DE ACTIVIDADES DE INVERSION,-87189671.00
3241300,TOTAL DE ACTIVIDADES DE FINANCIACION,133730524.00
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,50867501.00
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,27.55
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,27.55
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR,967611755.00
8000003,EBIT,64127972.46
8000004,EBITDA,122590868.93
8000005,CAPITAL DE TRABAJO,98410716.00
8000006,LIQUIDEZ,1.28
8000007,SOLVENCIA,1.18
8000008,INMOVILIZACION DEL CAPITAL,0.75
8000009,RENTABILIDAD PATRIMONIO NETO,0.02
8000010,RENTABILIDAD DEL ACTIVO,0.01
8000011,ENDEUDAMIENTO,0.85
8000012,ENDEUDAMIENTO A CORTO PLAZO,0.35
8000013,APALANCAMIENTO,1.85
8000014,MARGEN NETO / VENTAS,0.03
8000015,DEUDA FINANCIERA / EBITDA,3.12
8000016,EBITDA / COSTOS FINANCIEROS,-3.60
8000017,ANALISIS DU-PONT,0.02
8000027,PRUEBA ACIDA,0.64
8000028,COBERTURA DE GASTOS FINANCIEROS,-1.71
8000029,ROTACION DE ACTIVOS,0.30
