Nro,Rubro,Monto
1122500,CAJA Y BANCOS,236510876.00
1122300,INVERSIONES,0
1121999,CREDITOS POR VENTAS,406009476.00
1120100,BIENES DE CAMBIO,705187280.00
1122400,OTROS ACTIVOS CORRIENTES,0
1139999,ACTIVO CORRIENTE,1347707632.00
1112400,INVERSIONES DE LARGO PLAZO,7201326.00
1111999,CREDITOS DE LARGO PLAZO,1099134.00
1110100,BIENES DE USO,362717764.00
1110200,BIENES INTANGIBLES,30976948.00
1112500,OTROS ACTIVOS NO CORRIENTES,38951343.00
1119999,ACTIVO NO CORRIENTE,440946515.00
1999999,TOTAL DEL ACTIVO,1788654147.00
2322200,DEUDAS FINANCIERAS,47390103.00
2321999,DEUDAS COMERCIALES,286143442.00
2322100,DEUDAS IMPOSITIVAS/PREVISIONALES,152574257.00
2322300,OTRAS DEUDAS,4607289.00
2339999,PASIVO CORRIENTE,490715091.00
2312300,DEUDAS FINANCIERAS DE LARGO PLAZO,567267912.00
2311999,DEUDAS COMERCIALES DE LARGO PLAZO,0
2312200,DEUDAS IMPOSITIVAS/PREVISIONALES DE LARGO PLAZO,96354089.00
2312400,OTRAS DEUDAS DE LARGO PLAZO,15416178.00
2319999,PASIVO NO CORRIENTE,679038179.00
2399999,TOTAL DEL PASIVO,1169753270.00
2400000,PARTICIPACION DE TERCEROS EN SOCIEDADES CONTROLADAS,0
2210999,CAPITAL,153641513.00
2210300,AJUSTE DE CAPITAL,621728245.00
2210500,APORTES IRREVOCABLES,0
2210900,OTROS CONCEPTOS DEL CAPITAL,-2390936.00
2211100,RESERVA LEGAL,0
2211200,OTRAS RESERVAS,0
2211999,GANANCIAS RESERVADAS,0
2212999,RESULTADOS NO ASIGNADOS,-118816281.00
2213100,REVALUACIONES TECNICAS CONTABLES,0
2299999,TOTAL PATRIMONIO NETO,654162541.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,1823915811.00
3000100,VENTAS NETAS,392444388.00
3000200,COSTO DE VENTAS,-350290563.00
3009999,GANANCIA (PERDIDA) BRUTA,42153825.00
3011301,HONORARIOS A DIRECTORES Y SINDICOS,-3340479.00
3011600,DEPRECIACIONES Y AMORTIZACIONES,-732213.00
3011300,OTROS GASTOS DE ADMINISTRACION,-18552801.00
3011200,GASTOS DE COMERCIALIZACION Y/O DISTRIBUCION,-54610371.00
3011400,OTROS GASTOS OPERATIVOS,-333954.00
3049999,GANANCIA (PERDIDA) ORDINARIA,-35415993.00
3021501,RDOS FINANCIEROS GENERADOS POR ACTIVOS,36328884.00
3021502,RDOS FINANCIEROS GENERADOS POR PASIVOS,-66432538.00
3021800,RECPAM,15023441.00
3061202,PARTICIPACION DE TERCEROS EN SOCIEDADES CONTROLADAS,-3673498.00
3061900,RESULTADOS EXTRAORDINARIOS,0
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,-54169704.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,18908040.00
3099999,GANANCIA (PERDIDA) DEL EJERCICIO,-35261664.00
3241100,TOTAL CAMBIOS EN ACTIVOS Y PASIVOS OPERATIVOS,-72520967.00
3241200,TOTAL DE ACTIVIDADES DE INVERSION,-72000.00
3241300,TOTAL DE ACTIVIDADES DE FINANCIACION,26233333.00
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,-46359634.00
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,-0.23
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,0
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR (MISMO PERIODO),724068848.00
8000003,EBIT,0
8000004,EBITDA,0
8000005,CAPITAL DE TRABAJO,1838422723.00
8000006,LIQUIDEZ,2.75
8000007,SOLVENCIA,0.56
8000008,INMOVILIZACION DEL CAPITAL,0.25
8000009,RENTABILIDAD PATRIMONIO NETO,1.01
8000010,RENTABILIDAD DEL ACTIVO,-0.03
8000011,ENDEUDAMIENTO,1.79
8000012,ENDEUDAMIENTO A CORTO PLAZO,0.75
8000013,APALANCAMIENTO,2.73
8000014,MARGEN NETO / VENTAS,-0.09
8000015,DEUDA FINANCIERA / EBITDA,0
8000016,EBITDA / INTERESES PAGADOS NETOS,0
8000017,ANALISIS DUPONT,-0.08
