Nro,Rubro,Monto
1122500,EFECTIVO Y EQUIVALENTES A EFECTIVO,69814350.00
1122300,ACTIVOS FINANCIEROS CORRIENTES,148140.00
1121999,CUENTAS POR COBRAR CORRIENTES,1959341049.00
1122400,OTROS ACTIVOS NO FINANCIEROS CORRIENTES,0
1120100,INVENTARIOS CORRIENTES,0
1139999,ACTIVO CORRIENTE,2029303539.00
1112400,ACTIVOS FINANCIEROS NO CORRIENTES,0
1111999,CUENTAS POR COBRAR NO CORRIENTES,17250486.00
1110100,PROPIEDADES PLANTAS Y EQUIPOS,0
1112500,OTROS ACTIVOS NO FINANCIEROS NO CORRIENTES,0
1110200,ACTIVOS INTANGIBLES,1859655.00
1119999,ACTIVO NO CORRIENTE,19110141.00
1999999,TOTAL DEL ACTIVO,2048413680.00
2210999,CAPITAL,300
2210300,AJUSTE DE CAPITAL,7135.00
2210500,APORTES NO CAPITALIZADOS O CONTRIBUCIONES DE CAPITAL,0
2210900,OTROS CONCEPTOS DEL CAPITAL,0
2211100,RESERVA LEGAL,1487.00
2211200,OTRAS RESERVAS,1730202.00
2211999,GANANCIAS RESERVADAS,1731689.00
2211300,INTERESES NO CONTROLANTES,0
2212999,RESULTADOS NO ASIGNADOS,30085565.00
2213999,RESULTADOS INTEGRALES,5599419.00
2299999,TOTAL PATRIMONIO NETO,37424108.00
2322200,PASIVOS FINANCIEROS CORRIENTES,499.00
2321999,CUENTAS POR PAGAR CORRIENTES,1973298440.00
2322100,PASIVOS POR IMPUESTOS CORRIENTES,18145773.00
2322300,OTROS PASIVOS NO FINANCIEROS CORRIENTES,0
2339999,PASIVO CORRIENTE,1991444712.00
2312300,PASIVOS FINANCIEROS NO CORRIENTES,0
2311999,CUENTAS POR PAGAR NO CORRIENTES,17308383.00
2312200,PASIVOS POR IMPUESTOS NO CORRIENTES,2236477.00
2312400,OTROS PASIVOS NO FINANCIEROS NO CORRIENTES,0
2319999,PASIVO NO CORRIENTE,19544860.00
2399999,TOTAL DEL PASIVO,2010989572.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,2048413680.00
3000100,INGRESOS DE ACTIVIDADES ORDINARIAS,17737765.00
3000200,COSTO DE VENTAS Y/O SERVICIOS,-11992241.00
3009999,GANANCIA (PERDIDA) BRUTA,5745524.00
3011301,HONORARIOS A DIRECTORES Y SINDICOS,0
3011300,OTROS GASTOS DE ADMINISTRACION,-1220523.00
3011200,GASTOS DE COMERCIALIZACION Y/O DISTRIBUCION,-886888.00
3011400,OTROS GASTOS OPERATIVOS,0
3011100,OTROS INGRESOS,0
3011600,DEPRECIACIONES Y AMORTIZACIONES,-169037.00
3019999,GANANCIA (PERDIDA) DE ACTIVIDADES OPERATIVAS,3469076.00
3021400,INGRESOS FINANCIEROS,3607693.00
3021500,COSTOS FINANCIEROS,-109.00
3021800,RECPAM,-2763776.00
3021900,OTROS RESULTADOS,4956818.00
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,9269702.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,-3670283.00
3032000,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO OPERACIONES CONTINUADAS,5599419.00
3041000,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO OPERACIONES DISCONTINUADAS,0
3049999,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO,5599419.00
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,0
3099999,RESULTADO INTEGRAL TOTAL  DEL EJERCICIO / PERIODO,5599419.00
3241100,TOTAL CAMBIOS EN ACTIVOS Y PASIVOS OPERATIVOS,8.925.521
3241200,TOTAL DE ACTIVIDADES DE INVERSION,-599.083
3241300,TOTAL DE ACTIVIDADES DE FINANCIACION,-1.043
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,8325395.00
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,0
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,0
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR,31824689.00
8000003,EBIT,3469076.00
8000004,EBITDA,3649221.00
8000005,CAPITAL DE TRABAJO,37858827.00
8000006,LIQUIDEZ,1.02
8000007,SOLVENCIA,0.02
8000008,INMOVILIZACION DEL CAPITAL,0.01
8000009,RENTABILIDAD PATRIMONIO NETO,0.16
8000010,RENTABILIDAD DEL ACTIVO,0.00
8000011,ENDEUDAMIENTO,53.74
8000012,ENDEUDAMIENTO A CORTO PLAZO,53.21
8000013,APALANCAMIENTO,54.74
8000014,MARGEN NETO / VENTAS,0.32
8000015,DEUDA FINANCIERA / EBITDA,0.00
8000016,EBITDA / COSTOS FINANCIEROS,-33479.09
8000017,ANALISIS DU-PONT,0.15
8000027,PRUEBA ACIDA,1.02
8000028,COBERTURA DE GASTOS FINANCIEROS,-31826.39
8000029,ROTACION DE ACTIVOS,0.01
