Nro,Rubro,Monto
1122500,CAJA Y BANCOS,20334258.00
1122300,INVERSIONES,0
1121999,CREDITOS POR VENTAS,2266857777.00
1120100,BIENES DE CAMBIO,8792110869.00
1122400,OTROS ACTIVOS CORRIENTES,1598934735.00
1139999,ACTIVO CORRIENTE,12678237639.00
1112400,INVERSIONES DE LARGO PLAZO,0
1111999,CREDITOS DE LARGO PLAZO,2646116893.00
1110100,BIENES DE USO,594760879.00
1110200,BIENES INTANGIBLES,6647167095.00
1112500,OTROS ACTIVOS NO CORRIENTES,588460074.00
1119999,ACTIVO NO CORRIENTE,10476504941.00
1999999,TOTAL DEL ACTIVO,23154742580.00
2322200,DEUDAS FINANCIERAS,36221673003.00
2321999,DEUDAS COMERCIALES,4458745936.00
2322100,DEUDAS IMPOSITIVAS/PREVISIONALES,3460672820.00
2322300,OTRAS DEUDAS,0
2339999,PASIVO CORRIENTE,44141091759.00
2312300,DEUDAS FINANCIERAS DE LARGO PLAZO,0
2311999,DEUDAS COMERCIALES DE LARGO PLAZO,0
2312200,DEUDAS IMPOSITIVAS/PREVISIONALES DE LARGO PLAZO,0
2312400,OTRAS DEUDAS DE LARGO PLAZO,4050328923.00
2319999,PASIVO NO CORRIENTE,4050328923.00
2399999,TOTAL DEL PASIVO,48191420682.00
2400000,PARTICIPACION DE TERCEROS EN SOCIEDADES CONTROLADAS,0
2210999,CAPITAL,2804576028.00
2210300,AJUSTE DE CAPITAL,27980455208.00
2210500,APORTES IRREVOCABLES,1662274081.00
2210900,OTROS CONCEPTOS DEL CAPITAL,9775376955.00
2211100,RESERVA LEGAL,324541405.00
2211200,OTRAS RESERVAS,0
2211999,GANANCIAS RESERVADAS,324541405.00
2212999,RESULTADOS NO ASIGNADOS,-67583901779.00
2213100,REVALUACIONES TECNICAS CONTABLES,0
2299999,TOTAL PATRIMONIO NETO,-25036678102.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,23154742580.00
3000100,VENTAS NETAS,18391729595.00
3000200,COSTO DE VENTAS,-13692493048.00
3009999,GANANCIA (PERDIDA) BRUTA,4699236547.00
3011301,HONORARIOS A DIRECTORES Y SINDICOS,0
3011600,DEPRECIACIONES Y AMORTIZACIONES,0
3011300,OTROS GASTOS DE ADMINISTRACION,-416369622.00
3011200,GASTOS DE COMERCIALIZACION Y/O DISTRIBUCION,-1319615351.00
3011400,OTROS GASTOS OPERATIVOS,-24691576657.00
3049999,GANANCIA (PERDIDA) ORDINARIA,-21728325083.00
3021501,RDOS FINANCIEROS GENERADOS POR ACTIVOS,0
3021502,RDOS FINANCIEROS GENERADOS POR PASIVOS,0
3021800,RECPAM,5341789607.00
3061202,PARTICIPACION DE TERCEROS EN SOCIEDADES CONTROLADAS,0
3061900,RESULTADOS EXTRAORDINARIOS,0
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,-16386535476.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,3917735696.00
3099999,GANANCIA (PERDIDA) DEL EJERCICIO,-12468799780.00
3241100,TOTAL CAMBIOS EN ACTIVOS Y PASIVOS OPERATIVOS,6439614601.00
3241200,TOTAL DE ACTIVIDADES DE INVERSION,-3416160444.00
3241300,TOTAL DE ACTIVIDADES DE FINANCIACION,-3533904537.00
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,-510450380.00
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,0
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,0
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR (MISMO PERIODO),41384043923.00
8000003,EBIT,0
8000004,EBITDA,-1557639835.00
8000005,CAPITAL DE TRABAJO,-31462854120.00
8000006,LIQUIDEZ,0.29
8000007,SOLVENCIA,-0.52
8000008,INMOVILIZACION DEL CAPITAL,0.45
8000009,RENTABILIDAD PATRIMONIO NETO,-1.53
8000010,RENTABILIDAD DEL ACTIVO,-0.54
8000011,ENDEUDAMIENTO,-1.92
8000012,ENDEUDAMIENTO A CORTO PLAZO,-1.76
8000013,APALANCAMIENTO,-0.92
8000014,MARGEN NETO / VENTAS,-0.68
8000015,DEUDA FINANCIERA / EBITDA,-23.25
8000016,EBITDA / INTERESES PAGADOS NETOS,0
8000017,ANALISIS DUPONT,0.50
8000027,PRUEBA ACIDA,0.09
8000028,COBERTURA DE GASTOS FINANCIEROS,0
8000029,ROTACION DE ACTIVOS,0.79
