Nro,Rubro,Monto
1122500,EFECTIVO Y EQUIVALENTES A EFECTIVO,23782444.00
1122300,ACTIVOS FINANCIEROS CORRIENTES,0
1121999,CUENTAS POR COBRAR CORRIENTES,47435876.00
1122400,OTROS ACTIVOS NO FINANCIEROS CORRIENTES,18487760.00
1120100,INVENTARIOS CORRIENTES,277702789.00
1139999,ACTIVO CORRIENTE,367408869.00
1112400,ACTIVOS FINANCIEROS NO CORRIENTES,0
1111999,CUENTAS POR COBRAR NO CORRIENTES,0
1110100,PROPIEDADES PLANTAS Y EQUIPOS,1276065720.00
1112500,OTROS ACTIVOS NO FINANCIEROS NO CORRIENTES,31007086.00
1110200,ACTIVOS INTANGIBLES,217598726.00
1119999,ACTIVO NO CORRIENTE,1524671532.00
1999999,TOTAL DEL ACTIVO,1892080401.00
2210999,CAPITAL,719474.00
2210300,AJUSTE DE CAPITAL,0
2210500,APORTES NO CAPITALIZADOS O CONTRIBUCIONES DE CAPITAL,0
2210900,OTROS CONCEPTOS DEL CAPITAL,0
2211100,RESERVA LEGAL,0
2211200,OTRAS RESERVAS,9994328.00
2211999,GANANCIAS RESERVADAS,9994328.00
2211300,INTERESES NO CONTROLANTES,0
2212999,RESULTADOS NO ASIGNADOS,-179113067.00
2213999,RESULTADOS INTEGRALES,250812305.00
2299999,TOTAL PATRIMONIO NETO,82413040.00
2322200,PASIVOS FINANCIEROS CORRIENTES,1179591342.00
2321999,CUENTAS POR PAGAR CORRIENTES,55931145.00
2322100,PASIVOS POR IMPUESTOS CORRIENTES,2671008.00
2322300,OTROS PASIVOS NO FINANCIEROS CORRIENTES,11133090.00
2339999,PASIVO CORRIENTE,1249326585.00
2312300,PASIVOS FINANCIEROS NO CORRIENTES,495658429.00
2311999,CUENTAS POR PAGAR NO CORRIENTES,0
2312200,PASIVOS POR IMPUESTOS NO CORRIENTES,62670213.00
2312400,OTROS PASIVOS NO FINANCIEROS NO CORRIENTES,2012134.00
2319999,PASIVO NO CORRIENTE,560340776.00
2399999,TOTAL DEL PASIVO,1809667361.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,1892080401.00
3000100,INGRESOS DE ACTIVIDADES ORDINARIAS,61117500.00
3000200,COSTO DE VENTAS Y/O SERVICIOS,-56858452.00
3009999,GANANCIA (PERDIDA) BRUTA,4259048.00
3011301,HONORARIOS A DIRECTORES Y SINDICOS,0
3011300,OTROS GASTOS DE ADMINISTRACION,-3879234.00
3011200,GASTOS DE COMERCIALIZACION Y/O DISTRIBUCION,-4905396.00
3011400,OTROS GASTOS OPERATIVOS,0
3011100,OTROS INGRESOS,1313929.00
3011600,DEPRECIACIONES Y AMORTIZACIONES,0
3019999,GANANCIA (PERDIDA) DE ACTIVIDADES OPERATIVAS,-3211653.00
3021400,INGRESOS FINANCIEROS,0
3021500,COSTOS FINANCIEROS,-115174315.00
3021800,RECPAM,0
3021900,OTROS RESULTADOS,0
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,-118385968.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,26379433.00
3032000,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO OPERACIONES CONTINUADAS,-92006535.00
3041000,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO OPERACIONES DISCONTINUADAS,0
3049999,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO,-92006535.00
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,5205630.00
3099999,RESULTADO INTEGRAL TOTAL  DEL EJERCICIO / PERIODO,-86800905.00
3241100,TOTAL CAMBIOS EN ACTIVOS Y PASIVOS OPERATIVOS,-25301735.00
3241200,TOTAL DE ACTIVIDADES DE INVERSION,6938800.00
3241300,TOTAL DE ACTIVIDADES DE FINANCIACION,29637814.00
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,11274879.00
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,-120.64
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,-127.88
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR,169213945.00
8000003,EBIT,-3211653.00
8000004,EBITDA,-3211653.00
8000005,CAPITAL DE TRABAJO,-881917716.00
8000006,LIQUIDEZ,0.29
8000007,SOLVENCIA,0.05
8000008,INMOVILIZACION DEL CAPITAL,0.81
8000009,RENTABILIDAD PATRIMONIO NETO,-0.73
8000010,RENTABILIDAD DEL ACTIVO,-0.05
8000011,ENDEUDAMIENTO,21.96
8000012,ENDEUDAMIENTO A CORTO PLAZO,15.16
8000013,APALANCAMIENTO,22.96
8000014,MARGEN NETO / VENTAS,-1.42
8000015,DEUDA FINANCIERA / EBITDA,-521.62
8000016,EBITDA / COSTOS FINANCIEROS,0.03
8000017,ANALISIS DU-PONT,-1.12
8000027,PRUEBA ACIDA,0.07
8000028,COBERTURA DE GASTOS FINANCIEROS,0.03
8000029,ROTACION DE ACTIVOS,0.03
