Nro,Rubro,Monto
1122500,EFECTIVO Y EQUIVALENTES A EFECTIVO,34675.00
1122300,ACTIVOS FINANCIEROS CORRIENTES,14867.00
1121999,CUENTAS POR COBRAR CORRIENTES,125974.00
1122400,OTROS ACTIVOS NO FINANCIEROS CORRIENTES,1334.00
1120100,INVENTARIOS CORRIENTES,177091.00
1139999,ACTIVO CORRIENTE,353941.00
1112400,ACTIVOS FINANCIEROS NO CORRIENTES,53211.00
1111999,CUENTAS POR COBRAR NO CORRIENTES,0
1110100,PROPIEDADES PLANTAS Y EQUIPOS,208936.00
1112500,OTROS ACTIVOS NO FINANCIEROS NO CORRIENTES,524.00
1110200,ACTIVOS INTANGIBLES,33958.00
1119999,ACTIVO NO CORRIENTE,296629.00
1999999,TOTAL DEL ACTIVO,650570.00
2210999,CAPITAL,201.00
2210300,AJUSTE DE CAPITAL,165835.00
2210500,APORTES NO CAPITALIZADOS O CONTRIBUCIONES DE CAPITAL,0
2210900,OTROS CONCEPTOS DEL CAPITAL,32525.00
2211100,RESERVA LEGAL,16946.00
2211200,OTRAS RESERVAS,125984.00
2211999,GANANCIAS RESERVADAS,142930.00
2211300,INTERESES NO CONTROLANTES,0
2212999,RESULTADOS NO ASIGNADOS,48384.00
2213999,RESULTADOS INTEGRALES,-15896.00
2299999,TOTAL PATRIMONIO NETO,373979.00
2322200,PASIVOS FINANCIEROS CORRIENTES,108689.00
2321999,CUENTAS POR PAGAR CORRIENTES,44919.00
2322100,PASIVOS POR IMPUESTOS CORRIENTES,14817.00
2322300,OTROS PASIVOS NO FINANCIEROS CORRIENTES,20820.00
2339999,PASIVO CORRIENTE,189245.00
2312300,PASIVOS FINANCIEROS NO CORRIENTES,31541.00
2311999,CUENTAS POR PAGAR NO CORRIENTES,1747.00
2312200,PASIVOS POR IMPUESTOS NO CORRIENTES,50298.00
2312400,OTROS PASIVOS NO FINANCIEROS NO CORRIENTES,3760.00
2319999,PASIVO NO CORRIENTE,87346.00
2399999,TOTAL DEL PASIVO,276591.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,650570.00
3000100,INGRESOS DE ACTIVIDADES ORDINARIAS,675326.00
3000200,COSTO DE VENTAS Y/O SERVICIOS,-512890.00
3009999,GANANCIA (PERDIDA) BRUTA,162436.00
3011301,HONORARIOS A DIRECTORES Y SINDICOS,-431.00
3011300,OTROS GASTOS DE ADMINISTRACION,-38405.00
3011200,GASTOS DE COMERCIALIZACION Y/O DISTRIBUCION,-114922.00
3011400,OTROS GASTOS OPERATIVOS,-15341.00
3011100,OTROS INGRESOS,4963.00
3011600,DEPRECIACIONES Y AMORTIZACIONES,-5263.00
3019999,GANANCIA (PERDIDA) DE ACTIVIDADES OPERATIVAS,-6963.00
3021400,INGRESOS FINANCIEROS,37830.00
3021500,COSTOS FINANCIEROS,-36473.00
3021800,RECPAM,64132.00
3021900,OTROS RESULTADOS,0
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,58526.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,-10142.00
3049999,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO,48384.00
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,-7260.00
3099999,RESULTADO INTEGRAL TOTAL  DEL EJERCICIO / PERIODO,41124.00
3241100,TOTAL CAMBIOS EN ACTIVOS Y PASIVOS OPERATIVOS,-34183.00
3241200,TOTAL DE ACTIVIDADES DE INVERSION,59380.00
3241300,TOTAL DE ACTIVIDADES DE FINANCIACION,-2127.00
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,23070.00
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,240.22
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,240.22
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR,332855.00
8000003,EBIT,-6963.00
8000004,EBITDA,-1700.00
8000005,CAPITAL DE TRABAJO,164696.00
8000006,LIQUIDEZ,1.87
8000007,SOLVENCIA,1.35
8000008,INMOVILIZACION DEL CAPITAL,0.46
8000009,RENTABILIDAD PATRIMONIO NETO,0.17
8000010,RENTABILIDAD DEL ACTIVO,0.09
8000011,ENDEUDAMIENTO,0.74
8000012,ENDEUDAMIENTO A CORTO PLAZO,0.51
8000013,APALANCAMIENTO,1.74
8000014,MARGEN NETO / VENTAS,0.06
8000015,DEUDA FINANCIERA / EBITDA,-82.49
8000016,EBITDA / COSTOS FINANCIEROS,0.05
8000017,ANALISIS DU-PONT,0.16
