Nro,Rubro,Monto
1122500,EFECTIVO Y EQUIVALENTES A EFECTIVO,1792255.00
1122300,ACTIVOS FINANCIEROS CORRIENTES,490116.00
1121999,CUENTAS POR COBRAR CORRIENTES,7162345.00
1122400,OTROS ACTIVOS NO FINANCIEROS CORRIENTES,312103.00
1120100,INVENTARIOS CORRIENTES,0
1139999,ACTIVO CORRIENTE,9756819.00
1112400,ACTIVOS FINANCIEROS NO CORRIENTES,4219668.00
1111999,CUENTAS POR COBRAR NO CORRIENTES,0
1110100,PROPIEDADES PLANTAS Y EQUIPOS,89353252.00
1112500,OTROS ACTIVOS NO FINANCIEROS NO CORRIENTES,1676266.00
1110200,ACTIVOS INTANGIBLES,0
1119999,ACTIVO NO CORRIENTE,95249186.00
1999999,TOTAL DEL ACTIVO,105006005.00
2210999,CAPITAL,468160.00
2210300,AJUSTE DE CAPITAL,0
2210500,APORTES NO CAPITALIZADOS O CONTRIBUCIONES DE CAPITAL,0
2210900,OTROS CONCEPTOS DEL CAPITAL,-424764.00
2211100,RESERVA LEGAL,190783.00
2211200,OTRAS RESERVAS,3853078.00
2211999,GANANCIAS RESERVADAS,4043861.00
2211300,INTERESES NO CONTROLANTES,0
2212999,RESULTADOS NO ASIGNADOS,3893119.00
2213999,RESULTADOS INTEGRALES,979654.00
2299999,TOTAL PATRIMONIO NETO,8960030.00
2322200,PASIVOS FINANCIEROS CORRIENTES,9284311.00
2321999,CUENTAS POR PAGAR CORRIENTES,9227903.00
2322100,PASIVOS POR IMPUESTOS CORRIENTES,176250.00
2322300,OTROS PASIVOS NO FINANCIEROS CORRIENTES,95160.00
2339999,PASIVO CORRIENTE,18783624.00
2312300,PASIVOS FINANCIEROS NO CORRIENTES,73514779.00
2311999,CUENTAS POR PAGAR NO CORRIENTES,216384.00
2312200,PASIVOS POR IMPUESTOS NO CORRIENTES,3082530.00
2312400,OTROS PASIVOS NO FINANCIEROS NO CORRIENTES,448658.00
2319999,PASIVO NO CORRIENTE,77262351.00
2399999,TOTAL DEL PASIVO,96045975.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,105006005.00
3000100,INGRESOS DE ACTIVIDADES ORDINARIAS,9683307.00
3000200,COSTO DE VENTAS Y/O SERVICIOS,-1086805.00
3009999,GANANCIA (PERDIDA) BRUTA,8596502.00
3011301,HONORARIOS A DIRECTORES Y SINDICOS,0
3011300,OTROS GASTOS DE ADMINISTRACION,-231420.00
3011200,GASTOS DE COMERCIALIZACION Y/O DISTRIBUCION,-73302.00
3011400,OTROS GASTOS OPERATIVOS,0
3011100,OTROS INGRESOS,0
3011600,DEPRECIACIONES Y AMORTIZACIONES,-1197723.00
3019999,GANANCIA (PERDIDA) DE ACTIVIDADES OPERATIVAS,7094057.00
3021400,INGRESOS FINANCIEROS,1166884.00
3021500,COSTOS FINANCIEROS,-5071243.00
3021800,RECPAM,0
3021900,OTROS RESULTADOS,0
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,3189698.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,-1621027.00
3049999,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO,1568671.00
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,1045651.00
3099999,RESULTADO INTEGRAL TOTAL  DEL EJERCICIO / PERIODO,2614322.00
3241100,TOTAL CAMBIOS EN ACTIVOS Y PASIVOS OPERATIVOS,7318962.00
3241200,TOTAL DE ACTIVIDADES DE INVERSION,-4432644.00
3241300,TOTAL DE ACTIVIDADES DE FINANCIACION,-4072847.00
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,-1186529.00
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,0
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,0
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR,6345708.00
8000003,EBIT,0
8000004,EBITDA,0
8000005,CAPITAL DE TRABAJO,-9026805.00
8000006,LIQUIDEZ,0.52
8000007,SOLVENCIA,0.09
8000008,INMOVILIZACION DEL CAPITAL,0.91
8000009,RENTABILIDAD PATRIMONIO NETO,0
8000010,RENTABILIDAD DEL ACTIVO,0.02
8000011,ENDEUDAMIENTO,10.72
8000012,ENDEUDAMIENTO A CORTO PLAZO,2.1
8000013,APALANCAMIENTO,11.72
8000014,MARGEN NETO / VENTAS,0.27
8000015,DEUDA FINANCIERA / EBITDA,0
8000016,EBITDA / COSTOS FINANCIEROS,0
8000017,ANALISIS DU-PONT,0.36
