Nro,Rubro,Monto
1122500,EFECTIVO Y EQUIVALENTES A EFECTIVO,6465007.00
1122300,ACTIVOS FINANCIEROS CORRIENTES,5248449.00
1121999,CUENTAS POR COBRAR CORRIENTES,2815131.00
1122400,OTROS ACTIVOS NO FINANCIEROS CORRIENTES,4103723.00
1120100,INVENTARIOS CORRIENTES,143027.00
1139999,ACTIVO CORRIENTE,18775337.00
1112400,ACTIVOS FINANCIEROS NO CORRIENTES,30358539.00
1111999,CUENTAS POR COBRAR NO CORRIENTES,0
1110100,PROPIEDADES PLANTAS Y EQUIPOS,258158173.00
1112500,OTROS ACTIVOS NO FINANCIEROS NO CORRIENTES,29330684.00
1110200,ACTIVOS INTANGIBLES,0
1119999,ACTIVO NO CORRIENTE,317847396.00
1999999,TOTAL DEL ACTIVO,336622733.00
2210999,CAPITAL,33417711.00
2210300,AJUSTE DE CAPITAL,0
2210500,APORTES NO CAPITALIZADOS O CONTRIBUCIONES DE CAPITAL,0
2210900,OTROS CONCEPTOS DEL CAPITAL,0
2211100,RESERVA LEGAL,0
2211200,OTRAS RESERVAS,0
2211999,GANANCIAS RESERVADAS,0
2211300,INTERESES NO CONTROLANTES,0
2212999,RESULTADOS NO ASIGNADOS,-42783793.00
2213999,RESULTADOS INTEGRALES,23148604.00
2299999,TOTAL PATRIMONIO NETO,13782522.00
2322200,PASIVOS FINANCIEROS CORRIENTES,1134953.00
2321999,CUENTAS POR PAGAR CORRIENTES,7582382.00
2322100,PASIVOS POR IMPUESTOS CORRIENTES,32767.00
2322300,OTROS PASIVOS NO FINANCIEROS CORRIENTES,14220814.00
2339999,PASIVO CORRIENTE,22970916.00
2312300,PASIVOS FINANCIEROS NO CORRIENTES,172118354.00
2311999,CUENTAS POR PAGAR NO CORRIENTES,0
2312200,PASIVOS POR IMPUESTOS NO CORRIENTES,1554969.00
2312400,OTROS PASIVOS NO FINANCIEROS NO CORRIENTES,126195972.00
2319999,PASIVO NO CORRIENTE,299869295.00
2399999,TOTAL DEL PASIVO,322840211.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,336622733.00
3000100,INGRESOS DE ACTIVIDADES ORDINARIAS,14557219.00
3000200,COSTO DE VENTAS Y/O SERVICIOS,-5190687.00
3009999,GANANCIA (PERDIDA) BRUTA,9366532.00
3011301,HONORARIOS A DIRECTORES Y SINDICOS,0
3011300,OTROS GASTOS DE ADMINISTRACION,3180232.00
3011200,GASTOS DE COMERCIALIZACION Y/O DISTRIBUCION,-24002.00
3011400,OTROS GASTOS OPERATIVOS,-69284.00
3011100,OTROS INGRESOS,0
3011600,DEPRECIACIONES Y AMORTIZACIONES,-3982523.00
3019999,GANANCIA (PERDIDA) DE ACTIVIDADES OPERATIVAS,8470955.00
3021400,INGRESOS FINANCIEROS,169390.00
3021500,COSTOS FINANCIEROS,-9151909.00
3021800,RECPAM,0
3021900,OTROS RESULTADOS,0
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,-511564.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,-345766.00
3032000,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO OPERACIONES CONTINUADAS,-857330.00
3041000,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO OPERACIONES DISCONTINUADAS,0
3049999,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO,-857330.00
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,1732954.00
3099999,RESULTADO INTEGRAL TOTAL  DEL EJERCICIO / PERIODO,875624.00
3241100,TOTAL CAMBIOS EN ACTIVOS Y PASIVOS OPERATIVOS,6314481.00
3241200,TOTAL DE ACTIVIDADES DE INVERSION,-26108124.00
3241300,TOTAL DE ACTIVIDADES DE FINANCIACION,-5672818.00
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,-25466461.00
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,0
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,0
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR,-9066697.00
8000003,EBIT,0
8000004,EBITDA,0
8000005,CAPITAL DE TRABAJO,-4195579.00
8000006,LIQUIDEZ,0.82
8000007,SOLVENCIA,0.04
8000008,INMOVILIZACION DEL CAPITAL,0.94
8000009,RENTABILIDAD PATRIMONIO NETO,-0.36
8000010,RENTABILIDAD DEL ACTIVO,-0.00
8000011,ENDEUDAMIENTO,23.42
8000012,ENDEUDAMIENTO A CORTO PLAZO,1.67
8000013,APALANCAMIENTO,24.42
8000014,MARGEN NETO / VENTAS,0.06
8000015,DEUDA FINANCIERA / EBITDA,0
8000016,EBITDA / COSTOS FINANCIEROS,0
8000017,ANALISIS DU-PONT,-0.06
8000027,PRUEBA ACIDA,0.81
8000028,COBERTURA DE GASTOS FINANCIEROS,-0.93
8000029,ROTACION DE ACTIVOS,0.04
