Nro,Rubro,Monto
1122500,EFECTIVO Y EQUIVALENTES A EFECTIVO,324700672.00
1122300,ACTIVOS FINANCIEROS CORRIENTES,448210723.00
1121999,CUENTAS POR COBRAR CORRIENTES,714945889.00
1122400,OTROS ACTIVOS NO FINANCIEROS CORRIENTES,3092830607.00
1120100,INVENTARIOS CORRIENTES,2123417098.00
1139999,ACTIVO CORRIENTE,6704104989.00
1112400,ACTIVOS FINANCIEROS NO CORRIENTES,223210263.00
1111999,CUENTAS POR COBRAR NO CORRIENTES,26442368.00
1110100,PROPIEDADES PLANTAS Y EQUIPOS,2765135137.00
1112500,OTROS ACTIVOS NO FINANCIEROS NO CORRIENTES,1288488257.00
1110200,ACTIVOS INTANGIBLES,0
1119999,ACTIVO NO CORRIENTE,4303276025.00
1999999,TOTAL DEL ACTIVO,11007381014.00
2210999,CAPITAL,59287000.00
2210300,AJUSTE DE CAPITAL,0
2210500,APORTES NO CAPITALIZADOS O CONTRIBUCIONES DE CAPITAL,0
2210900,OTROS CONCEPTOS DEL CAPITAL,0
2211100,RESERVA LEGAL,11857400.00
2211200,OTRAS RESERVAS,0
2211999,GANANCIAS RESERVADAS,11857400.00
2211300,INTERESES NO CONTROLANTES,0
2212999,RESULTADOS NO ASIGNADOS,424165586.00
2213999,RESULTADOS INTEGRALES,2329132820.00
2299999,TOTAL PATRIMONIO NETO,2824442806.00
2322200,PASIVOS FINANCIEROS CORRIENTES,3465082450.00
2321999,CUENTAS POR PAGAR CORRIENTES,2979151718.00
2322100,PASIVOS POR IMPUESTOS CORRIENTES,49060997.00
2322300,OTROS PASIVOS NO FINANCIEROS CORRIENTES,0
2339999,PASIVO CORRIENTE,6493295165.00
2312300,PASIVOS FINANCIEROS NO CORRIENTES,607493720.00
2311999,CUENTAS POR PAGAR NO CORRIENTES,14301286.00
2312200,PASIVOS POR IMPUESTOS NO CORRIENTES,1067848037.00
2312400,OTROS PASIVOS NO FINANCIEROS NO CORRIENTES,0
2319999,PASIVO NO CORRIENTE,1689643043.00
2399999,TOTAL DEL PASIVO,8182938208.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,11007381014.00
3000100,INGRESOS DE ACTIVIDADES ORDINARIAS,4464612161.00
3000200,COSTO DE VENTAS Y/O SERVICIOS,-2904783339.00
3009999,GANANCIA (PERDIDA) BRUTA,1559828822.00
3011301,HONORARIOS A DIRECTORES Y SINDICOS,-158454.00
3011300,OTROS GASTOS DE ADMINISTRACION,-236007771.00
3011200,GASTOS DE COMERCIALIZACION Y/O DISTRIBUCION,-697985195.00
3011400,OTROS GASTOS OPERATIVOS,0
3011100,OTROS INGRESOS,22789062.00
3011600,DEPRECIACIONES Y AMORTIZACIONES,-24141210.00
3019999,GANANCIA (PERDIDA) DE ACTIVIDADES OPERATIVAS,624325254.00
3021400,INGRESOS FINANCIEROS,63008818.00
3021500,COSTOS FINANCIEROS,-79832871.00
3021800,RECPAM,0
3021900,OTROS RESULTADOS,11558611.00
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,619059812.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,-147670764.00
3049999,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO,471389048.00
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,1034855199.00
3099999,RESULTADO INTEGRAL TOTAL  DEL EJERCICIO / PERIODO,1506244247.00
3241100,TOTAL CAMBIOS EN ACTIVOS Y PASIVOS OPERATIVOS,660308338.00
3241200,TOTAL DE ACTIVIDADES DE INVERSION,-889849907.88
3241300,TOTAL DE ACTIVIDADES DE FINANCIACION,41059090.00
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,-188482479.88
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,0
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,0
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR,2399010411.00
8000003,EBIT,588660403.00
8000004,EBITDA,642918865.00
8000005,CAPITAL DE TRABAJO,210809824.00
8000006,LIQUIDEZ,1.03
8000007,SOLVENCIA,0.35
8000008,INMOVILIZACION DEL CAPITAL,0.39
8000009,RENTABILIDAD PATRIMONIO NETO,0.24
8000010,RENTABILIDAD DEL ACTIVO,0.06
8000011,ENDEUDAMIENTO,2.90
8000012,ENDEUDAMIENTO A CORTO PLAZO,2.30
8000013,APALANCAMIENTO,3.90
8000014,MARGEN NETO / VENTAS,0.34
8000015,DEUDA FINANCIERA / EBITDA,6.33
8000016,EBITDA / COSTOS FINANCIEROS,-8.05
8000017,ANALISIS DU-PONT,0.22
