Nro,Rubro,Monto
1122500,EFECTIVO Y EQUIVALENTES A EFECTIVO,2774653.00
1122300,ACTIVOS FINANCIEROS CORRIENTES,0
1121999,CUENTAS POR COBRAR CORRIENTES,21149450.00
1122400,OTROS ACTIVOS NO FINANCIEROS CORRIENTES,0
1120100,INVENTARIOS CORRIENTES,21280680.00
1139999,ACTIVO CORRIENTE,45204783.00
1112400,ACTIVOS FINANCIEROS NO CORRIENTES,0
1111999,CUENTAS POR COBRAR NO CORRIENTES,820209.00
1110100,PROPIEDADES PLANTAS Y EQUIPOS,67643420.00
1112500,OTROS ACTIVOS NO FINANCIEROS NO CORRIENTES,13906060.00
1110200,ACTIVOS INTANGIBLES,74629.00
1119999,ACTIVO NO CORRIENTE,82444318.00
1999999,TOTAL DEL ACTIVO,127649101.00
2210999,CAPITAL,653969.00
2210300,AJUSTE DE CAPITAL,32810592.00
2210500,APORTES NO CAPITALIZADOS O CONTRIBUCIONES DE CAPITAL,0
2210900,OTROS CONCEPTOS DEL CAPITAL,10246976.00
2211100,RESERVA LEGAL,0
2211200,OTRAS RESERVAS,0
2211999,GANANCIAS RESERVADAS,0
2211300,INTERESES NO CONTROLANTES,0
2212999,RESULTADOS NO ASIGNADOS,-14534497.00
2213999,RESULTADOS INTEGRALES,13355024.00
2299999,TOTAL PATRIMONIO NETO,42532064.00
2322200,PASIVOS FINANCIEROS CORRIENTES,2097243.00
2321999,CUENTAS POR PAGAR CORRIENTES,21278286.00
2322100,PASIVOS POR IMPUESTOS CORRIENTES,1082453.00
2322300,OTROS PASIVOS NO FINANCIEROS CORRIENTES,5671440.00
2339999,PASIVO CORRIENTE,30129422.00
2312300,PASIVOS FINANCIEROS NO CORRIENTES,33237131.00
2311999,CUENTAS POR PAGAR NO CORRIENTES,0
2312200,PASIVOS POR IMPUESTOS NO CORRIENTES,20117009.00
2312400,OTROS PASIVOS NO FINANCIEROS NO CORRIENTES,1633475.00
2319999,PASIVO NO CORRIENTE,54987615.00
2399999,TOTAL DEL PASIVO,85117037.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,127649101.00
3000100,INGRESOS DE ACTIVIDADES ORDINARIAS,198399821.00
3000200,COSTO DE VENTAS Y/O SERVICIOS,-143459364.00
3009999,GANANCIA (PERDIDA) BRUTA,54940457.00
3011301,HONORARIOS A DIRECTORES Y SINDICOS,-181111.00
3011300,OTROS GASTOS DE ADMINISTRACION,-5634203.00
3011200,GASTOS DE COMERCIALIZACION Y/O DISTRIBUCION,-43583286.00
3011400,OTROS GASTOS OPERATIVOS,237043.00
3011100,OTROS INGRESOS,0
3011600,DEPRECIACIONES Y AMORTIZACIONES,-8024953.00
3019999,GANANCIA (PERDIDA) DE ACTIVIDADES OPERATIVAS,-2246053.00
3021400,INGRESOS FINANCIEROS,-123129.00
3021500,COSTOS FINANCIEROS,-4106119.00
3021800,RECPAM,5661831.00
3021900,OTROS RESULTADOS,3475966.00
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,2662496.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,-1304130.00
3049999,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO,1358366.00
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,-1257936.00
3099999,RESULTADO INTEGRAL TOTAL  DEL EJERCICIO / PERIODO,100430.00
3241100,TOTAL CAMBIOS EN ACTIVOS Y PASIVOS OPERATIVOS,9500104.00
3241200,TOTAL DE ACTIVIDADES DE INVERSION,-2315748.00
3241300,TOTAL DE ACTIVIDADES DE FINANCIACION,-5667267.00
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,1517089.00
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,2.08
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,2.08
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR,42431634.00
8000003,EBIT,-2246053.00
8000004,EBITDA,5778900.00
8000005,CAPITAL DE TRABAJO,15075361.00
8000006,LIQUIDEZ,1.50
8000007,SOLVENCIA,0.50
8000008,INMOVILIZACION DEL CAPITAL,0.65
8000009,RENTABILIDAD PATRIMONIO NETO,0.06
8000010,RENTABILIDAD DEL ACTIVO,0.02
8000011,ENDEUDAMIENTO,2.00
8000012,ENDEUDAMIENTO A CORTO PLAZO,0.71
8000013,APALANCAMIENTO,3.00
8000014,MARGEN NETO / VENTAS,0.00
8000015,DEUDA FINANCIERA / EBITDA,6.11
8000016,EBITDA / COSTOS FINANCIEROS,-1.41
8000017,ANALISIS DU-PONT,0.06
